id;nro;siedzibaokw;nrlisty;komitet;typ;pozycja;nazwisko;imiona;plec;zawod;adres.mz;teryt.mz;gmina.mz.;partia;poparcie;glosy;glosy2;procent;mandat;id
1295348;10;Piotrków Trybunalski;2;PiS;KWP;2;WOJCIECHOWSKI;Grzegorz Michał;Mężczyzna;rolnik;Regnów;101305;gm. Regnów;PiS;;25575;25575;7.38;tak;
1295350;10;Piotrków Trybunalski;2;PiS;KWP;3;TELUS;Robert;Mężczyzna;rolnik;Ostrów;100704;gm. Opoczno;PiS;;27254;27254;7.87;tak;
1295354;10;Piotrków Trybunalski;2;PiS;KWP;4;MILCZANOWSKA;Anna Maria;Kobieta;pedagog;Radomsko;101201;m. Radomsko;PiS;;20451;20451;5.91;tak;
1295356;10;Piotrków Trybunalski;2;PiS;KWP;5;DRÓŻDŻ;Beata Zofia;Kobieta;dyrektor generalny;Piotrków Trybunalski;106201;m. Piotrków Trybunalski;PiS;;5439;5439;1.57;nie;
1295360;10;Piotrków Trybunalski;2;PiS;KWP;6;LOREK;Grzegorz Andrzej;Mężczyzna;parlamentarzysta;Piotrków Trybunalski;106201;m. Piotrków Trybunalski;PiS;;18238;18238;5.27;tak;
1295362;10;Piotrków Trybunalski;2;PiS;KWP;7;KUBIAK;Dariusz Jan;Mężczyzna;parlamentarzysta;Bełchatów;100101;m. Bełchatów;PiS;;8139;8139;2.35;nie;
1295374;10;Piotrków Trybunalski;2;PiS;KWP;8;WENDROWSKA;Ewa Beata;Kobieta;lekarz - specjalista dermatologii i wenerologii;Tomaszów Mazowiecki;101601;m. Tomaszów Mazowiecki;SolidarnaPolska;;7272;7272;2.10;nie;
1295377;10;Piotrków Trybunalski;2;PiS;KWP;9;MACIEJEWSKI;Krzysztof;Mężczyzna;parlamentarzysta;Radomsko;101201;m. Radomsko;PiS;;4169;4169;1.20;nie;
1295379;10;Piotrków Trybunalski;2;PiS;KWP;10;JANOWSKA;Małgorzata Monika;Kobieta;ekonomista;Bełchatów;100101;m. Bełchatów;PiS;;11599;11599;3.35;tak;
1295380;10;Piotrków Trybunalski;2;PiS;KWP;11;OZGA-FLEJSZER;Beata Ewa;Kobieta;rolnik upraw mieszanych;Skierniewice;106301;m. Skierniewice;BEZPARTYJNY;;3571;3571;1.03;nie;
1295385;10;Piotrków Trybunalski;2;PiS;KWP;12;WYCZACHOWSKI;Waldemar;Mężczyzna;ekonomista;Łękińsko;100104;gm. Kleszczów;PiS;;1728;1728;0.50;nie;
1295392;10;Piotrków Trybunalski;2;PiS;KWP;13;WOJCIECHOWSKA;Martyna Olga;Kobieta;specjalista administracji publicznej;Osiedle Niewiadów;101610;gm. Ujazd;PiS;;6724;6724;1.94;nie;
1295396;10;Piotrków Trybunalski;2;PiS;KWP;14;SAŁEK;Paweł;Mężczyzna;wyższy urzędnik państwowy;Maków;101506;gm. Maków;BEZPARTYJNY;;9432;9432;2.72;nie;
1295398;10;Piotrków Trybunalski;2;PiS;KWP;15;WYSOCKA;Agnieszka Katarzyna;Kobieta;nauczyciel języka obcego;Bełchatów;100101;m. Bełchatów;PiS;;1526;1526;0.44;nie;
1295403;10;Piotrków Trybunalski;2;PiS;KWP;16;MISZTAL;Dariusz Adam;Mężczyzna;inżynier mechanik - środki transportu;Rawa Mazowiecka;101301;m. Rawa Mazowiecka;PiS;;2725;2725;0.79;nie;
1295406;10;Piotrków Trybunalski;2;PiS;KWP;17;ZIEMBA;Zbigniew Jan;Mężczyzna;nauczyciel historii;Wola Krzysztoporska;101010;gm. Wola Krzysztoporska;PiS;;3630;3630;1.05;nie;
1295407;28;Częstochowa;2;PiS;KWP;1;GIŻYŃSKI;Szymon Stanisław;Mężczyzna;poseł;Częstochowa;246401;m. Częstochowa;PiS;;42325;42325;14.88;tak;
1295408;28;Częstochowa;2;PiS;KWP;2;BURZYŃSKA;Lidia Ewa;Kobieta;nauczyciel;Skrzydlów;240405;gm. Kłomnice;PiS;;24672;24672;8.67;tak;
1295410;10;Piotrków Trybunalski;2;PiS;KWP;18;CIECIÓRA;Krzysztof Jan;Mężczyzna;wyższy urzędnik państwowy;Radomsko;101201;m. Radomsko;PJGowina;;5906;5906;1.71;nie;
1295411;28;Częstochowa;2;PiS;KWP;3;TREPKA;Mariusz Wiesław;Mężczyzna;inżynier organizacji i planowania produkcji;Moczydło;240903;gm. Niegowa;PiS;;12881;12881;4.53;tak;
1295414;28;Częstochowa;2;PiS;KWP;4;GAWRON;Andrzej Janusz;Mężczyzna;poseł;Kochanowice;240705;gm. Kochanowice;PiS;;13888;13888;4.88;tak;
1295416;28;Częstochowa;2;PiS;KWP;5;FAJER;Monika;Kobieta;kierownik agencji doradztwa finansowego;Częstochowa;246401;m. Częstochowa;SolidarnaPolska;;11660;11660;4.10;nie;
1295419;28;Częstochowa;2;PiS;KWP;6;DEREJCZYK;Piotr;Mężczyzna;politolog;Wapiennik;240604;gm. Miedźno;BEZPARTYJNY;;3363;3363;1.18;nie;
1295421;28;Częstochowa;2;PiS;KWP;7;KAPTACZ;Anna Janina;Kobieta;prezes;Częstochowa;246401;m. Częstochowa;BEZPARTYJNY;;2587;2587;0.91;nie;
1295423;28;Częstochowa;2;PiS;KWP;8;MAJ;Tomasz;Mężczyzna;kierownik ds. marketingu i sprzedaży;Lgota Mała;240408;gm. Kruszyna;PiS;;2261;2261;0.79;nie;
1295427;28;Częstochowa;2;PiS;KWP;9;LANGE;Łukasz Artur;Mężczyzna;dyrektor generalny;Olsztyn;240412;gm. Olsztyn;PiS;;924;924;0.32;nie;
1295430;28;Częstochowa;2;PiS;KWP;10;RUKSZA;Paweł Jan;Mężczyzna;przedstawiciel władzy samorządowej;Częstochowa;246401;m. Częstochowa;PJGowina;;3366;3366;1.18;nie;
1295433;28;Częstochowa;2;PiS;KWP;11;PIETRULEWICZ;Magdalena Anna;Kobieta;prawnik;Wręczyca Wielka;240609;gm. Wręczyca Wielka;BEZPARTYJNY;;1678;1678;0.59;nie;
1295436;28;Częstochowa;2;PiS;KWP;12;SŁUŻAŁEK-JAWORSKA;Danuta Elżbieta;Kobieta;nauczyciel;Poraj;240904;gm. Poraj;PiS;;1319;1319;0.46;nie;
1295438;28;Częstochowa;2;PiS;KWP;13;SOWA;Andrzej Piotr;Mężczyzna;przedstawiciel władzy samorządowej;Częstochowa;246401;m. Częstochowa;PiS;;2006;2006;0.71;nie;
1295443;28;Częstochowa;2;PiS;KWP;14;ZALESKA;Urszula;Kobieta;nauczyciel;Częstochowa;246401;m. Częstochowa;PiS;;3060;3060;1.08;nie;
1295466;23;Rzeszów;2;PiS;KWP;1;SOBOLEWSKI;Krzysztof;Mężczyzna;administratywista;Rzeszów;186301;m. Rzeszów;PiS;;38912;38912;6.61;tak;
1295468;23;Rzeszów;2;PiS;KWP;2;LENIART;Ewa Maria;Kobieta;prawnik;Dylągówka;181607;gm. Hyżne;PiS;;36305;36305;6.17;tak;
1295471;23;Rzeszów;2;PiS;KWP;3;HRYNKIEWICZ;Józefa;Kobieta;nauczyciel akademicki;Warszawa;146505;Mokotów;BEZPARTYJNY;;6173;6173;1.05;nie;
1295473;23;Rzeszów;2;PiS;KWP;4;SZLACHTA;Andrzej;Mężczyzna;parlamentarzysta;Rzeszów;186301;m. Rzeszów;PiS;;15115;15115;2.57;nie;
1295476;23;Rzeszów;2;PiS;KWP;5;WRÓBLEWSKA;Krystyna Małgorzata;Kobieta;nauczyciel;Rzeszów;186301;m. Rzeszów;PiS;;12738;12738;2.16;nie;
1295479;23;Rzeszów;2;PiS;KWP;6;MOSKAL;Kazimierz Marian;Mężczyzna;nauczyciel;Ropczyce;181503;gm. Ropczyce;PiS;;17444;17444;2.96;tak;
1295482;23;Rzeszów;2;PiS;KWP;7;BUCZAK;Wojciech;Mężczyzna;inżynier mechanik;Rzeszów;186301;m. Rzeszów;PiS;;10429;10429;1.77;nie;
1295484;23;Rzeszów;2;PiS;KWP;8;GOŁOJUCH;Kazimierz Edward;Mężczyzna;inżynier mechanizacji rolnictwa;Zalesie;181003;gm. Czarna;PiS;;18306;18306;3.11;tak;
1295487;23;Rzeszów;2;PiS;KWP;9;CHMIELOWIEC;Zbigniew Michał;Mężczyzna;inżynier środowiska;Kolbuszowa;180602;gm. Kolbuszowa;PiS;;20634;20634;3.50;tak;
1295490;23;Rzeszów;2;PiS;KWP;10;WEBER;Rafał;Mężczyzna;prawnik;Stalowa Wola;181801;m. Stalowa Wola;PiS;;26746;26746;4.54;tak;
1295495;23;Rzeszów;2;PiS;KWP;11;WARZECHA;Jan Marek;Mężczyzna;ekonomista;Dębica;180301;m. Dębica;PiS;;18913;18913;3.21;tak;
1295499;23;Rzeszów;2;PiS;KWP;12;PAUL;Jerzy Stanisław;Mężczyzna;inżynier ogrodnictwa;Sarzyna;180805;gm. Nowa Sarzyna;PiS;;16094;16094;2.73;tak;
1295501;23;Rzeszów;2;PiS;KWP;13;MIAZGA;Mieczysław;Mężczyzna;inżynier rolnictwa;Górno;181611;gm. Sokołów Małopolski;PiS;;9149;9149;1.55;nie;
1295503;23;Rzeszów;2;PiS;KWP;14;SZYDEŁKO;Halina Maria;Kobieta;radca prawny;Rzeszów;186301;m. Rzeszów;PiS;;5511;5511;0.94;nie;
1295504;23;Rzeszów;2;PiS;KWP;15;KRUCZEK;Stanisław;Mężczyzna;inżynier elektryk;Futoma;181602;gm. Błażowa;PJGowina;;8344;8344;1.42;nie;
1295506;23;Rzeszów;2;PiS;KWP;16;KAPINOS;Fryderyk Sylwester;Mężczyzna;dyrektor marketingu;Mielec;181101;m. Mielec;PiS;;18450;18450;3.13;tak;
1295513;23;Rzeszów;2;PiS;KWP;17;KALINKA;Kamil;Mężczyzna;politolog;Tarnobrzeg;186401;m. Tarnobrzeg;PiS;;9540;9540;1.62;nie;
1295514;23;Rzeszów;2;PiS;KWP;18;BEDNARZ;Robert Jan;Mężczyzna;przedstawiciel władzy samorządowej;Jeżowe;181203;gm. Jeżowe;PiS;;7421;7421;1.26;nie;
1295515;23;Rzeszów;2;PiS;KWP;19;GODEK;Robert Czesław;Mężczyzna;pracownik samorządowy;Stępina;181902;gm. Frysztak;PiS;;6791;6791;1.15;nie;
1295516;23;Rzeszów;2;PiS;KWP;20;FRYSZTAK;Bernadeta Dorota;Kobieta;nauczyciel;Sędziszów Małopolski;181504;gm. Sędziszów Małopolski;PiS;;11120;11120;1.89;nie;
1295517;23;Rzeszów;2;PiS;KWP;21;ŁĄCZAK;Czesław;Mężczyzna;ekonomista;Zawierzbie;180307;gm. Żyraków;PiS;;4113;4113;0.70;nie;
1295518;23;Rzeszów;2;PiS;KWP;22;FIJOŁEK;Marcin Piotr;Mężczyzna;politolog;Rzeszów;186301;m. Rzeszów;PiS;;5262;5262;0.89;nie;
1295519;23;Rzeszów;2;PiS;KWP;23;TŁUSTA;Helena Grażyna;Kobieta;nauczyciel religii w szkole podstawowej;Alfredówka;182004;gm. Nowa Dęba;BEZPARTYJNY;;1152;1152;0.20;nie;
1295521;23;Rzeszów;2;PiS;KWP;24;BARTKOWICZ;Magdalena Barbara;Kobieta;specjalista zdrowia publicznego;Mielec;181101;m. Mielec;PiS;;789;789;0.13;nie;
1295522;23;Rzeszów;2;PiS;KWP;25;KRZEK;Agata;Kobieta;nauczyciel;Stalowa Wola;181801;m. Stalowa Wola;PiS;;911;911;0.15;nie;
1295523;23;Rzeszów;2;PiS;KWP;26;TRAWIŃSKA;Anna Franciszka;Kobieta;przedsiębiorca;Krzątka;180603;gm. Majdan Królewski;BEZPARTYJNY;;597;597;0.10;nie;
1295524;23;Rzeszów;2;PiS;KWP;27;KUŚ;Ewelina Elżbieta;Kobieta;ekonomista;Dębica;180301;m. Dębica;PiS;;2705;2705;0.46;nie;
1295525;23;Rzeszów;2;PiS;KWP;28;FOŁTA;Ewa;Kobieta;nauczyciel;Sarzyna;180805;gm. Nowa Sarzyna;PiS;;763;763;0.13;nie;
1295526;23;Rzeszów;2;PiS;KWP;29;TYMUŁA;Zbigniew;Mężczyzna;pracownik administracyjny;Gawłuszowice;181104;gm. Gawłuszowice;PiS;;8346;8346;1.42;nie;
1295528;23;Rzeszów;2;PiS;KWP;30;WARCHOŁ;Marcin Józef;Mężczyzna;adwokat;Warszawa;146517;Włochy;BEZPARTYJNY;;28495;28495;4.84;tak;
1295548;22;Krosno;2;PiS;KWP;1;KUCHCIŃSKI;Marek Tadeusz;Mężczyzna;parlamentarzysta;Przemyśl;186201;m. Przemyśl;PiS;;61262;61262;15.68;tak;
1295549;22;Krosno;2;PiS;KWP;2;SCHMIDT-RODZIEWICZ;Anna Katarzyna;Kobieta;parlamentarzysta;Jarosław;180401;m. Jarosław;PiS;;26246;26246;6.72;tak;
1295552;22;Krosno;2;PiS;KWP;3;URUSKI;Piotr Marcin;Mężczyzna;parlamentarzysta;Sanok;181701;m. Sanok;SolidarnaPolska;;20740;20740;5.31;tak;
1295553;22;Krosno;2;PiS;KWP;4;BABINETZ;Piotr Mieczysław;Mężczyzna;historyk;Krosno;186101;m. Krosno;PiS;;13360;13360;3.42;tak;
1295556;22;Krosno;2;PiS;KWP;5;PIOTROWICZ;Stanisław;Mężczyzna;prawnik;Odrzykoń;180709;gm. Wojaszówka;PiS;;10293;10293;2.64;nie;
1295557;22;Krosno;2;PiS;KWP;6;ŚNIEŻEK;Adam Walenty;Mężczyzna;specjalista pracy socjalnej;Rzeszów;186301;m. Rzeszów;PiS;;11260;11260;2.88;tak;
1295558;22;Krosno;2;PiS;KWP;7;PILCH;Piotr;Mężczyzna;przedstawiciel władzy samorządowej;Przemyśl;186201;m. Przemyśl;PiS;;6170;6170;1.58;nie;
1295560;22;Krosno;2;PiS;KWP;9;PAWLUŚ;Adam;Mężczyzna;prawnik;Jasło;180501;m. Jasło;PiS;;6763;6763;1.73;nie;
1295562;22;Krosno;2;PiS;KWP;10;CHRZAN;Tadeusz;Mężczyzna;przedstawiciel władzy samorządowej;Jarosław;180401;m. Jarosław;PiS;;11177;11177;2.86;tak;
1295563;22;Krosno;2;PiS;KWP;8;PAMUŁA;Teresa;Kobieta;dyrektor zarządzający;Lubaczów;180901;m. Lubaczów;PiS;;12905;12905;3.30;tak;
1295564;22;Krosno;2;PiS;KWP;11;PODHALICZ;Lucyna;Kobieta;socjolog;Przemyśl;186201;m. Przemyśl;PiS;;6072;6072;1.55;nie;
1295565;22;Krosno;2;PiS;KWP;12;ŁUKASZYK;Dorota;Kobieta;dyrektor zarządzający;Ustrzyki Dolne;180108;gm. Ustrzyki Dolne;PJGowina;;4470;4470;1.14;nie;
1295566;22;Krosno;2;PiS;KWP;13;DROZD;Adam Tomasz;Mężczyzna;przedstawiciel władzy samorządowej;Sanok;181701;m. Sanok;PRepublikańska;;2659;2659;0.68;nie;
1295567;22;Krosno;2;PiS;KWP;14;JĘDRUCH;Ryszard;Mężczyzna;wyższy urzędnik samorządowy;Tryńcza;181408;gm. Tryńcza;PiS;;3517;3517;0.90;nie;
1295568;22;Krosno;2;PiS;KWP;15;PERS;Grzegorz Stanisław;Mężczyzna;lekarz;Przysieki;180509;gm. Skołyszyn;PiS;;5502;5502;1.41;nie;
1295569;22;Krosno;2;PiS;KWP;16;PIESZCZOCH;Robert;Mężczyzna;dyrektor zarządzający;Nadolany;181703;gm. Bukowsko;PiS;;4921;4921;1.26;nie;
1295570;22;Krosno;2;PiS;KWP;17;BRIL;Joanna Katarzyna;Kobieta;nauczyciel akademicki;Jedlicze;180704;gm. Jedlicze;PiS;;4088;4088;1.05;nie;
1295571;22;Krosno;2;PiS;KWP;18;POCAŁUŃ;Alicja Anna;Kobieta;wyższy urzędnik samorządowy;Krzywe;180203;gm. Dydnia;PiS;;2253;2253;0.58;nie;
1295572;22;Krosno;2;PiS;KWP;20;GUZIK;Andrzej;Mężczyzna;nauczyciel;Niżna Łąka;180707;gm. Miejsce Piastowe;PiS;;4788;4788;1.23;nie;
1295573;22;Krosno;2;PiS;KWP;19;BURBEŁO;Joanna Maria;Kobieta;technik dentystyczny;Radymno;180402;m. Radymno;PiS;;658;658;0.17;nie;
1295574;22;Krosno;2;PiS;KWP;21;KUROWSKA;Maria Stanisława;Kobieta;przedstawiciel władzy samorządowej;Dąbrówka;180502;gm. Brzyska;SolidarnaPolska;;18936;18936;4.85;tak;
1295575;22;Krosno;2;PiS;KWP;22;KRAWIEC;Daniel Stanisław;Mężczyzna;radca prawny;Mirocin;181406;gm. Przeworsk;PiS;;9448;9448;2.42;nie;
1295685;4;Bydgoszcz;2;PiS;KWP;1;LATOS;Tomasz Edward;Mężczyzna;lekarz;Bydgoszcz;046101;m. Bydgoszcz;PiS;;60132;60132;13.07;tak;
1295688;18;Siedlce;2;PiS;KWP;1;TCHÓRZEWSKI;Krzysztof Józef;Mężczyzna;parlamentarzysta;Siedlce;146401;m. Siedlce;PiS;;62891;62891;13.89;tak;
1295689;4;Bydgoszcz;2;PiS;KWP;2;SCHREIBER;Łukasz Paweł;Mężczyzna;poseł na Sejm RP;Bydgoszcz;046101;m. Bydgoszcz;PiS;;30053;30053;6.53;tak;
1295690;4;Bydgoszcz;2;PiS;KWP;3;KRÓL;Piotr Marek;Mężczyzna;politolog;Bydgoszcz;046101;m. Bydgoszcz;PiS;;10418;10418;2.26;tak;
1295693;18;Siedlce;2;PiS;KWP;2;KOWALCZYK;Henryk;Mężczyzna;parlamentarzysta;Golądkowo;142406;gm. Winnica;PiS;;50680;50680;11.19;tak;
1295694;4;Bydgoszcz;2;PiS;KWP;4;KOWNACKI;Bartosz Józef;Mężczyzna;adwokat;Janki;142106;gm. Raszyn;PiS;;12414;12414;2.70;tak;
1295695;18;Siedlce;2;PiS;KWP;3;CZARTORYSKI;Arkadiusz;Mężczyzna;nauczyciel;Ostrołęka;146101;m. Ostrołęka;PiS;;22457;22457;4.96;tak;
1295696;4;Bydgoszcz;2;PiS;KWP;5;KOZANECKA;Ewa Elżbieta;Kobieta;ekonomista;Bydgoszcz;046101;m. Bydgoszcz;PiS;;13305;13305;2.89;tak;
1295698;4;Bydgoszcz;2;PiS;KWP;6;WITKOWSKI;Marek Leon;Mężczyzna;pracownik administracji rządowej;Więcbork;041304;gm. Więcbork;PiS;;2514;2514;0.55;nie;
1295702;4;Bydgoszcz;2;PiS;KWP;7;WROŃSKI;Marcin;Mężczyzna;inżynier rolnictwa;Inowrocław;040701;m. Inowrocław;PJGowina;;6469;6469;1.41;nie;
1295708;18;Siedlce;2;PiS;KWP;4;ZAGÓRSKI;Marek Tadeusz;Mężczyzna;urzędnik państwowy;Warszawa;146503;Białołęka;PiS;;9143;9143;2.02;tak;
1295712;18;Siedlce;2;PiS;KWP;5;WARGOCKA;Teresa Anna;Kobieta;socjolog;Mińsk Mazowiecki;141201;m. Mińsk Mazowiecki;PiS;;10767;10767;2.38;tak;
1295713;24;Białystok;2;PiS;KWP;1;PIONTKOWSKI;Dariusz;Mężczyzna;nauczyciel historii;Białystok;206101;m. Białystok;PiS;;63878;63878;12.27;tak;
1295714;4;Bydgoszcz;2;PiS;KWP;8;STACHOWIAK;Ireneusz;Mężczyzna;politolog;Inowrocław;040701;m. Inowrocław;SolidarnaPolska;;9432;9432;2.05;nie;
1295718;4;Bydgoszcz;2;PiS;KWP;9;KOWALIK;Jerzy;Mężczyzna;pracownik administracji rządowej;Tuchola;041606;gm. Tuchola;PiS;;2550;2550;0.55;nie;
1295719;18;Siedlce;2;PiS;KWP;6;WOŹNIAK;Grzegorz Adam;Mężczyzna;parlamentarzysta;Trąbki;140310;gm. Pilawa;PiS;;19082;19082;4.21;tak;
1295726;4;Bydgoszcz;2;PiS;KWP;10;KRZEMKOWSKI;Michał;Mężczyzna;geograf;Bydgoszcz;046101;m. Bydgoszcz;PiS;;1285;1285;0.28;nie;
1295729;24;Białystok;2;PiS;KWP;2;ZIELIŃSKI;Jarosław;Mężczyzna;parlamentarzysta;Suwałki;206301;m. Suwałki;PiS;;40092;40092;7.70;tak;
1295730;4;Bydgoszcz;2;PiS;KWP;11;SZABELSKA;Grażyna Edyta;Kobieta;nauczyciel akademicki - nauki humanistyczne;Bydgoszcz;046101;m. Bydgoszcz;PiS;;3645;3645;0.79;nie;
1295738;18;Siedlce;2;PiS;KWP;7;SIARKOWSKA;Anna Maria;Kobieta;specjalista ds. planowania obronnego;Siedlce;146401;m. Siedlce;PRepublikańska;;7313;7313;1.61;tak;
1295739;4;Bydgoszcz;2;PiS;KWP;12;FALKOWSKA;Anna;Kobieta;nauczyciel nauczania początkowego;Barcin;041901;gm. Barcin;PiS;;1795;1795;0.39;nie;
1295742;4;Bydgoszcz;2;PiS;KWP;13;SZAMOCKI;Tomasz Paweł;Mężczyzna;pracownik samorządowy;Świecie;041409;gm. Świecie;BEZPARTYJNY;;1547;1547;0.34;nie;
1295745;4;Bydgoszcz;2;PiS;KWP;14;KOŁODZIEJ;Jolanta;Kobieta;pracownik administracji rządowej;Kruszwica;040706;gm. Kruszwica;PiS;;1160;1160;0.25;nie;
1295748;4;Bydgoszcz;2;PiS;KWP;15;GOGOLA;Elżbieta;Kobieta;nauczyciel nauczania początkowego;Cerekwica;041906;gm. Żnin;PiS;;1201;1201;0.26;nie;
1295749;4;Bydgoszcz;2;PiS;KWP;16;NAPIERALSKI;Krzysztof;Mężczyzna;technik mechanik maszyn i urządzeń;Kowalewko;041001;gm. Kcynia;PiS;;964;964;0.21;nie;
1295750;24;Białystok;2;PiS;KWP;3;PASZKOWSKI;Bohdan Józef;Mężczyzna;radca prawny;Białystok;206101;m. Białystok;PiS;;5442;5442;1.05;nie;
1295752;4;Bydgoszcz;2;PiS;KWP;17;KUFFEL;Stanisława;Kobieta;nauczyciel języka polskiego;Przysiersk;041401;gm. Bukowiec;BEZPARTYJNY;;834;834;0.18;nie;
1295753;4;Bydgoszcz;2;PiS;KWP;18;JABŁOŃSKA;Kamila Teresa;Kobieta;pracownik samorządowy;Szynwałd;041303;gm. Sośno;PiS;;797;797;0.17;nie;
1295754;24;Białystok;2;PiS;KWP;4;GWIAZDOWSKI;Kazimierz;Mężczyzna;parlamentarzysta;Mścichy;200403;gm. Radziłów;PiS;;14101;14101;2.71;tak;
1295756;18;Siedlce;2;PiS;KWP;8;GÓRSKI;Maciej;Mężczyzna;dyrektor operacyjny;Górki-Grubaki;143303;gm. Korytnica;PiS;;5206;5206;1.15;tak;
1295757;4;Bydgoszcz;2;PiS;KWP;19;LEWANDOWSKI;Antoni;Mężczyzna;kierownik biura;Lubiewo;041604;gm. Lubiewo;PiS;;1027;1027;0.22;nie;
1295758;4;Bydgoszcz;2;PiS;KWP;20;WENDERLICH;Paulina;Kobieta;radca prawny;Bydgoszcz;046101;m. Bydgoszcz;BEZPARTYJNY;;2224;2224;0.48;nie;
1295759;18;Siedlce;2;PiS;KWP;9;SKRZYPEK;Dorota;Kobieta;wyższy urzędnik administracji rządowej;Wieliszew;140805;gm. Wieliszew;BEZPARTYJNY;;2397;2397;0.53;nie;
1295760;4;Bydgoszcz;2;PiS;KWP;21;PILARSKA;Danuta Stanisława;Kobieta;technik rolnik;Szubin;041005;gm. Szubin;PiS;;814;814;0.18;nie;
1295762;18;Siedlce;2;PiS;KWP;10;ŻUKOWSKI;Jerzy;Mężczyzna;urzędnik samorządowy;Turzyn;143501;gm. Brańszczyk;PiS;;4534;4534;1.00;nie;
1295764;18;Siedlce;2;PiS;KWP;11;PAWELCZYK;Bartosz;Mężczyzna;radca prawny;Ostrołęka;146101;m. Ostrołęka;BEZPARTYJNY;;2765;2765;0.61;nie;
1295765;18;Siedlce;2;PiS;KWP;12;GROMADZKI;Marek Łukasz;Mężczyzna;rolnik;Makarówka;141001;gm. Huszlew;PiS;;3024;3024;0.67;nie;
1295766;4;Bydgoszcz;2;PiS;KWP;22;ŚRUBKOWSKA;Żaneta Katarzyna;Kobieta;ekonomista;Koronowo;040304;gm. Koronowo;PiS;;318;318;0.07;nie;
1295767;18;Siedlce;2;PiS;KWP;13;KURKUS;Bartłomiej;Mężczyzna;ekonomista;Gręzów;142603;gm. Kotuń;PiS;;2210;2210;0.49;nie;
