teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;1;Legnica;PiS;1;LIPIŃSKI;Adam Józef;Mężczyzna;PiS;52.254408 21.041473
020501;1;Jawor;gm;51.067685,16.185091;1;Legnica;PiS;2;WITEK;Elżbieta Barbara;Kobieta;PiS;51.064664 16.184602
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;3;MACHAŁEK;Marzena Anna;Kobieta;PiS;50.853730 15.736810
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;PiS;4;KUBÓW;Krzysztof Jan;Mężczyzna;PiS;51.401672 16.202945
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;PiS;5;ZUBOWSKI;Wojciech Michał;Mężczyzna;PiS;51.679740 16.046834
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;PiS;6;SZYMAŃSKA;Ewa Zofia;Kobieta;PiS;51.213568 16.162948
021001;1;Lubań;gm;51.114691,15.2808625;1;Legnica;PiS;7;ZEMBIK;Teresa;Kobieta;PiS;51.114486 15.275076
020905;2;Legnickie Pole;gw;51.1475985,16.240183;1;Legnica;PiS;8;BABUŚKA;Adam;Mężczyzna;PiS;51.147475 16.237365
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;9;RYPIŃSKI;Józef;Mężczyzna;SolidarnaPolska;50.855954 15.732732
020101;1;Bolesławiec;gm;51.262169,15.55163;1;Legnica;PiS;10;POGODA;Szymon Marek;Mężczyzna;PiS;51.261333 15.555957
021604;3;Polkowice;gmw;51.498251,16.080965;1;Legnica;PiS;11;MARCINIAK;Wojciech;Mężczyzna;PiS;51.503501 16.079529
022606;2;Złotoryja;gw;51.146528,15.9496655;1;Legnica;PiS;12;KARWAN;Jacek;Mężczyzna;PiS;51.142694 15.949698
021203;3;Lwówek Śląski;gmw;51.121997,15.602352;1;Legnica;PiS;13;KREDKOWSKI;Andrzej;Mężczyzna;PiS;51.122722 15.598228
022502;1;Zgorzelec;gm;51.1517745,15.017122;1;Legnica;PiS;14;BUCIUTO;Jadwiga Barbara;Kobieta;PiS;51.157367 15.015067
020701;1;Kamienna Góra;gm;50.784689,16.0337155;1;Legnica;PiS;15;GĘBORYS;Dagmara Helena;Kobieta;BEZP;50.782419 16.034927
022602;1;Złotoryja;gm;51.122384,15.918558;1;Legnica;PiS;16;BRZOZOWSKA;Kamila Dorota;Kobieta;PiS;51.123671 15.920932
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;PiS;17;BADZIŃSKA;Agnieszka Ewa;Kobieta;PiS;51.668654 16.035188
021102;2;Lubin;gw;51.3711455,16.179661;1;Legnica;PiS;18;SADOWSKA-KOWALSKA;Aurelia Barbara;Kobieta;PiS;51.375864 16.184729
021005;3;Olszyna;gmw;51.0595585,15.359148;1;Legnica;PiS;19;CZYRKO;Eurydyka Maria;Kobieta;PiS;51.059069 15.358080
021604;3;Polkowice;gmw;51.498251,16.080965;1;Legnica;PiS;20;KWIATKOWSKA;Ewa;Kobieta;PiS;51.499188 16.084000
021204;3;Mirsk;gmw;50.918972,15.4017945;1;Legnica;PiS;21;URBANOWICZ;Łukasz Franciszek;Mężczyzna;PiS;50.921266 15.403486
020101;1;Bolesławiec;gm;51.262169,15.55163;1;Legnica;PiS;22;SARBAK;Dawid Łukasz;Mężczyzna;PiS;51.257813 15.557099
022503;3;Bogatynia;gmw;50.94787,14.919586;1;Legnica;PiS;23;BOJAKOWSKA;Dorota;Kobieta;PiS;50.945458 14.913613
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;PiS;24;LESZCZYK;Wojciech Paweł;Mężczyzna;PiS;50.847732 15.721718
021101;1;Lubin (a);gm;51.399417,16.1939415;1;Legnica;KOBW;1;BORYS;Piotr;Mężczyzna;PORP;51.393104 16.187353
026101;1;Jelenia Góra (a);mm;50.8501645,15.7275145;1;Legnica;KOBW;2;CZERNOW;Zofia;Kobieta;PORP;50.839389 15.730401
026201;1;Legnica;mm;51.2047315,16.1583115;1;Legnica;KOBW;3;KROPIWNICKI;Robert;Mężczyzna;PORP;51.194382 16.154907
020702;2;Kamienna Góra;gw;50.7542435,16.019381;1;Legnica;KOBW;4;KRAWCZYK;Iwona Małgorzata;Kobieta;PORP;50.751733 16.019313
020301;1;Głogów;gm;51.670178,16.0435715;1;Legnica;KOBW;5;DROZD;Ewa;Kobieta;PORP;51.670985 16.053807
