teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia
146516;1;Mst Warszawa (a);mm;52.233002,21.0614195;25;Gdańsk;PiS;1;SELLIN;Jarosław Daniel;Mężczyzna;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;2;PŁAŻYŃSKI;Kacper Maciej;Mężczyzna;PiS
220706;2;Sadlinki;gw;53.653488,18.84361;25;Gdańsk;PiS;3;ŻEBROWSKI;Arwid Marek;Mężczyzna;PiS
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;PiS;4;KILIAN;Jan;Mężczyzna;PiS
220901;1;Malbork;gm;54.028507,19.044351;25;Gdańsk;PiS;5;CYMAŃSKI;Tadeusz;Mężczyzna;SolidarnaPolska
221401;1;Tczew;gm;54.0907165,18.7816105;25;Gdańsk;PiS;6;SMOLIŃSKI;Kazimierz;Mężczyzna;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;7;RABENDA;Karol Kazimierz;Mężczyzna;PorozumienieJarosławaGowina
221605;3;Sztum;gmw;53.9253965,18.9987235;25;Gdańsk;PiS;8;CELMER;Sylwia Agnieszka;Kobieta;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;9;KORALEWSKI;Kazimierz Marian;Mężczyzna;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;10;RAKOWSKI;Tomasz Jędrzej;Mężczyzna;PiS
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;PiS;11;PETKOWSKI;Paweł Piotr;Mężczyzna;PiS
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;PiS;12;KEMPA;Anna Magdalena;Kobieta;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;13;SULEWSKA;Katarzyna Joanna;Kobieta;PiS
220906;2;Miłoradz;gw;54.0148315,18.891552;25;Gdańsk;PiS;14;WIECZOREK;Jan Antoni;Mężczyzna;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;15;GÓRNIAK;Sonia Anna;Kobieta;PiS
220404;2;Pruszcz Gdański;gw;54.269208,18.669243;25;Gdańsk;PiS;16;WITTNER;Marcin Daniel;Mężczyzna;PiS
221310;2;Skórcz;gw;53.8053385,18.529194;25;Gdańsk;PiS;17;STOLC;Grażyna Jadwiga;Kobieta;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;18;CABAJ;Joanna Dorota;Kobieta;BEZP
220901;1;Malbork;gm;54.028507,19.044351;25;Gdańsk;PiS;19;JASIŃSKI;Mirosław;Mężczyzna;PiS
221404;3;Pelplin;gmw;53.9249955,18.7374445;25;Gdańsk;PiS;20;WAŃCZYK-KULPIŃSKA;Katarzyna Maria;Kobieta;PiS
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;PiS;21;BROŻEK;Anna;Kobieta;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;22;IMIANOWSKA;Barbara;Kobieta;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;23;STANKIEWICZ;Filip Andrzej;Mężczyzna;PiS
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PiS;24;RACZAK;Grzegorz;Mężczyzna;BEZP
221105;2;Kosakowo;gw;54.597631,18.475616;25;Gdańsk;KONFEDERACJA;1;URBANIAK;Michał Piotr;Mężczyzna;RuchNarodowy
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;2;PRUŚ;Sylwester Zbigniew;Mężczyzna;Korwin
040304;3;Koronowo;gmw;53.322755,17.885567;25;Gdańsk;KONFEDERACJA;3;MOJZESOWICZ;Wojciech;Mężczyzna;BEZP
221309;3;Skarszewy;gmw;54.0679635,18.434439;25;Gdańsk;KONFEDERACJA;4;ZABOROWSKI;Arkadiusz;Mężczyzna;RuchNarodowy
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;KONFEDERACJA;5;WELKA;Michał;Mężczyzna;BEZP
220704;3;Prabuty;gmw;53.738261,19.201214;25;Gdańsk;KONFEDERACJA;6;OCHAŁ;Andrzej;Mężczyzna;RuchNarodowy
221201;1;Ustka (b);gm;54.5732245,16.860188;25;Gdańsk;KONFEDERACJA;7;WYSOKIŃSKA;Monika Agnieszka;Kobieta;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;8;RABĘDA;Krzysztof;Mężczyzna;Korwin
220404;2;Pruszcz Gdański;gw;54.269208,18.669243;25;Gdańsk;KONFEDERACJA;9;CZARNECKA;Anna;Kobieta;BEZP
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;KONFEDERACJA;10;PAWEŁCZAK;Barnaba Bogusz;Mężczyzna;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;KONFEDERACJA;11;PAPROCKA;Małgorzata Maria;Kobieta;BEZP
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;KONFEDERACJA;12;PIASECKA;Dorota Magdalena;Kobieta;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;13;PASZKO;Dagmara;Kobieta;BEZP
220507;2;Sulęczyno;gw;54.243795,17.792204;25;Gdańsk;KONFEDERACJA;14;LABUDA;Katarzyna;Kobieta;BEZP
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;KONFEDERACJA;15;SEREDYŃSKI;Konrad Bartłomiej;Mężczyzna;RuchNarodowy
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;16;BRODNICKA;Kamila Kinga;Kobieta;Korwin
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;KONFEDERACJA;17;FALIŃSKA;Urszula;Kobieta;BEZP
221502;1;Rumia;gm;54.5692025,18.3849145;25;Gdańsk;KONFEDERACJA;18;LANDOWSKA;Agnieszka Monika;Kobieta;RuchNarodowy
302117;2;Tarnowo Podgórne;gw;52.4492485,16.6792775;25;Gdańsk;KONFEDERACJA;19;SZABLEWSKA;Joanna Maria;Kobieta;RuchNarodowy
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;KONFEDERACJA;20;WILK;Piotr Jerzy;Mężczyzna;RuchNarodowy
046101;1;Bydgoszcz (a);mm;53.129727,18.038169;25;Gdańsk;KONFEDERACJA;21;ADAMOWICZ;Emilia Regina;Kobieta;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;22;CHOJNACKA;Izabela Anna;Kobieta;RuchNarodowy
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KONFEDERACJA;23;STĘPKOWSKI;Adrian;Mężczyzna;Korwin
221401;1;Tczew;gm;54.0907165,18.7816105;25;Gdańsk;KONFEDERACJA;24;KRZYWKOWSKI;Marcin Piotr;Mężczyzna;Korwin
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;1;MACIEJEWSKA;Beata Monika;Kobieta;Wiosna
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;2;BANACH;Jolanta Maria;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;SLD;3;KOWALCZUK;Łukasz;Mężczyzna;LRazem
220703;2;Kwidzyn;gw;53.769314,18.979397;25;Gdańsk;SLD;4;ŚNIEG;Andrzej Stanisław;Mężczyzna;SLD
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;SLD;5;PIĘKOŚ;Michał Rafał;Mężczyzna;Wiosna
221406;2;Tczew;gw;54.085311,18.690074;25;Gdańsk;SLD;6;OCHOCKA;Iwona;Kobieta;Wiosna
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;7;STROJNY;Olga;Kobieta;LRazem
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;8;GWOŹDŹ;Edward Rajmund;Mężczyzna;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;9;HRYNIEWSKI;Wojciech;Mężczyzna;LRazem
220702;2;Gardeja;gw;53.6451185,19.038445;25;Gdańsk;SLD;10;NOWAK;Karolina;Kobieta;Wiosna
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;SLD;11;KRÓL;Judyta Anna;Kobieta;członek partii politycznej: Polska Partia Socjalistyczna
221507;2;Luzino;gw;54.561262,18.097215;25;Gdańsk;SLD;12;PACEK;Igor;Mężczyzna;Wiosna
220901;1;Malbork;gm;54.028507,19.044351;25;Gdańsk;SLD;13;HODERNY;Adam Ryszard;Mężczyzna;SLD
