teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia
221605;3;Sztum;gmw;53.9253965,18.9987235;25;Gdańsk;SLD;14;GREKULAK;Ksenia;Kobieta;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;15;KŁOS;Wojciech Jakub;Mężczyzna;LRazem
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;SLD;16;CYGAN;Mirosław Wojciech;Mężczyzna;SLD
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;17;STAŻEWSKA;Anna Ewa;Kobieta;LRazem
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;SLD;18;WADLEWSKA;Lucyna Beata;Kobieta;Wiosna
220404;2;Pruszcz Gdański;gw;54.269208,18.669243;25;Gdańsk;SLD;19;BYLICA;Bartosz;Mężczyzna;Wiosna
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;SLD;20;MARKIEWICZ;Dorota Maria;Kobieta;SLD
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;SLD;21;WICHERT;Marcin Krystian;Mężczyzna;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;22;ŻOCHOWSKA;Anna Kazimiera;Kobieta;Wiosna
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;SLD;23;SZKUDLAREK;Joanna Dorota;Kobieta;LRazem
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;SLD;24;KOPERSKI;Romuald Wincenty;Mężczyzna;SLD
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;PSL;1;KOBYLARZ;Andrzej Sławomir;Mężczyzna;BEZP
221313;2;Zblewo;gw;53.9447395,18.338918;25;Gdańsk;PSL;2;TRAWICKI;Krzysztof Gabriel;Mężczyzna;PSL
221004;2;Stegna;gw;54.293158,19.0729755;25;Gdańsk;PSL;3;PAWŁOWSKA;Maria Urszula;Kobieta;PSL
221401;1;Tczew;gm;54.0907165,18.7816105;25;Gdańsk;PSL;4;KUCHAREK;Adam Antoni;Mężczyzna;BEZP
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;PSL;5;KACZYŃSKI;Leszek Józef;Mężczyzna;BEZP
221313;2;Zblewo;gw;53.9447395,18.338918;25;Gdańsk;PSL;6;SARNOWSKI;Wojciech Ireneusz;Mężczyzna;BEZP
220106;3;Miastko;gmw;54.0355635,17.0032295;25;Gdańsk;PSL;7;BIERNACKI;Paweł Piotr;Mężczyzna;BEZP
221605;3;Sztum;gmw;53.9253965,18.9987235;25;Gdańsk;PSL;8;CYMERYS;Wojciech;Mężczyzna;PSL
220404;2;Pruszcz Gdański;gw;54.269208,18.669243;25;Gdańsk;PSL;9;TUSK;Lucyna Maria;Kobieta;BEZP
220904;2;Malbork;gw;54.049626,19.043073;25;Gdańsk;PSL;10;NOWAK;Bartosz Kazimierz;Mężczyzna;PSL
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;PSL;11;DASZKIEWICZ;Maria Jolanta;Kobieta;PSL
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;PSL;12;KŁOS;Małgorzata Maria;Kobieta;PSL
221404;3;Pelplin;gmw;53.9249955,18.7374445;25;Gdańsk;PSL;13;WERONIECKI;Bartosz Szymon;Mężczyzna;PSL
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;PSL;14;GRAHN;Marianna;Kobieta;PSL
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;PSL;15;MICHALAK;Leszek;Mężczyzna;PSL
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;16;KAMIŃSKI;Paweł;Mężczyzna;PSL
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;17;DOMBROWSKA-GRUBBA;Beata Agnieszka;Kobieta;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;18;HOŁUBOWSKI;Bartosz Rafał;Mężczyzna;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;19;RYBAKOWSKA;Małgorzata;Kobieta;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;PSL;20;MŁOT;Andrzej;Mężczyzna;PSL
221304;2;Bobowo;gw;53.8721795,18.537467;25;Gdańsk;PSL;21;PASZEK;Krystyna;Kobieta;BEZP
220402;2;Cedry Wielkie;gw;54.2553185,18.841109;25;Gdańsk;PSL;22;DĄBEK-STOBIERSKA;Janina Maria;Kobieta;BEZP
220402;2;Cedry Wielkie;gw;54.2553185,18.841109;25;Gdańsk;PSL;23;GRAJOSZEK;Zbigniew Mariusz;Mężczyzna;PSL
220508;3;Żukowo;gmw;54.3709575,18.379591;25;Gdańsk;PSL;24;DORNIAK;Tomasz;Mężczyzna;PSL
221312;2;Starogard Gdański;gw;53.993149,18.5345445;25;Gdańsk;KOBW;1;NEUMANN;Sławomir Arkadiusz;Mężczyzna;PORP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KOBW;2;WAŁĘSA;Jarosław Leszek;Mężczyzna;PORP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KOBW;3;POMASKA;Agnieszka Dominika;Kobieta;PORP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KOBW;4;ADAMOWICZ;Piotr;Mężczyzna;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KOBW;5;CHMIEL;Małgorzata;Kobieta;PORP
221605;3;Sztum;gmw;53.9253965,18.9987235;25;Gdańsk;KOBW;6;SARNOWSKI;Józef Leon;Mężczyzna;PSL
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KOBW;7;BOROWCZAK;Jerzy Stanisław;Mężczyzna;PORP
220701;1;Kwidzyn;gm;53.7204585,18.945284;25;Gdańsk;KOBW;8;WIDZ;Piotr;Mężczyzna;PORP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KOBW;9;BAUĆ;Piotr Paweł;Mężczyzna;członek partii politycznej: Twój Ruch
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;KOBW;10;BAGIŃSKI;Piotr Wojciech;Mężczyzna;PORP
226201;1;Gdynia (ab);mm;54.503614,18.463552;25;Gdańsk;KOBW;11;WÓJCIK;Małgorzata Joanna;Kobieta;Zieloni
221303;1;Starogard Gdański;gm;53.9654205,18.526571;25;Gdańsk;KOBW;12;GANCAREWICZ;Monika Katarzyna;Kobieta;BEZP
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;25;Gdańsk;KOBW;13;LISEK;Krzysztof;Mężczyzna;PORP
220401;1;Pruszcz Gdański;gm;54.257779,18.645299;25;Gdańsk;KOBW;14;SKONIECZNY;Stefan Leon;Mężczyzna;PORP
221002;3;Nowy Dwór Gdański;gmw;54.1963755,19.1384645;25;Gdańsk;KOBW;15;MICHALSKI;Jacek Wojciech;Mężczyzna;PORP
220901;1;Malbork;gm;54.028507,19.044351;25;Gdańsk;KOBW;16;KACPROWICZ;Beata Maria;Kobieta;BEZP
221401;1;Tczew;gm;54.0907165,18.7816105;25;Gdańsk;KOBW;17;KULAS;Jan Edward;Mężczyzna;PORP
221401;1;Tczew;gm;54.0907165,18.7816105;25;Gdańsk;KOBW;18;HANDKE-OWSIAK;Alicja;Kobieta;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KOBW;19;CZYŻEWSKA;Agata Anna;Kobieta;BEZP
226401;1;Sopot;mm;54.441869,18.547822;25;Gdańsk;KOBW;20;POBŁOCKA;Natalia Zuzanna;Kobieta;Nowoczesna
221404;3;Pelplin;gmw;53.9249955,18.7374445;25;Gdańsk;KOBW;21;ŚLEDŹ;Mariusz;Mężczyzna;BEZP
220704;3;Prabuty;gmw;53.738261,19.201214;25;Gdańsk;KOBW;22;MAJ;Lucyna;Kobieta;BEZP
221406;2;Tczew;gw;54.085311,18.690074;25;Gdańsk;KOBW;23;REZMEROWSKI;Roman Kazimierz;Mężczyzna;BEZP
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;25;Gdańsk;KOBW;24;LIEDER;Ewa;Kobieta;Nowoczesna
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PiS;1;HORAŁA;Marcin Michał;Mężczyzna;PiS
220201;1;Chojnice;gm;53.69997,17.56019;26;Słupsk;PiS;2;MRÓWCZYŃSKI;Aleksander Mikołaj;Mężczyzna;PiS
226301;1;Słupsk;mm;54.4605945,17.0281465;26;Słupsk;PiS;3;MÜLLER;Piotr Józef;Mężczyzna;PiS
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PiS;4;ŚNIADEK;Janusz;Mężczyzna;PiS
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PiS;5;ZWIERCAN;Małgorzata Grażyna;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PiS;6;ZARUDZKI;Ryszard Janusz;Mężczyzna;PiS
220408;2;Trąbki Wielkie;gw;54.16247,18.4986765;26;Słupsk;PiS;7;SROKA;Magdalena Joanna;Kobieta;PorozumienieJarosławaGowina
220106;3;Miastko;gmw;54.0355635,17.0032295;26;Słupsk;PiS;8;ŁUCZYK;Mariusz Wojciech;Mężczyzna;PiS
220601;1;Kościerzyna;gm;54.120781,17.984626;26;Słupsk;PiS;9;KARCZEWSKI;Piotr Mariusz;Mężczyzna;PiS
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PiS;10;DAMBEK;Roman Witold;Mężczyzna;PiS
226301;1;Słupsk;mm;54.4605945,17.0281465;26;Słupsk;PiS;11;TREDER;Adam;Mężczyzna;PiS
221503;1;Wejherowo;gm;54.605985,18.233643;26;Słupsk;PiS;12;DREWA;Marcin Paweł;Mężczyzna;PiS
220801;1;Lębork;gm;54.5355845,17.7576885;26;Słupsk;PiS;13;WETTA;Krzysztof Adam;Mężczyzna;PiS
221501;1;Reda;gm;54.6210065,18.334663;26;Słupsk;PiS;14;MACKIEWICZ-SASIAK;Violetta Lilianna;Kobieta;PiS
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PiS;15;STOLARCZYK;Paweł;Mężczyzna;PiS
220502;3;Kartuzy;gmw;54.344675,18.1171165;26;Słupsk;PiS;16;LEYK;Andrzej;Mężczyzna;PiS
221102;3;Jastarnia;gmw;54.714741,18.628448;26;Słupsk;PiS;17;BUNIOWSKA;Wiesława Barbara;Kobieta;PiS
221210;2;Ustka;gw;54.5821725,16.9185195;26;Słupsk;PiS;18;LIS;Anna;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PiS;19;BIAŁOOKA-KOSTENECKA;Danuta Jadwiga;Kobieta;PiS
220802;1;Łeba (b);gm;54.760288,17.5819095;26;Słupsk;PiS;20;KUŻOWNIK;Jan;Mężczyzna;PiS
220302;3;Czarne;gmw;53.638776,17.0391905;26;Słupsk;PiS;21;BIROSZ;Mariusz Krzysztof;Mężczyzna;PiS
220201;1;Chojnice;gm;53.69997,17.56019;26;Słupsk;PiS;22;TOBOLSKA;Monika;Kobieta;PiS
221201;1;Ustka (b);gm;54.5732245,16.860188;26;Słupsk;PiS;23;WAŃTUCHOWICZ;Anna Marta;Kobieta;PiS
220502;3;Kartuzy;gmw;54.344675,18.1171165;26;Słupsk;PiS;24;BYSTRON;Andrzej Grzegorz;Mężczyzna;SolidarnaPolska
220802;1;Łeba (b);gm;54.760288,17.5819095;26;Słupsk;PiS;25;KRYGIER-NOWAK;Urszula Grażyna;Kobieta;PiS
220301;1;Człuchów;gm;53.664796,17.3679865;26;Słupsk;PiS;26;KURZELEWSKA;Arleta;Kobieta;BEZP
221104;3;Władysławowo;gmw;54.7940075,18.3617465;26;Słupsk;PiS;27;KOWALSKI;Michał Bartosz;Mężczyzna;PiS
221502;1;Rumia;gm;54.5692025,18.3849145;26;Słupsk;PiS;28;KLAWITER;Kazimierz;Mężczyzna;PiS
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PSL;1;BIERNACKI;Marek;Mężczyzna;BEZP
141804;3;Piaseczno;gmw;52.049303,20.999221;26;Słupsk;PSL;2;TOCZEK;Marek Jerzy;Mężczyzna;członek partii politycznej: Polska Nas Potrzebuje
221501;1;Reda;gm;54.6210065,18.334663;26;Słupsk;PSL;3;SZATKOWSKI;Radosław Jan;Mężczyzna;PSL
226301;1;Słupsk;mm;54.4605945,17.0281465;26;Słupsk;PSL;4;ELZANOWSKI;Czesław Andrzej;Mężczyzna;PSL
221107;2;Puck;gw;54.715215,18.319404;26;Słupsk;PSL;5;TKACZYK;Jerzy Andrzej;Mężczyzna;PSL
221501;1;Reda;gm;54.6210065,18.334663;26;Słupsk;PSL;6;LESNER;Łukasz Jan;Mężczyzna;PSL
220102;3;Bytów;gmw;54.15809,17.48918;26;Słupsk;PSL;7;MASZLUCH;Mirosław Józef;Mężczyzna;BEZP
220201;1;Chojnice;gm;53.69997,17.56019;26;Słupsk;PSL;8;GRUCHAŁA;Michał Rajmund;Mężczyzna;BEZP
221106;2;Krokowa;gw;54.762822,18.104375;26;Słupsk;PSL;9;GNIAZDOWSKA;Elżbieta;Kobieta;PSL
221503;1;Wejherowo;gm;54.605985,18.233643;26;Słupsk;PSL;10;BUJANOWICZ;Krzysztof Robert;Mężczyzna;PSL
220804;2;Nowa Wieś Lęborska;gw;54.573455,17.692739;26;Słupsk;PSL;11;PRUSZAK;Krzysztof Ludwik;Mężczyzna;PSL
221208;2;Słupsk;gw;54.490071,17.004862;26;Słupsk;PSL;12;SZOSTAKIEWICZ;Aldona Maria;Kobieta;BEZP
220201;1;Chojnice;gm;53.69997,17.56019;26;Słupsk;PSL;13;ZAWADZKI;Leszek Andrzej;Mężczyzna;PSL
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PSL;14;MIKOŁAJCZYK;Anna;Kobieta;PSL
220502;3;Kartuzy;gmw;54.344675,18.1171165;26;Słupsk;PSL;15;KELIŃSKI;Tadeusz;Mężczyzna;PSL
220204;3;Czersk;gmw;53.804996,17.897258;26;Słupsk;PSL;16;MARKOWSKA;Irena Maria;Kobieta;BEZP
221501;1;Reda;gm;54.6210065,18.334663;26;Słupsk;PSL;17;ZARZECKI;Krzysztof Józef;Mężczyzna;członek partii politycznej: Unia Europejskich Demokratów
220204;3;Czersk;gmw;53.804996,17.897258;26;Słupsk;PSL;18;ZIELIŃSKA;Danuta;Kobieta;BEZP
220201;1;Chojnice;gm;53.69997,17.56019;26;Słupsk;PSL;19;LUBCZYŃSKA-KIEŁPIŃSKA;Anita Monika;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PSL;20;KAMROWSKA;Marta Karolina;Kobieta;BEZP
220301;1;Człuchów;gm;53.664796,17.3679865;26;Słupsk;PSL;21;KONCZANIN;Bogusława;Kobieta;PSL
220805;2;Wicko;gw;54.7061305,17.6026225;26;Słupsk;PSL;22;KRZEKOTOWSKI;Jarosław Andrzej;Mężczyzna;PSL
220608;2;Stara Kiszewa;gw;53.979638,18.168855;26;Słupsk;PSL;23;PIANKOWSKA;Bożena Barbara;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PSL;24;KACZMAREK;Jacek Piotr;Mężczyzna;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PSL;25;PRZYBYLSKI;Wojciech Wiesław;Mężczyzna;PSL
220508;3;Żukowo;gmw;54.3709575,18.379591;26;Słupsk;PSL;26;DORNIAK;Krystyna Stefania;Kobieta;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;PSL;27;KUPCEWICZ;Janusz Bogdan;Mężczyzna;PSL
220607;2;Nowa Karczma;gw;54.134763,18.211655;26;Słupsk;PSL;28;MĘCZYKOWSKI;Dariusz Franciszek;Mężczyzna;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;1;DZIAMBOR;Artur Erwin;Mężczyzna;Korwin
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;2;KOZIEŁ;Andrzej Mirosław;Mężczyzna;RuchNarodowy
220201;1;Chojnice;gm;53.69997,17.56019;26;Słupsk;KONFEDERACJA;3;WAŁDOCH;Marcin Piotr;Mężczyzna;BEZP
221502;1;Rumia;gm;54.5692025,18.3849145;26;Słupsk;KONFEDERACJA;4;KŁECZEK;Tomasz Jan;Mężczyzna;RuchNarodowy
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;5;LOTKOWSKI;Adam;Mężczyzna;BEZP
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;6;TRUSZKOWSKI;Michał Maciej;Mężczyzna;RuchNarodowy
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;7;SZYMCZAK;Wiesława Helena;Kobieta;BEZP
220801;1;Lębork;gm;54.5355845,17.7576885;26;Słupsk;KONFEDERACJA;8;GRYŃ;Jarosław;Mężczyzna;RuchNarodowy
221004;2;Stegna;gw;54.293158,19.0729755;26;Słupsk;KONFEDERACJA;9;STUPKIEWICZ;Magdalena;Kobieta;Korwin
221507;2;Luzino;gw;54.561262,18.097215;26;Słupsk;KONFEDERACJA;10;BRUC;Piotr Sławomir;Mężczyzna;RuchNarodowy
220505;2;Somonino;gw;54.245543,18.215575;26;Słupsk;KONFEDERACJA;11;ŚWIECZKOWSKI;Arkadiusz Krzysztof;Mężczyzna;BEZP
221303;1;Starogard Gdański;gm;53.9654205,18.526571;26;Słupsk;KONFEDERACJA;12;WIECZOREK;Łukasz Dariusz;Mężczyzna;RuchNarodowy
226201;1;Gdynia (ab);mm;54.503614,18.463552;26;Słupsk;KONFEDERACJA;13;SYPNIEWSKA-MARCZYK;Agnieszka;Kobieta;BEZP
220508;3;Żukowo;gmw;54.3709575,18.379591;26;Słupsk;KONFEDERACJA;14;GŁOWACKI;Bartłomiej Wojciech;Mężczyzna;RuchNarodowy
220504;2;Sierakowice;gw;54.3508465,17.8608885;26;Słupsk;KONFEDERACJA;15;DYSZER;Michał;Mężczyzna;Korwin
