okr00;woj;okrname;coord;okr;komitet;nrk;glosy2015;p2015;Idk;empty;komitet2;kto;glosy2019
15;12;Tarnów;50.002445,21.021696;15;PSL;1;12171;4.17;1297451;15;PSL;KOSINIAK-KAMYSZ Władysław Marcin;33784
11;10;Sieradz;51.6017525,18.738381;11;SLD;1;16163;4.37;1297452;11;SLD;MATYSIAK Paulina;16757
6;06;Lublin;51.218389,22.563923;6;SLD;1;15115;3.10;1297620;6;SLD;CZERNIAK Jacek Andrzej;17720
16;14;Płock;52.5354155,19.7150025;16;PiS;1;31106;10.36;1297637;16;PiS;SZUMOWSKI Łukasz Jan;35798
14;12;Nowy Sącz;49.610243,20.70664;14;PiS;1;20408;6.57;1297639;14;PiS;MULARCZYK Arkadiusz;72660
39;30;Poznań;52.4006265,16.90154;39;PO;1;29760;7.26;1297675;39;KO;JAŚKOWIAK Joanna;67822
37;30;Konin;52.2562205,18.262651;37;PiS;1;26399;9.52;1297680;37;PiS;HOFFMANN Zbigniew Grzegorz;42859
8;08;Zielona Góra;51.9277125,15.5215805;8;PiS;1;17530;5.06;1297707;8;PiS;AST Marek;36073
36;30;Kalisz;51.747363,18.0760685;36;PiS;1;24122;6.64;1297725;36;PiS;DZIEDZICZAK Jan Michał;60599
34;28;Elbląg;54.1988105,19.434411;34;SLD;1;4210;2.10;1297731;34;SLD;FALEJ Monika Walentyna;11093
7;06;Chełm;51.1355835,23.489705;7;PSL;1;4606;1.36;1297740;7;PSL;SACHAJKO Jarosław;10651
2;02;Wałbrzych;50.7851055,16.2913995;2;SLD;1;7370;3.15;1297774;2;SLD;DYDUCH Marek;14451
35;28;Olsztyn;53.776555,20.4665675;35;PSL;1;6354;2.39;1297848;35;PSL;PASŁAWSKA Urszula Stefania;19528
23;18;Rzeszów;50.0058865,21.976327;23;PSL;1;5293;1.04;1297885;23;PSL;TYSZKA Stanisław;17086
32;24;Katowice;50.214288,19.008149;32;SLD;1;11089;3.90;1297902;32;SLD;CZARZASTY Włodzimierz;31244
17;14;Radom;51.417238,21.156178;17;PSL;1;7959;2.89;1297953;17;PSL;MALISZEWSKI Mirosław Wojciech;12752
9;10;Łódź;51.77348,19.4804095;9;SLD;1;23479;6.54;1297994;9;SLD;TRELA Tomasz Dominik;40811
1;02;Legnica;51.2047315,16.1583115;1;PO;1;15206;4.26;1298004;1;KO;BORYS Piotr;35064
38;30;Piła;53.134976,16.7601705;38;PiS;1;20503;7.59;1298006;38;PiS;CZARNECKI Krzysztof Władysław;38116
11;10;Sieradz;51.6017525,18.738381;11;PSL;1;6283;1.70;1298014;11;PSL;BEJDA Paweł Jan;14161
16;14;Płock;52.5354155,19.7150025;16;PSL;1;8070;2.69;1298033;16;PSL;ZGORZELSKI Piotr;16775
17;14;Radom;51.417238,21.156178;17;SLD;1;3258;1.18;1298078;17;SLD;FAJDEK Patryk;12045
5;04;Toruń;53.014486,18.6014485;5;SLD;1;25365;7.00;1298131;5;SLD;KWIATKOWSKI Robert Artur;13940
