rok;nro;nrlisty;komitet;nrk;nazwisko;imiona;plec;zawod;partia;glosy;procent;mandat
2015;6;2;PO;14;CHOLEWIŃSKA;Irena Marianna;K;pracownik obsługi biurowej;PO;125;0.03;n
2015;6;2;PO;15;MALESSA;Wojciech Józef;M;specjalista ds marketingu i handlu;PO;70;0.01;n
2015;6;2;PO;16;AL KUSAYER;Ayman;M;technik dentystyczny;PO;182;0.04;n
2015;6;2;PO;17;STASIAK;Celina Waleria;K;nauczyciel;BEZPARTYJNY;412;0.08;n
2015;6;2;PO;18;ŻOŁYNIA;Rafał Krzysztof;M;przedsiębiorca;PO;60;0.01;n
2015;6;2;PO;19;KULKA;Monika;K;politolog;PO;321;0.07;n
2015;6;2;PO;20;SĘK;Teresa Maria;K;rolnik;PO;151;0.03;n
2015;6;2;PO;21;DOROSZUK-MAJ;Marzena Wioletta;K;księgowa;PO;145;0.03;n
2015;6;2;PO;22;CIELICA;Mariusz;M;sprzedawca;PO;84;0.02;n
2015;6;2;PO;23;PISULA;Marcin;M;nauczyciel;PO;367;0.08;n
2015;6;2;PO;24;WERENGOWSKI;Łukasz Cezary;M;pracownik samorządowy;PO;87;0.02;n
2015;6;2;PO;25;ZAWROTNIAK-BOGUSZ;Justyna Monika;K;specjalista ds logistyki;PO;73;0.01;n
2015;6;2;PO;26;LEMPARTY;Ewelina;K;księgowa;PO;103;0.02;n
2015;6;2;PO;27;ŁĄTKA;Krzysztof;M;pracownik samorządowy;PO;216;0.04;n
2015;6;2;PO;28;MAMIŃSKI;Paweł Ryszard;M;nauczyciel;PO;162;0.03;n
2015;6;2;PO;29;BANASIK;Daria Katarzyna;K;nauczyciel;PO;186;0.04;n
2015;6;2;PO;30;SIEMBIDA;Mariusz;M;specjalista ds usług gastronomicznych i turystycznych;PO;501;0.10;n
2015;6;3;PRAZEM;1;WARZOCHA;Tomasz Piotr;M;chemik;PRAZEM;5697;1.17;n
2015;6;3;PRAZEM;2;DŁUGOSZ;Magdalena Anna;K;nauczyciel akademicki;BEZPARTYJNY;2216;0.45;n
2015;6;3;PRAZEM;3;WROŃSKI;Jarosław Piotr;M;specjalista do spraw stosunków międzynarodowych;PRAZEM;714;0.15;n
2015;6;3;PRAZEM;4;BABIS;Katarzyna Monika;K;artysta grafik;PRAZEM;631;0.13;n
2015;6;3;PRAZEM;5;MICHALIK;Piotr Leszek;M;urzędnik;PRAZEM;398;0.08;n
2015;6;3;PRAZEM;6;PLUTA;Karolina;K;animator kultury;BEZPARTYJNY;655;0.13;n
2015;6;3;PRAZEM;7;KACZYŃSKI;Gabriel Jan;M;specjalista do spraw handlu zagranicznego;PRAZEM;395;0.08;n
2015;6;3;PRAZEM;8;RUDNICKA;Katarzyna;K;nauczycielka języka obcego;PRAZEM;476;0.10;n
2015;6;3;PRAZEM;9;MASIERAK;Piotr Stanisław;M;dziennikarz;PRAZEM;235;0.05;n
2015;6;3;PRAZEM;11;KOZIOŁ;Maciej Paweł;M;pracownik kancelaryjny;PRAZEM;355;0.07;n
2015;6;3;PRAZEM;12;WARZOCHA;Halina Grażyna;K;technik ekonomista;BEZPARTYJNY;193;0.04;n
2015;6;3;PRAZEM;13;JÓŹWIK;Michał Jerzy;M;konwojent;PRAZEM;168;0.03;n
2015;6;3;PRAZEM;14;SZPANOWSKA;Justyna Maria;K;lektor języka obcego;PRAZEM;152;0.03;n
2015;6;3;PRAZEM;15;DETIUK;Marcin Jarosław;M;pedagog specjalny;PRAZEM;162;0.03;n
2015;6;3;PRAZEM;16;SOJA;Joanna Anita;K;nauczycielka języka obcego;PRAZEM;302;0.06;n
