rok;nro;nrlisty;komitet;nrk;nazwisko;imiona;plec;zawod;partia;glosy;procent;mandat
2015;10;1;PiS;1;MACIEREWICZ;Antoni;M;historyk;PiS;33960;11.89;t
2015;10;1;PiS;2;MILCZANOWSKA;Anna Maria;K;pedagog;BEZPARTYJNY;11562;4.05;t
2015;10;1;PiS;3;TELUS;Robert;M;rolnik;PiS;18670;6.53;t
2015;10;1;PiS;4;MISIEWICZ;Bartłomiej Sebastian;M;administratywista;PiS;1992;0.70;n
2015;10;1;PiS;5;WOJCIECHOWSKI;Grzegorz Michał;M;rolnik;PiS;21163;7.41;t
2015;10;1;PiS;6;MACIEJEWSKI;Krzysztof;M;mechanik;PiS;6818;2.39;t
2015;10;1;PiS;7;WĘGRZYNOWSKI;Mariusz Tomasz;M;nauczyciel;PiS;5266;1.84;n
2015;10;1;PiS;8;KUKLIŃSKI;Mirosław;M;samorządowiec;PiS;3735;1.31;n
2015;10;1;PiS;9;LOREK;Grzegorz Andrzej;M;urzędnik samorządowy;PiS;6344;2.22;n
2015;10;1;PiS;10;TRĘBSKI;Leszek;M;inżynier elektryk;PiS;4558;1.60;n
2015;10;1;PiS;11;PIETRASZKO;Anna Irena;K;ogrodnik;PiS;1444;0.51;n
2015;10;1;PiS;12;SZYMAŃSKA;Zofia Aleksandra;K;prawnik;PiS;1878;0.66;n
2015;10;1;PiS;13;WYSOCKA;Agnieszka Katarzyna;K;nauczyciel;BEZPARTYJNY;3598;1.26;n
2015;10;1;PiS;14;WENDROWSKA;Ewa Beata;K;lekarz;BEZPARTYJNY;1938;0.68;n
2015;10;1;PiS;15;LASOTA;Magdalena Małgorzata;K;bankowiec;BEZPARTYJNY;1141;0.40;n
2015;10;1;PiS;16;MESZKA-STEFANOWSKA;Bożena;K;samorządowiec;PiS;328;0.11;n
2015;10;1;PiS;17;KUBIAK;Dariusz Jan;M;samorządowiec;PiS;8004;2.80;t
2015;10;1;PiS;18;PAWLIKOWSKI;Jan;M;nauczyciel;BEZPARTYJNY;1735;0.61;n
2015;10;2;PO;1;RUTKOWSKA;Dorota;K;socjolog;PO;10157;3.55;t
2015;10;2;PO;2;RADZISZEWSKA;Elżbieta;K;lekarz medycyny;PO;12741;4.46;t
2015;10;2;PO;3;ROŻNIATOWSKI;Arkadiusz Paweł;M;auditor wewnętrzny;PO;1371;0.48;n
2015;10;2;PO;4;SPÓLNICKA;Magdalena Sylwia;K;farmaceuta;PO;4048;1.42;n
2015;10;2;PO;5;KUCHARSKI;Sylwester Wojciech;M;inżynier leśnik;PO;2457;0.86;n
2015;10;2;PO;6;CZAPLA;Andrzej Wiesław;M;inżynier elektryk;PO;2750;0.96;n
2015;10;2;PO;7;SOKALSKI;Jacek Marian;M;ekonomista;BEZPARTYJNY;1195;0.42;n
2015;10;2;PO;8;GRONOSTAJ-URBAŃSKA;Ewa;K;nauczyciel;BEZPARTYJNY;391;0.14;n
2015;10;2;PO;9;PIETRZAK;Teresa Wiesława;K;specjalista ds. sprzedaży;PO;814;0.28;n
2015;10;2;PO;10;DRZEWOSKA-ŁUCZAK;Agnieszka Beata;K;rzecznik konsumentów;PO;1716;0.60;n
2015;10;2;PO;11;MOSCARDO-MALINOWSKI;Hanna Marianna;K;architekt;PO;120;0.04;n
2015;10;2;PO;12;SIEDLECKI;Grzegorz Józef;M;prawnik;PO;1133;0.40;n
2015;10;2;PO;13;CZYŻYŃSKI;Konrad Andrzej;M;nauczyciel;PO;234;0.08;n
2015;10;2;PO;14;WIKTOROWICZ;Beata;K;geolog;BEZPARTYJNY;1329;0.47;n
2015;10;2;PO;15;BUJNOWSKI;Tadeusz Ryszard;M;lekarz medycyny;BEZPARTYJNY;1731;0.61;n
2015;10;2;PO;16;GRZELAK;Jacek Stefan;M;inżynier ochrony środowiska;PO;324;0.11;n
2015;10;2;PO;17;URBAŃCZYK;Bartosz Mariusz;M;politolog;BEZPARTYJNY;315;0.11;n
2015;10;2;PO;18;TOMASZEWSKI;Jan;M;trener piłkarski;BEZPARTYJNY;1347;0.47;n
2015;10;3;PRAZEM;1;KRYSIAK;Wioleta Magdalena;K;specjalista pracy socjalnej;PRAZEM;4049;1.42;n
2015;10;3;PRAZEM;2;PODPORA;Mariusz Łukasz;M;reżyser;PRAZEM;1196;0.42;n
2015;10;3;PRAZEM;3;GROCHULSKA-BUCEWKA;Agata Maria;K;handlowiec;BEZPARTYJNY;481;0.17;n
2015;10;3;PRAZEM;4;RÓŻALSKI;Artur;M;programista aplikacji;PRAZEM;519;0.18;n
2015;10;3;PRAZEM;5;WAŁKUSKA;Natalia Krystyna;K;technik ekonomista;BEZPARTYJNY;330;0.12;n
2015;10;3;PRAZEM;6;BARTOSIEWICZ;Rafał;M;specjalista bezpieczeństwa i higieny pracy;PRAZEM;652;0.23;n
2015;10;3;PRAZEM;7;RAŁ;Aleksandra;K;artysta grafik;BEZPARTYJNY;353;0.12;n
2015;10;3;PRAZEM;8;OSIŃSKI;Jacek Edward;M;technik handlowiec;BEZPARTYJNY;391;0.14;n
2015;10;3;PRAZEM;9;JELONKIEWICZ;Jolanta Kazimiera;K;nauczycielka informatyki;BEZPARTYJNY;120;0.04;n
2015;10;3;PRAZEM;10;ŁUGOWSKI;Kasper Cezary;M;programista aplikacji;PRAZEM;225;0.08;n
2015;10;3;PRAZEM;11;WINNICKA-SZMIELEW;Barbara Ewa;K;lekarz dentysta;BEZPARTYJNY;431;0.15;n
2015;10;4;KORWiN;1;KĘDZIERSKI;Lech Tomasz;M;inżynier mechanik;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;5316;1.86;n
2015;10;4;KORWiN;2;WOŹNIAK;Dariusz Paweł;M;lekarz weterynarii;BEZPARTYJNY;1897;0.66;n
2015;10;4;KORWiN;3;PŁACHETA;Wojciech Zdzisław;M;inżynier odlewnictwa;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;471;0.16;n
2015;10;4;KORWiN;4;OLAK;Anna;K;studentka;BEZPARTYJNY;654;0.23;n
2015;10;4;KORWiN;5;KASPRZYCA;Dawid Paweł;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;390;0.14;n
2015;10;4;KORWiN;6;ADAMCZYK;Marta Magdalena;K;studentka;BEZPARTYJNY;271;0.09;n
2015;10;4;KORWiN;7;KOPIŃSKI;Mateusz Sebastian;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;246;0.09;n
2015;10;4;KORWiN;8;WÓJCIK;Katarzyna;K;studentka;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;334;0.12;n
2015;10;4;KORWiN;9;KURCZYNA;Mateusz Adam;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;149;0.05;n
2015;10;4;KORWiN;10;OLEJNIK;Jagoda Katarzyna;K;ekonomistka;BEZPARTYJNY;282;0.10;n
2015;10;4;KORWiN;11;TRĘBSKI;Bartosz Adrian;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;180;0.06;n
2015;10;4;KORWiN;12;BRZEZIŃSKI;Jakub Radosław;M;kierowca;BEZPARTYJNY;216;0.08;n
2015;10;4;KORWiN;13;UTECHT;Bożena Teresa;K;technik elektroradiologii;BEZPARTYJNY;79;0.03;n
2015;10;4;KORWiN;14;DOBIESZ;Alicja Maria;K;psycholog;BEZPARTYJNY;122;0.04;n
2015;10;4;KORWiN;15;MIELCZAREK;Sebastian Krystian;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;553;0.19;n
2015;10;5;PSL;1;KLIMCZAK;Dariusz;M;pracownik samorządowy;PSL;6081;2.13;n
2015;10;5;PSL;2;OZGA;Krystyna Ewa;K;rolnik;PSL;3383;1.18;n
2015;10;5;PSL;3;BAGIEŃSKI;Artur Jan;M;nauczyciel;PSL;2808;0.98;n
2015;10;5;PSL;4;ROBAK;Barbara Danuta;K;pracownik samorządowy;PSL;737;0.26;n
2015;10;5;PSL;5;ŚLUSARCZYK;Wojciech;M;pracownik samorządowy;PSL;690;0.24;n
2015;10;5;PSL;6;CHRZĘST;Szczepan Józef;M;politolog;PSL;607;0.21;n
2015;10;5;PSL;7;WŁODARCZYK;Alojzy;M;nauczyciel;PSL;1681;0.59;n
2015;10;5;PSL;8;KRÓL-POSPIESZNY;Anna Małgorzata;K;pracownik samorządowy;BEZPARTYJNY;747;0.26;n
2015;10;5;PSL;9;WIERUSZEWSKI;Jan;M;ekonomista;PSL;667;0.23;n
2015;10;5;PSL;10;WITASZCZYK;Stanisław;M;meliorant;PSL;1708;0.60;n
2015;10;5;PSL;11;KUBIK;Małgorzata Agnieszka;K;nauczyciel;BEZPARTYJNY;323;0.11;n
2015;10;5;PSL;12;SKIERKOWSKI;Piotr Henryk;M;ogrodnik;PSL;114;0.04;n
2015;10;5;PSL;13;MILCZAREK;Ewa Marzena;K;nauczyciel;BEZPARTYJNY;394;0.14;n
2015;10;5;PSL;14;ZAWADZKA;Ewa Elżbieta;K;pedagog;PSL;205;0.07;n
2015;10;5;PSL;15;STACHOWIAK;Leszek;M;informatyk;BEZPARTYJNY;159;0.06;n
2015;10;5;PSL;16;KOWALCZYK;Jerzy Jacek;M;urzędnik samorządowy;BEZPARTYJNY;227;0.08;n
2015;10;5;PSL;17;MATUSIEWICZ;Monika Agnieszka;K;ekonomista;BEZPARTYJNY;150;0.05;n
2015;10;5;PSL;18;DZIADCZYK;Paulina Agnieszka;K;nauczyciel;PSL;683;0.24;n
2015;10;6;SLD;1;OSTROWSKI;Artur Zygmunt;M;nauczyciel;SLD;9824;3.44;n
2015;10;6;SLD;2;DOMARACKI;Marek Robert;M;pedagog pracy socjalnej;SLD;1142;0.40;n
2015;10;6;SLD;3;PIREK;Barbara Ewa;K;nauczyciel;Twój Ruch;1008;0.35;n
2015;10;6;SLD;4;CIACH;Arkadiusz Stanisław;M;prawnik;SLD;2080;0.73;n
2015;10;6;SLD;5;WIKTOROWICZ;Agnieszka Dorota;K;ekonomista;SLD;847;0.30;n
2015;10;6;SLD;6;BOGATKO;Dorota Jadwiga;K;kosmetolog podolog;BEZPARTYJNY;1046;0.37;n
2015;10;6;SLD;7;SZAJBLER;Dominik;M;inżynier leśnictwa;SLD;757;0.26;n
2015;10;6;SLD;8;MARKUN;Marta Elżbieta;K;kulturoznawca;BEZPARTYJNY;300;0.10;n
2015;10;6;SLD;9;WOJTANIA;Agata;K;urzędnik administracji publicznej;SLD;535;0.19;n
2015;10;6;SLD;10;DWORZYŃSKA;Jolanta Ewa;K;pracownik samorządowy;BEZPARTYJNY;307;0.11;n
2015;10;6;SLD;11;PIERKOŚ;Piotr Mariusz;M;nauczyciel;SLD;262;0.09;n
2015;10;6;SLD;12;BARYŁA;Stanisław Paweł;M;technik rolnik;BEZPARTYJNY;457;0.16;n
2015;10;6;SLD;13;ROCHMIŃSKI;Paweł;M;rolnik;SLD;164;0.06;n
2015;10;6;SLD;14;BIENIAS;Agnieszka;K;prawnik;SLD;423;0.15;n
2015;10;6;SLD;15;JĘDRZEJCZYK;Ewa Justyna;K;nauczyciel;SLD;329;0.12;n
2015;10;6;SLD;16;KRZEMIŃSKA;Katarzyna Genowefa;K;pielęgniarka;SLD;150;0.05;n
2015;10;6;SLD;17;MORAWSKA;Maria Bronisława;K;technik ekonomista;SLD;389;0.14;n
2015;11;2;PO;10;KRAWCZYK;Marek;M;nauczyciel;PO;1332;0.47;n
2015;10;7;KUKIZ;1;WÓJCIKOWSKI;Rafał Piotr;M;nauczyciel akademicki;BEZPARTYJNY;9135;3.20;t
2015;10;7;KUKIZ;2;JANOWSKA;Małgorzata Monika;K;ekonomista;BEZPARTYJNY;2877;1.01;n
2015;10;7;KUKIZ;3;KOSTRZEWA;Karol Roman;M;inżynier produkcji;BEZPARTYJNY;2214;0.77;n
2015;10;7;KUKIZ;4;RAK;Jacek Krzysztof;M;przedsiębiorca;BEZPARTYJNY;1408;0.49;n
2015;10;7;KUKIZ;5;CZERNIAK;Hubert Stanisław;M;lekarz medycyny;BEZPARTYJNY;2038;0.71;n
2015;10;7;KUKIZ;6;MADEJ;Jan;M;przedsiębiorca;BEZPARTYJNY;948;0.33;n
2015;10;7;KUKIZ;7;RADZISZEWSKI;Piotr Roland;M;specjalista do spraw reklamy;BEZPARTYJNY;823;0.29;n
2015;10;7;KUKIZ;8;KOBYŁCZAK;Paweł Piotr;M;sadownik;BEZPARTYJNY;361;0.13;n
2015;10;7;KUKIZ;9;OLCZAK-SCHLODIŃSKA;Ewa Anita;K;główna księgowa;BEZPARTYJNY;423;0.15;n
2015;10;7;KUKIZ;10;GAWRON;Dariusz Włodzimierz;M;przedsiębiorca;BEZPARTYJNY;760;0.27;n
2015;10;7;KUKIZ;11;STAŃCZYK;Magdalena;K;archiwista;BEZPARTYJNY;830;0.29;n
2015;10;7;KUKIZ;12;MIŚKIEWICZ;Joanna Elżbieta;K;dziewiarz maszynowy;BEZPARTYJNY;469;0.16;n
2015;10;7;KUKIZ;13;PIETRZAK;Elżbieta Urszula;K;sprzedawca;BEZPARTYJNY;378;0.13;n
2015;10;7;KUKIZ;14;CIĘŻKI;Tomasz Emil;M;informatyk;BEZPARTYJNY;1170;0.41;n
2015;10;7;KUKIZ;15;NICIA;Grzegorz Marek;M;przedsiębiorca;BEZPARTYJNY;783;0.27;n
2015;10;7;KUKIZ;16;ŁASKA;Paulina Patrycja;K;sprzedawca;BEZPARTYJNY;759;0.27;n
2015;10;7;KUKIZ;17;STĘPIEŃ;Agnieszka Katarzyna;K;gospodyni domowa;BEZPARTYJNY;792;0.28;n
2015;10;7;KUKIZ;18;WŁODARCZYK;Zbigniew Antoni;M;nauczyciel;BEZPARTYJNY;2640;0.92;n
2015;10;8;PETRU;1;ŁUCZAK;Agnieszka Maria;K;dziennikarka;BEZPARTYJNY;8482;2.97;n
2015;10;8;PETRU;2;WATA;Dariusz Norbert;M;nauczyciel;BEZPARTYJNY;1953;0.68;n
2015;10;8;PETRU;3;KOSOWSKI;Przemysław Piotr;M;przedsiębiorca;BEZPARTYJNY;778;0.27;n
2015;10;8;PETRU;4;ZAJĄCZKOWSKI;Tomasz Henryk;M;przedsiębiorca;BEZPARTYJNY;379;0.13;n
2015;10;8;PETRU;5;ŻEMEJDA-ZYBURA;Marzena Wioletta;K;dyrektor szkoły;BEZPARTYJNY;353;0.12;n
2015;10;8;PETRU;6;ALKSNIN;Agnieszka;K;radca prawny;BEZPARTYJNY;580;0.20;n
2015;10;8;PETRU;7;CHMIELEWSKI;Kamil Kazimierz;M;nauczyciel;BEZPARTYJNY;373;0.13;n
2015;10;8;PETRU;8;GRZELCZAK;Marcin Przemysław;M;urzędnik;BEZPARTYJNY;331;0.12;n
2015;10;8;PETRU;9;FULTZ;Anna Maria;K;architekt;BEZPARTYJNY;160;0.06;n
2015;10;8;PETRU;10;KUCHARSKI;Karol;M;nauczyciel;BEZPARTYJNY;318;0.11;n
2015;10;8;PETRU;11;KOSZARNA;Sylwia Anna;K;przedsiębiorca;BEZPARTYJNY;212;0.07;n
2015;10;8;PETRU;12;BUGDAL;Kamil Paweł;M;ekonomista;BEZPARTYJNY;349;0.12;n
2015;10;8;PETRU;13;KAŹMIERCZAK;Sławomir;M;przedsiębiorca;BEZPARTYJNY;278;0.10;n
2015;10;8;PETRU;14;LISTWOŃ;Anna Renata;K;technik farmacji;BEZPARTYJNY;181;0.06;n
2015;10;8;PETRU;15;NOWAKOWSKI;Andrzej;M;inżynier mechanik;BEZPARTYJNY;228;0.08;n
2015;10;8;PETRU;16;KRASZKIEWICZ;Marta Ewa;K;pracownik biurowy;BEZPARTYJNY;144;0.05;n
2015;10;8;PETRU;17;LANGE;Aleksandra Jolanta;K;politolog;BEZPARTYJNY;301;0.11;n
2015;10;8;PETRU;18;SENEJKO;Andrzej Jerzy;M;prawnik;BEZPARTYJNY;583;0.20;n
2015;11;1;PiS;1;WASZCZYKOWSKI;Witold Jan;M;parlamentarzysta;PiS;32909;8.90;t
2015;11;1;PiS;2;SCHREIBER;Grzegorz Zenon;M;parlamentarzysta;PiS;15948;4.31;t
2015;11;1;PiS;3;MATEUSIAK-PIELUCHA;Beata Anna;K;pracownik samorządowy;PiS;12059;3.26;t
2015;11;1;PiS;4;WOŹNIAK;Tadeusz Jacek;M;historyk;SolidarnaPolska;11011;2.98;t
2015;11;1;PiS;5;MATUSZEWSKI;Marek;M;parlamentarzysta;PiS;13880;3.75;t
2015;11;1;PiS;6;POLAK;Piotr Stanisław;M;rolnik;PiS;16637;4.50;t
2015;11;1;PiS;7;CIEBIADA;Krzysztof;M;technik mechanik;PiS;6381;1.73;n
2015;11;1;PiS;8;RZEPECKI;Łukasz Adrian;M;samorządowiec;PiS;9229;2.50;t
2015;11;1;PiS;9;ŚMIAŁEK;Jolanta Krystyna;K;nauczyciel;BEZPARTYJNY;2088;0.56;n
2015;11;1;PiS;10;KAŹMIERCZAK;Wieńczysław Jerzy;M;lekarz medycyny;PiS;1578;0.43;n
2015;11;1;PiS;11;RYCHLIK;Paweł Piotr;M;farmaceuta;PiS;8499;2.30;n
2015;11;1;PiS;12;PAPROTA;Katarzyna;K;logopeda;PiS;3112;0.84;n
2015;11;1;PiS;13;ŚNIEGULA;Andrzej Henryk;M;rolnik;BEZPARTYJNY;1280;0.35;n
2015;11;1;PiS;14;DYRGOŃ-BIAŁOWĄS;Anna Elżbieta;K;politolog;BEZPARTYJNY;430;0.12;n
2015;11;1;PiS;15;KŁOPOTOWSKI;Konrad;M;specjalista do spraw integracji europejskiej;PiS;1357;0.37;n
2015;11;1;PiS;16;PRAŻNOWSKA;Sylwia;K;pracownik biurowy;PiS;781;0.21;n
2015;11;1;PiS;17;ZNYK;Marek Paweł;M;ekonomista;BEZPARTYJNY;1493;0.40;n
2015;11;1;PiS;18;WRZAŁA;Sylwia Marianna;K;ekonomista;PiS;470;0.13;n
2015;11;1;PiS;19;DRABIK;Marek;M;nauczyciel;Prawica Rzeczypospolitej;800;0.22;n
2015;11;1;PiS;20;ZALEWSKI;Piotr Andrzej;M;rolnik;PiS;1213;0.33;n
2015;11;1;PiS;21;HENKE;Elżbieta;K;urzędnik;PiS;1071;0.29;n
2015;11;1;PiS;22;KOCHAŃSKA;Joanna Aneta;K;pedagog;PiS;1332;0.36;n
2015;11;1;PiS;23;SZCZEPAŃCZYK;Ewa Eugenia;K;socjolog;PiS;1104;0.30;n
2015;11;1;PiS;24;KRZAK;Michał Bazyli;M;lekarz dentysta;PiS;2961;0.80;n
2015;11;2;PO;1;TOMCZYK;Cezary Józef;M;politolog;PO;26781;7.24;t
2015;11;2;PO;2;HANAJCZYK;Agnieszka Małgorzata;K;prawnik;PO;12128;3.28;t
2015;11;2;PO;3;STĘPIEŃ;Witold Heronim;M;inżynier elektronik;PO;5686;1.54;n
2015;11;2;PO;4;SIKORA;Jacek;M;menedżer;BEZPARTYJNY;6498;1.76;n
2015;11;2;PO;5;SZKOPIŃSKA;Iwona Barbara;K;pracownik samorządowy;BEZPARTYJNY;2511;0.68;n
2015;11;2;PO;6;SOBOL;Kamil;M;nauczyciel;PO;1778;0.48;n
2015;11;2;PO;7;JAROSŁAWSKI;Marcel Jakub;M;pracownik organizacji pozarządowej;PO;1078;0.29;n
2015;11;2;PO;8;MAJER;Piotr Lucjan;M;administratywista;PO;1230;0.33;n
2015;11;2;PO;9;BARTOS;Bartłomiej;M;prawnik;BEZPARTYJNY;1630;0.44;n
2015;11;2;PO;10;KRAWCZYK;Marek;M;nauczyciel;PO;1753;0.47;n
2015;11;2;PO;11;BORGUL;Tomasz Piotr;M;przedsiębiorca;PO;633;0.17;n
2015;11;2;PO;12;KULESZA;Paweł Maciej;M;nauczyciel;PO;1355;0.37;n
2015;11;2;PO;13;JAKSA;Arkadiusz;M;geograf;PO;1902;0.51;n
2015;11;2;PO;14;STRUMIAN;Edyta Grażyna;K;nauczyciel;PO;690;0.19;n
2015;11;2;PO;15;URBANIAK;Paweł;M;inżynier budownictwa;BEZPARTYJNY;496;0.13;n
2015;11;2;PO;16;HEICHMAN;Ada;K;informatyk;PO;372;0.10;n
2015;11;2;PO;17;MARCZAK;Sławomira;K;nauczyciel;BEZPARTYJNY;328;0.09;n
2015;11;2;PO;18;BAUMANN;Ewa Antonina;K;nauczyciel;BEZPARTYJNY;348;0.09;n
2015;11;2;PO;19;KOŁODZIEJCZAK;Bogusława;K;księgowa;BEZPARTYJNY;418;0.11;n
2015;11;2;PO;20;BEREŻEWSKA;Bogusława;K;rejestratorka medyczna;PO;297;0.08;n
2015;11;2;PO;21;MAJCZYK;Robert Jan;M;nauczyciel;PO;588;0.16;n
2015;11;2;PO;22;PAWLAK-SZPOTAN;Monika Katarzyna;K;politolog;PO;615;0.17;n
2015;11;2;PO;23;PAŁKA;Justyna Krystyna;K;nauczyciel;PO;1117;0.30;n
2015;11;2;PO;24;DUNIN;Artur Jerzy;M;geodeta;PO;8082;2.19;t
2015;11;3;PRAZEM;1;MIRYS;Mateusz Piotr;M;projektant grafiki;PRAZEM;5138;1.39;n
2015;11;3;PRAZEM;2;KROMKOWSKA;Marta Magdalena;K;specjalista do spraw sprzedaży;PRAZEM;1545;0.42;n
2015;11;3;PRAZEM;3;KLIMCZAK;Jakub Przemysław;M;kierownik hostelu;PRAZEM;1037;0.28;n
2015;11;3;PRAZEM;4;GOLISZEWSKA;Justyna;K;szef kuchni;PRAZEM;759;0.21;n
2015;11;3;PRAZEM;5;DOBROWOLSKI;Przemysław Sebastian;M;agent ubezpieczeniowy;BEZPARTYJNY;563;0.15;n
2015;11;3;PRAZEM;6;WOYDA;Zuzanna;K;pedagog;PRAZEM;515;0.14;n
2015;11;3;PRAZEM;7;GŁOWACKI;Sylwester;M;bloger;PRAZEM;482;0.13;n
2015;11;3;PRAZEM;8;SONTOWSKA;Aleksandra Magdalena;K;specjalista do spraw sprzedaży;PRAZEM;204;0.06;n
2015;11;3;PRAZEM;9;LITWINOWICZ;Krzysztof Adam;M;psycholog;PRAZEM;220;0.06;n
2015;11;3;PRAZEM;10;ŻUKOWICZ;Olga Edyta;K;psycholog;BEZPARTYJNY;306;0.08;n
2015;11;3;PRAZEM;11;MAŚLANKA;Karol;M;nauczyciel informatyki;PRAZEM;498;0.13;n
2015;11;3;PRAZEM;12;WIECZOREK;Katarzyna Anna;K;bibliotekarz;PRAZEM;630;0.17;n
2015;11;3;PRAZEM;13;KORCZYC;Hubert;M;korektor tekstu;PRAZEM;313;0.08;n
2015;11;3;PRAZEM;14;WÓJCIKOWSKA;Ewelina Małgorzata;K;analityk biznesowy;BEZPARTYJNY;867;0.23;n
2015;11;4;KORWiN;1;UTECHT;Waldemar Arkadiusz;M;przedsiębiorca;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;6326;1.71;n
2015;11;4;KORWiN;2;GAPIŃSKA;Magdalena;K;nie pracuje;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;1215;0.33;n
2015;11;4;KORWiN;3;EJSMONT;Bolesław;M;przedsiębiorca;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;831;0.22;n
2015;11;4;KORWiN;4;WANDACHOWICZ;Krystian;M;student;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;543;0.15;n
2015;11;4;KORWiN;5;KACPEROWSKI;Mariusz;M;przedsiębiorca;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;837;0.23;n
2015;11;4;KORWiN;6;OŻADOWICZ;Łukasz Artur;M;informatyk;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;303;0.08;n
2015;11;4;KORWiN;7;WŁODARCZYK;Katarzyna Krystyna;K;przedsiębiorca;BEZPARTYJNY;458;0.12;n
2015;11;4;KORWiN;8;BOCZKOWSKA-LESIAK;Marta Daria;K;technik administracji;BEZPARTYJNY;186;0.05;n
2015;11;4;KORWiN;9;WOLNIEWICZ;Adam Jan;M;handlowiec;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;468;0.13;n
2015;11;4;KORWiN;10;SZOSZKIEWICZ;Piotr;M;instruktor pływania;BEZPARTYJNY;259;0.07;n
2015;11;4;KORWiN;11;RUSZKOWSKI;Łukasz Stanisław;M;student;BEZPARTYJNY;188;0.05;n
2015;11;4;KORWiN;12;JABŁOŃSKI;Robert Tomasz;M;automatyk elektryk;BEZPARTYJNY;374;0.10;n
2015;11;4;KORWiN;13;PIASKOWSKI;Bartłomiej Krzysztof;M;handlowiec;BEZPARTYJNY;250;0.07;n
2015;11;4;KORWiN;14;NOCHOWICZ;Żaneta Anna;K;kierownik produkcji;BEZPARTYJNY;144;0.04;n
2015;11;4;KORWiN;15;STEFAŃSKA;Magdalena;K;przedsiębiorca;BEZPARTYJNY;177;0.05;n
2015;11;4;KORWiN;16;JABŁOŃSKI;Michał Jan;M;grafik komputerowy;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;267;0.07;n
2015;11;4;KORWiN;17;BOROWSKI;Mateusz Rafał;M;przedsiębiorca;BEZPARTYJNY;452;0.12;n
2015;11;4;KORWiN;18;STOS;Aleksandra Ewa;K;student;BEZPARTYJNY;175;0.05;n
2015;11;4;KORWiN;19;GAMALCZYK;Julia;K;student;BEZPARTYJNY;135;0.04;n
2015;11;4;KORWiN;20;NOWOJEWSKI;Wojciech;M;student;BEZPARTYJNY;201;0.05;n
2015;11;4;KORWiN;21;JURCZAK;Angelika Anna;K;handlowiec;BEZPARTYJNY;296;0.08;n
2015;11;4;KORWiN;22;BEDNAREK;Magdalena Dorota;K;handlowiec;BEZPARTYJNY;356;0.10;n
2015;11;4;KORWiN;23;MARCZAK;Artur Piotr;M;specjalista ds. planowania;BEZPARTYJNY;314;0.08;n
2015;11;4;KORWiN;24;OSIEWAŁA;Zbigniew Zenon;M;policjant ;KORWiN: Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja;416;0.11;n
2015;11;5;PSL;1;BEJDA;Paweł Jan;M;pracownik administracji samorządowej;PSL;6283;1.70;t
2015;11;5;PSL;2;NAWROCKA;Elżbieta Renata;K;technolog żywności;PSL;3620;0.98;n
2015;11;5;PSL;3;GABRYJĄCZYK;Cezary Zbigniew;M;ekonomista;PSL;1416;0.38;n
2015;11;5;PSL;4;PACHOLSKI;Michał Tomasz;M;geodeta;PSL;779;0.21;n
2015;11;5;PSL;5;GÓRCZYŃSKI;Andrzej Robert;M;rolnik - ekonomista;BEZPARTYJNY;1886;0.51;n
2015;11;5;PSL;6;KAPICA;Marek;M;rolnik;BEZPARTYJNY;835;0.23;n
2015;11;5;PSL;7;CHOWIS;Andrzej Franciszek;M;pracownik samorządowy;BEZPARTYJNY;1733;0.47;n
2015;11;5;PSL;8;ŚLUSAREK;Tadeusz Jerzy;M;pracownik samorządowy;PSL;1013;0.27;n
2015;11;5;PSL;9;JANISZEWSKI;Sławomierz Kazimierz;M;adwokat;PSL;499;0.13;n
2015;11;5;PSL;10;STASIAK;Zbigniew Marek;M;ekonomista;PSL;1459;0.39;n
2015;11;5;PSL;11;ŁAWNICZAK;Artur Jerzy;M;pracownik samorządowy;PSL;1105;0.30;n
2015;11;5;PSL;12;JASIŃSKA;Justyna Magdalena;K;rolnik;PSL;282;0.08;n
2015;11;5;PSL;13;ELERT;Lidia Małgorzata;K;menedżer;BEZPARTYJNY;793;0.21;n
2015;11;5;PSL;14;GABRYELCZAK;Małgorzata;K;ekonomista;PSL;485;0.13;n
2015;11;5;PSL;15;ROGOWSKA-TYLMAN;Zofia Henryka;K;farmaceuta;BEZPARTYJNY;246;0.07;n
