nro;nrw;siedziba;coord
1;02;Legnica;51.2047315,16.1583115
2;02;Wałbrzych;50.7851055,16.2913995
3;02;Wrocław;51.1261165,16.991816
4;04;Bydgoszcz;53.129727,18.038169
5;04;Toruń;53.014486,18.6014485
6;06;Lublin;51.218389,22.563923
7;06;Chełm;51.1355835,23.489705
8;08;Zielona Góra;51.9277125,15.5215805
9;10;Łódź;51.77348,19.4804095
10;10;Piotrków Trybunalski;51.4129525,19.716625
11;10;Sieradz;51.6017525,18.738381
12;12;Kraków;50.046894,20.0048255
13;12;Kraków;50.046894,20.0048255
14;12;Nowy Sącz;49.610243,20.70664
15;12;Tarnów;50.002445,21.021696
16;14;Płock;52.5354155,19.7150025
17;14;Radom;51.417238,21.156178
18;14;Siedlce;52.1617485,22.27579
19;14;Warszawa;52.233002,21.0614195
20;14;Warszawa;52.233002,21.0614195
21;16;Opole;50.6788155,17.9061435
22;18;Krosno;49.6892935,21.753032
23;18;Rzeszów;50.0058865,21.976327
24;20;Białystok;53.1275085,23.156492
25;22;Gdańsk;54.361096,18.6899295
26;22;Słupsk;54.4605945,17.0281465
27;24;Bielsko-Biała;49.812118,19.038784
28;24;Częstochowa;50.8096365,19.122219
29;24;Katowice;50.214288,19.008149
30;24;Bielsko-Biała;49.812118,19.038784
31;24;Katowice;50.214288,19.008149
32;24;Katowice;50.214288,19.008149
33;26;Kielce;50.85419,20.615443
34;28;Elbląg;54.1988105,19.434411
35;28;Olsztyn;53.776555,20.4665675
36;30;Kalisz;51.747363,18.0760685
37;30;Konin;52.2562205,18.262651
38;30;Piła;53.134976,16.7601705
39;30;Poznań;52.4006265,16.90154
40;32;Koszalin;54.2071915,16.2167295
41;32;Szczecin;53.429696,14.6242155
