teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;4;MAZUREK;Marek;Mężczyzna;BEZP;51.223036 22.568718
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;5;ZABRATAŃSKA;Katarzyna Edyta;Kobieta;LRazem;51.230886 22.559474
066101;1;Biała Podlaska;mm;52.0290345,23.1383055;7;Chełm;SLD;1;PAWŁOWSKA;Monika Jolanta;Kobieta;Wiosna;52.025434 23.135384
060401;1;Hrubieszów (c);gm;50.806795,23.890625;7;Chełm;SLD;2;SZELĄG;Piotr Edward;Mężczyzna;członek partii politycznej: SLD;50.805927 23.884660
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;7;Chełm;SLD;3;BORYSIUK;Bolesław Borys;Mężczyzna;BEZP;52.229326 21.010067
061503;2;Czemierniki;gw;51.669442,22.6313825;7;Chełm;SLD;4;ROGALA;Sławomir;Mężczyzna;BEZP;51.673418 22.632477
066301;1;Lublin;mm;51.218389,22.563923;7;Chełm;SLD;5;GOŁOŚ;Michał Reoland;Mężczyzna;BEZP;51.196120 22.565923
086201;1;Zielona Góra (a);mm;51.9277125,15.5215805;8;Zielona Góra;SLD;1;KUCHARSKA-DZIEDZIC;Anita Agnieszka;Kobieta;Wiosna;51.921412 15.509461
080906;3;Sulechów;gmw;52.0944715,15.5755185;8;Zielona Góra;SLD;2;WONTOR;Bogusław Tadeusz;Mężczyzna;SLD;52.089559 15.577939
086201;1;Zielona Góra (a);mm;51.9277125,15.5215805;8;Zielona Góra;SLD;3;RUSZKOWSKA;Adrianna;Kobieta;LRazem;51.924754 15.533272
080107;3;Witnica;gmw;52.689338,14.8599835;8;Zielona Góra;SLD;4;STOJANOWSKI;Artur;Mężczyzna;BEZP;52.689122 14.858285
081109;2;Tuplice;gw;51.6943215,14.8920175;8;Zielona Góra;SLD;5;GARGUL;Anna;Kobieta;LRazem;51.695928 14.891759
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;1;TRELA;Tomasz Dominik;Mężczyzna;SLD;51.775303 19.469449
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;2;GILL-PIĄTEK;Hanna Beata;Kobieta;Wiosna;51.752508 19.463016
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;3;KWIATKOWSKI;Michał Wojciech;Mężczyzna;LRazem;51.787020 19.486427
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;4;PAWŁOWSKI;Sylwester Stefan;Mężczyzna;SLD;51.772414 19.476828
106101;1;Łódź (a);mm;51.77348,19.4804095;9;Łódź;SLD;5;FRĄCZAK;Tomasz;Mężczyzna;Wiosna;51.767538 19.479212
106101;1;Łódź (a);mm;51.77348,19.4804095;10;Piotrków Trybunalski;SLD;1;SOWIŃSKA;Anita Katarzyna;Kobieta;Wiosna;51.779181 19.459505
