Komitet;Typ;Pozycja;Nazwisko;Imiona;Plec;Partia;Zawod
PSL;KWPP;2;KEMPF;Piotr Marek;Mężczyzna;PSL;inżynier leśnictwa
PSL;KWPP;3;PATENA;Marta Elżbieta;Kobieta;BEZP;nauczyciel
PSL;KWPP;4;WANTUCH;Łukasz Mariusz;Mężczyzna;BEZP;prawnik
PSL;KWPP;5;PUŁKA;Jerzy;Mężczyzna;PSL;wyższy urzędnik samorządowy
PSL;KWPP;6;STACH;Beata Katarzyna;Kobieta;StronnictwoDemokratyczne;technik mechanik obróbki skrawaniem
PSL;KWPP;7;SZCZOCZARZ;Bartłomiej Andrzej;Mężczyzna;PSL;technik budownictwa
PSL;KWPP;8;ZIELNIK-PIELKA;Joanna Małgorzata;Kobieta;BEZP;lekarz
PSL;KWPP;9;LĘCZNAROWICZ;Elżbieta Janina;Kobieta;BEZP;konsultant
PSL;KWPP;10;GAJĘCKA;Jolanta Anna;Kobieta;BEZP;nauczyciel
PSL;KWPP;11;KLEMPA;Przemysław Zbigniew;Mężczyzna;StronnictwoDemokratyczne;prawnik
PSL;KWPP;12;PASZKOT;Marzena Iwona;Kobieta;PSL;wyższy urzędnik samorządowy
PSL;KWPP;13;APOSTOŁ;Marian;Mężczyzna;BEZP;prawnik
PSL;KWPP;14;OKRAJEK;Włodzimierz Wiktor;Mężczyzna;PSL;pracownik administracji samorządowej
PSL;KWPP;15;POBĘDZA;Czesław Maciej;Mężczyzna;BEZP;rolnik
PSL;KWPP;16;MITKA;Katarzyna Helena;Kobieta;PSL;nauczyciel
PSL;KWPP;17;FLOREK;Marcin Grzegorz;Mężczyzna;StronnictwoDemokratyczne;przedsiębiorca
PSL;KWPP;18;KURTYKA;Halina Ewa;Kobieta;PSL;specjalista do spraw organizacji usług gastronomicznych, hotelarskich i turystycznych
PSL;KWPP;19;SŁAWOMIRSKI;Radosław Paweł;Mężczyzna;LigaPolskichRodzin;nauczyciel akademicki
PSL;KWPP;20;STRUTYŃSKI;Łukasz Andrzej;Mężczyzna;BEZP;prawnik
PSL;KWPP;21;SOSENKO;Krzysztof Jan;Mężczyzna;PSL;ekonomista
PSL;KWPP;22;PASTERNAK;Janusz Mariusz;Mężczyzna;PSL;technik budownictwa
PSL;KWPP;23;DRWAL;Dawid Marek;Mężczyzna;BEZP;kierownik działu w lokalu gastronomicznym
PSL;KWPP;24;SZWED;Barbara Ewa;Kobieta;BEZP;pracownik cywilny wojska
PSL;KWPP;25;MACHNIK;Grzegorz Józef;Mężczyzna;PSL;technik elektryk
PSL;KWPP;26;WÓJCIK;Adam Bernard;Mężczyzna;BEZP;inżynier transportu drogowego
PSL;KWPP;27;DZIEDZIC;Stanisław;Mężczyzna;BEZP;kulturoznawca
PSL;KWPP;28;PROKOP-STASZECKA;Anna Barbara;Kobieta;PSL;lekarz
PiS;KWPP;1;WASSERMANN;Małgorzata Ewa;Kobieta;BEZP;adwokat
PiS;KWPP;2;TERLECKI;Ryszard Iwon;Mężczyzna;PiS;wykładowca akademicki
PiS;KWPP;3;ADAMCZYK;Andrzej Mieczysław;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;4;BUBULA;Barbara Ewa;Kobieta;PiS;filolog polski
PiS;KWPP;5;OSUCH;Jacek Piotr;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;6;ĆWIK;Piotr Krzysztof;Mężczyzna;PiS;nauczyciel
PiS;KWPP;7;DUDA;Elżbieta;Kobieta;PiS;parlamentarzysta
PiS;KWPP;8;ŚWIERCZEK;Krzysztof;Mężczyzna;PiS;nauczyciel historii
PiS;KWPP;9;GAMROT;Piotr Tadeusz;Mężczyzna;PiS;dyrektor domu kultury
PiS;KWPP;10;ZIOBRO;Jan Paweł;Mężczyzna;SolidarnaPolska;ekonomista
PiS;KWPP;11;PODOSEK;Adam Piotr;Mężczyzna;PiS;lekarz
PiS;KWPP;12;DANIOŁ;Ewa;Kobieta;PiS;inżynier rolnictwa
PiS;KWPP;13;DOPART;Bogusław Jan;Mężczyzna;BEZP;nauczyciel akademicki
PiS;KWPP;14;SERAFIN;Piotr Karol;Mężczyzna;BEZP;ekonomista
PiS;KWPP;15;NOWAK;Stanisław Andrzej;Mężczyzna;BEZP;strażak
PiS;KWPP;16;STANOWSKA-CICHOŃ;Bogusława Maria;Kobieta;BEZP;filolog polski
PiS;KWPP;17;KUŚ;Rafał Andrzej;Mężczyzna;PiS;informatyk
PiS;KWPP;18;FRANKIEWICZ;Krystyna Anna;Kobieta;PiS;ekonomista
PiS;KWPP;19;BUDKOWSKA;Anna Maria;Kobieta;BEZP;filozof
PiS;KWPP;20;KAŁUŻA;Szymon Franciszek;Mężczyzna;PiS;technik wiertnik
PiS;KWPP;21;KACZMARCZYK;Magdalena Maria;Kobieta;PiS;student
PiS;KWPP;22;FIRLEJ;Paweł Jacek;Mężczyzna;BEZP;adwokat
PiS;KWPP;23;PĘK;Bogdan Marek;Mężczyzna;PiS;mgr inż. zootechniki
PiS;KWPP;24;KOSECKA;Justyna Natalia;Kobieta;BEZP;wyższy urzędnik państwowy
PiS;KWPP;25;GĘGOTEK;Zbigniew;Mężczyzna;PiS;chemik
PiS;KWPP;26;GRUSZKA;Stanisław Piotr;Mężczyzna;PiS;inż. chemik
PiS;KWPP;27;BĘTKOWSKA;Monika;Kobieta;BEZP;menadżer
PiS;KWPP;28;GOWIN;Jarosław Adam;Mężczyzna;PorozumienieJarosławaGowina;nauczyciel akademicki
SLD;KWPP;1;GDULA;Maciej Roman;Mężczyzna;BEZP;socjolog
SLD;KWPP;2;GOSEK-POPIOŁEK;Daria Iwona;Kobieta;LRazem;kierowniczka domu kultury
SLD;KWPP;3;LIPIŃSKA-PIEKARSKA;Joanna Olszyna;Kobieta;SLD;urzędnik samorządowy
