Komitet;Typ;Pozycja;Nazwisko;Imiona;Plec;Partia;Zawod
PiS;KWPP;1;LIPIŃSKI;Adam Józef;Mężczyzna;PiS;ekonomista
PiS;KWPP;2;WITEK;Elżbieta Barbara;Kobieta;PiS;parlamentarzysta
PiS;KWPP;3;MACHAŁEK;Marzena Anna;Kobieta;PiS;parlamentarzysta
PiS;KWPP;4;KUBÓW;Krzysztof Jan;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;5;ZUBOWSKI;Wojciech Michał;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;6;SZYMAŃSKA;Ewa Zofia;Kobieta;PiS;biegły rewident
PiS;KWPP;7;ZEMBIK;Teresa;Kobieta;PiS;nauczyciel informatyki/ technologii informacyjnej
PiS;KWPP;8;BABUŚKA;Adam;Mężczyzna;PiS;przedstawiciel władzy samorządowej - Starosta
PiS;KWPP;9;RYPIŃSKI;Józef;Mężczyzna;SolidarnaPolska;fizyk
PiS;KWPP;10;POGODA;Szymon Marek;Mężczyzna;PiS;kierownik biura
PiS;KWPP;11;MARCINIAK;Wojciech;Mężczyzna;PiS;filolog
PiS;KWPP;12;KARWAN;Jacek;Mężczyzna;PiS;prezes
PiS;KWPP;13;KREDKOWSKI;Andrzej;Mężczyzna;PiS;nauczyciel religii w szkole podstawowej
PiS;KWPP;14;BUCIUTO;Jadwiga Barbara;Kobieta;PiS;nauczyciel matematyki
PiS;KWPP;15;GĘBORYS;Dagmara Helena;Kobieta;BEZP;ekonomista
PiS;KWPP;16;BRZOZOWSKA;Kamila Dorota;Kobieta;PiS;kierownik wydziału
PiS;KWPP;17;BADZIŃSKA;Agnieszka Ewa;Kobieta;PiS;ekonomista
PiS;KWPP;18;SADOWSKA-KOWALSKA;Aurelia Barbara;Kobieta;PiS;pracownik do spraw osobowych
PiS;KWPP;19;CZYRKO;Eurydyka Maria;Kobieta;PiS;nauczyciel języka polskiego w szkole podstawowej
PiS;KWPP;20;KWIATKOWSKA;Ewa;Kobieta;PiS;pielęgniarka
PiS;KWPP;21;URBANOWICZ;Łukasz Franciszek;Mężczyzna;PiS;technik mechanik pojazdów samochodowych
PiS;KWPP;22;SARBAK;Dawid Łukasz;Mężczyzna;PiS;specjalista administracji publicznej
PiS;KWPP;23;BOJAKOWSKA;Dorota;Kobieta;PiS;specjalista administracji publicznej
PiS;KWPP;24;LESZCZYK;Wojciech Paweł;Mężczyzna;PiS;fizyk
KOBW;KKW;1;BORYS;Piotr;Mężczyzna;PORP;przedstawiciel władzy samorządowej - radny
KOBW;KKW;2;CZERNOW;Zofia;Kobieta;PORP;parlamentarzystka
KOBW;KKW;3;KROPIWNICKI;Robert;Mężczyzna;PORP;parlamentarzysta
KOBW;KKW;4;KRAWCZYK;Iwona Małgorzata;Kobieta;PORP;parlamentarzysta
KOBW;KKW;5;DROZD;Ewa;Kobieta;PORP;parlamentarzystka
KOBW;KKW;6;DUDKOWIAK;Jarosław Ryszard;Mężczyzna;PORP;przedstawiciel władzy samorządowej - Starosta
KOBW;KKW;7;BARANOWSKA;Dorota;Kobieta;PORP;nauczyciel
KOBW;KKW;8;BANDER;Michał;Mężczyzna;PORP;fizjoterapeuta
KOBW;KKW;9;SIKORA;Konrad Jerzy;Mężczyzna;Nowoczesna;urzędnik samorządowy
KOBW;KKW;10;ROWIŃSKI;Konrad Antoni;Mężczyzna;PORP;przedstawiciel władzy samorządowej - wicestarosta
KOBW;KKW;11;PICHAŁA;Anna Eugenia;Kobieta;BEZP;ekonomista
KOBW;KKW;12;DOWHAŃ-DOMAŃSKA;Ksenia Anna;Kobieta;PORP;przedsiębiorca
KOBW;KKW;13;ROLSKA;Beata Edyta;Kobieta;BEZP;neurologopeda nauczyciel - pedagog
KOBW;KKW;14;GRZEŚKÓW;Zbigniew;Mężczyzna;PORP;ekonomista
KOBW;KKW;15;BARCIK;Krystyna Henryka;Kobieta;PORP;ekonomista
KOBW;KKW;16;MAGRYŚ;Urszula;Kobieta;PORP;specjalista do spraw rachunkowości
KOBW;KKW;17;JAGIEŁŁO;Jakub Krzysztof;Mężczyzna;BEZP;przedstawiciel władzy samorządowej - radny
KOBW;KKW;18;SKÓRZEWSKA;Barbara Anna;Kobieta;BEZP;nauczyciel
KOBW;KKW;19;STRĄCZEK;Joanna Dorota;Kobieta;BEZP;kierownik przychodni
KOBW;KKW;20;SURWIŁO;Małgorzata Joanna;Kobieta;Nowoczesna;technik administracji
KOBW;KKW;21;BROK;Anna;Kobieta;PORP;ekonomista
KOBW;KKW;22;ZIELIŃSKI;Grzegorz;Mężczyzna;Nowoczesna;ekonomista
KOBW;KKW;23;GRAF;Mirosław;Mężczyzna;PORP;nauczyciel wychowania fizycznego
KOBW;KKW;24;BARTKOWIAK;Włodzimierz;Mężczyzna;Zieloni;analityk finansowy
SLD;KWPP;1;SEKUŁA-SZMAJDZIŃSKA;Małgorzata Helena;Kobieta;SLD;adwokat
SLD;KWPP;2;OBAZ;Robert Marcin;Mężczyzna;Wiosna;inżynier telekomunikacji
SLD;KWPP;3;FILACZYŃSKA;Kaja;Kobieta;LRazem;lekarka
SLD;KWPP;4;ZBRZYZNY;Ryszard;Mężczyzna;SLD;inżynier górnik
SLD;KWPP;5;PIĄTEK;Damian;Mężczyzna;SLD;pracownik samorządowy
SLD;KWPP;6;BURAKOWSKA;Krystyna Anna;Kobieta;LRazem;nauczyciel przedszkola
SLD;KWPP;7;PACZÓSKI;Piotr Jerzy;Mężczyzna;SLD;ekonomista
SLD;KWPP;8;ORZECHOWSKA;Joanna Magdalena;Kobieta;Wiosna;specjalista ds. konsultingu
SLD;KWPP;9;GRYĆ;Paweł;Mężczyzna;LRazem;inżynier organizacji i planowania produkcji
SLD;KWPP;10;MIARA;Rafał;Mężczyzna;SLD;ekonomista
SLD;KWPP;11;JANKOWSKA;Magdalena;Kobieta;Wiosna;biotechnolog
SLD;KWPP;12;KRÓLEWIECKA-WALA;Dominika;Kobieta;LRazem;pedagog specjalny
SLD;KWPP;13;MAJEWICZ;Przemysław Mikołaj;Mężczyzna;Wiosna;przedsiębiorca
SLD;KWPP;14;BIDNYK;Mikołaj Adam;Mężczyzna;BEZP;specjalista do spraw rekrutacji pracowników
SLD;KWPP;15;KOHLMAN;Piotr Rafał;Mężczyzna;BEZP;nauczyciel
SLD;KWPP;16;GŁUSZKO;Rafał Krzysztof;Mężczyzna;BEZP;lekarz
SLD;KWPP;17;BACZMAŃSKI;Paweł Adam;Mężczyzna;BEZP;strażak
SLD;KWPP;18;PŁANETA-SIEWIERSKA;Edyta Katarzyna;Kobieta;BEZP;adwokat
SLD;KWPP;19;GRZYB;Leszek Kazimierz;Mężczyzna;SLD;menedżer
SLD;KWPP;20;RAKSZEWSKA;Alicja;Kobieta;BEZP;policjant służby kryminalnej - emeryt
SLD;KWPP;21;JÓŹWIK;Magdalena;Kobieta;BEZP;grafik komputerowy multimediów
SLD;KWPP;22;BRYCZKOWSKA;Inez Jolanta;Kobieta;BEZP;nauczyciel
SLD;KWPP;23;KOKO;Daniel Radosław;Mężczyzna;SLD;fizjoterapeuta
SLD;KWPP;24;GADEK;Sławomir Adam;Mężczyzna;LRazem;inżynier mechanik - środki transportu
BZPS;KWW;1;MYRDA;Adam Stanisław;Mężczyzna;BEZP;mechanik maszyn i urzadzeń górnictwa podziemnego
BZPS;KWW;2;GABRYSIAK;Tomasz Andrzej;Mężczyzna;BEZP;przedstawiciel władzy samorządowej - starosta
BZPS;KWW;3;KIEŁB;Jacek;Mężczyzna;BEZP;politolog
BZPS;KWW;4;MIEDZIŃSKI;Piotr Jan;Mężczyzna;BEZP;ekonomista
BZPS;KWW;5;JANIK;Kazimierz;Mężczyzna;BEZP;inżynier rolnictwa
BZPS;KWW;6;CASTAÑEDA TRUJILLO;Beata;Kobieta;BEZP;ekonomista
BZPS;KWW;7;WANDYCZ;Piotr Kazimierz;Mężczyzna;BEZP;strażak
BZPS;KWW;8;SZEFFS;Irena Ewa;Kobieta;BEZP;pielęgniarka - specjalista pielęgniarstwa kardiologicznego
BZPS;KWW;9;SALA;Rafał Krzysztof;Mężczyzna;BEZP;specjalista administracji publicznej
BZPS;KWW;10;LEWICKI;Krzysztof Mirosław;Mężczyzna;BEZP;przedstawiciel władzy samorządowej - radny
BZPS;KWW;11;TOBIASZ;Aleksandra Marta;Kobieta;BEZP;ekonomista
BZPS;KWW;12;CIEŚLA;Maciej Jan;Mężczyzna;BEZP;nauczyciel wychowania fizycznego
BZPS;KWW;13;SOBIESKA;Emilia Janina;Kobieta;BEZP;organizator imprez rozrywkowych
BZPS;KWW;14;ZIELIŃSKI;Artur Waldemar;Mężczyzna;BEZP;specjalista administracji publicznej
BZPS;KWW;15;CZAJA;Dariusz Andrzej;Mężczyzna;BEZP;nauczyciel historii
BZPS;KWW;16;FOREMNA;Justyna Magdalena;Kobieta;BEZP;dyrektor generalny
BZPS;KWW;17;KUŚWIK;Bartosz Seweryn;Mężczyzna;BEZP;animator kultury
BZPS;KWW;18;GRZELAK;Katarzyna Aneta;Kobieta;BEZP;wyższy urzędnik samorządowy
BZPS;KWW;19;WITKOWSKI;Krzysztof Walery;Mężczyzna;BEZP;pedagog specjalny
BZPS;KWW;20;KUSTROWSKA;Jolanta Elżbieta;Kobieta;BEZP;technik rolnik
BZPS;KWW;21;ZAWIERUCHA;Stefan Adam;Mężczyzna;BEZP;ekonomista
BZPS;KWW;22;TYMIŃSKA;Katarzyna Paula;Kobieta;BEZP;specjalista administracji publicznej
BZPS;KWW;23;SAŁADUCHA;Jadwiga Wacława;Kobieta;BEZP;nauczyciel nauczania początkowego
BZPS;KWW;24;POLAK-SALOMON;Kamil Norbert;Mężczyzna;BEZP;instruktor sportów siłowych
KONFEDERACJA;KWPP;1;UTECHT;Waldemar Arkadiusz;Mężczyzna;KWiN;politolog
KONFEDERACJA;KWPP;2;JASIŃSKI;Krzysztof Piotr;Mężczyzna;RuchNarodowy;ekonomista
KONFEDERACJA;KWPP;3;POTOCKA-KACZYK;Anna Dorota;Kobieta;RuchNarodowy;menedżer
KONFEDERACJA;KWPP;4;MISTOŃ;Krzysztof Norbert;Mężczyzna;BEZP;pracownik działu zapewnienia jakości
KONFEDERACJA;KWPP;5;GUDOWSKI;Dominik Sławomir;Mężczyzna;BEZP;muzyk
KONFEDERACJA;KWPP;6;BUSTOWSKI;Marcin Jerzy;Mężczyzna;BEZP;rolnik
KONFEDERACJA;KWPP;7;SOSIŃSKI;Krystian Piotr;Mężczyzna;BEZP;górnik
KONFEDERACJA;KWPP;8;BURDZIŃSKI;Remigiusz Konrad;Mężczyzna;RuchNarodowy;logistyk
KONFEDERACJA;KWPP;9;KORWIN-MIKKE;Kacper Mikołaj;Mężczyzna;BEZP;przedsiębiorca
KONFEDERACJA;KWPP;10;PASZYN;Paweł Stefan;Mężczyzna;BEZP;informatyk
KONFEDERACJA;KWPP;11;MALICKI;Jakub Edward;Mężczyzna;BEZP;sprzedawca
KONFEDERACJA;KWPP;12;GRYF-TOMASZEWSKI;Andrzej;Mężczyzna;RuchNarodowy;przedsiębiorca
KONFEDERACJA;KWPP;13;ŚWIERZOWSKA;Małgorzata Agnieszka;Kobieta;BEZP;inżynier procesów produkcyjnych
KONFEDERACJA;KWPP;14;KARPIEJ;Sabina Iwona;Kobieta;BEZP;student budownictwa
KONFEDERACJA;KWPP;15;SOLAREK-STRUMIŃSKA;Emilia Patrycja;Kobieta;BEZP;menedżer
KONFEDERACJA;KWPP;16;SPRYSAK;Sebastian Jacek;Mężczyzna;RuchNarodowy;inżynier elektryk
KONFEDERACJA;KWPP;17;WINNICKA;Regina Elżbieta;Kobieta;BEZP;technik energetyk
KONFEDERACJA;KWPP;18;BURDZIŃSKA;Małgorzata Olga;Kobieta;RuchNarodowy;filolog
KONFEDERACJA;KWPP;19;HOSZOWSKI;Jarosław;Mężczyzna;RuchNarodowy;nauczyciel
KONFEDERACJA;KWPP;20;PASZYN;Agnieszka Katarzyna;Kobieta;BEZP;chemik
KONFEDERACJA;KWPP;21;NICIEJEWSKA;Joanna;Kobieta;BEZP;analityk IT
KONFEDERACJA;KWPP;22;MAJEWICZ;Paweł;Mężczyzna;Korwin;przedsiębiorca
PSL;KWPP;1;ŻUK;Stanisław Adam;Mężczyzna;BEZP;menedżer
PSL;KWPP;2;SAMBORSKI;Tadeusz;Mężczyzna;PSL;emeryt - historyk
PSL;KWPP;3;SZCZĘSNA;Mariola;Kobieta;PSL;wyższy urzędnik samorządowy - burmistrz
PSL;KWPP;4;ROJEK;Andrzej;Mężczyzna;BEZP;lekarz- specjalista ortopedii
PSL;KWPP;5;LASKOWSKI;Stanisław;Mężczyzna;PSL;przedstawiciel władzy samorządowej - wicestarosta
PSL;KWPP;6;JURKOWSKI;Artur Andrzej;Mężczyzna;PSL;wyższy urzędnik samorządowy - wójt
PSL;KWPP;7;RAK;Zofia;Kobieta;PSL;emeryt - nauczyciel
PSL;KWPP;8;PIOTROWSKI;Wiktor Marian;Mężczyzna;BEZP;emeryt - lekarz
PSL;KWPP;9;BRZOZOWSKA;Bożena Maria;Kobieta;BEZP;radca prawny
PSL;KWPP;10;BURDYNA;Olga;Kobieta;BEZP;emeryt - kucharz
PSL;KWPP;11;WRONA;Maria;Kobieta;PSL;emeryt - rolnik
PSL;KWPP;12;STANKIEWICZ;Cecylia Ewa;Kobieta;BEZP;emeryt - menedżer
PSL;KWPP;13;SADOWSKI;Roman Edward;Mężczyzna;PSL;nauczyciel
PSL;KWPP;14;GRZYB;Stanisław;Mężczyzna;PSL;emeryt - przedstawiciel władzy samorządowej
PSL;KWPP;15;MATYS;Waldemar Andrzej;Mężczyzna;StronnictwoDemokratyczne;lekarz dentysta
PSL;KWPP;16;SALATA;Romuald Piotr;Mężczyzna;BEZP;emeryt - górnik
PSL;KWPP;17;KRASOWSKI;Marcin Karol;Mężczyzna;PSL;informatyk
PSL;KWPP;18;TUCHOWSKA;Kazimiera Zofia;Kobieta;PSL;emeryt - technik rolnik
PSL;KWPP;19;IMIELSKI;Mariusz Janusz;Mężczyzna;StronnictwoDemokratyczne;emeryt - policjant
PSL;KWPP;20;ŁASICA;Bartosz;Mężczyzna;PSL;rolnik
PSL;KWPP;21;OTROCIUK;Barbara;Kobieta;PSL;księgowa
PSL;KWPP;22;BUKAT;Eugenia;Kobieta;BEZP;technolog zbiorowego żywienia
PSL;KWPP;23;GNAT;Stanisław;Mężczyzna;BEZP;robotnik budowlany
PSL;KWPP;24;SUPIERZ;Leszek Józef;Mężczyzna;PSL;menedżer
PiS;KWPP;1;DWORCZYK;Michał Paweł;Mężczyzna;PiS;historyk
PiS;KWPP;2;ZYSKA;Ireneusz;Mężczyzna;PiS;radca prawny
PiS;KWPP;3;MURDZEK;Wojciech Piotr;Mężczyzna;PorozumienieJarosławaGowina;parlamentarzysta
PiS;KWPP;4;BADORA;Maciej Adam;Mężczyzna;PiS;adwokat
PiS;KWPP;5;GWÓŹDŹ;Marcin Piotr;Mężczyzna;PiS;inżynier
PiS;KWPP;6;BIELAWSKA;Zuzanna;Kobieta;PiS;wyższy urzędnik samorządowy
PiS;KWPP;7;SURMA;Renata Lucyna;Kobieta;BEZP;wyższy urzędnik samorządowy
PiS;KWPP;8;MUCHA;Beata Maria;Kobieta;PiS;pracownik administracji rządowej
PiS;KWPP;9;DEC;Jerzy Grzegorz;Mężczyzna;PiS;nauczyciel geografii
PiS;KWPP;10;WĘGŁOWSKI;Jarosław;Mężczyzna;PiS;wyższy urzędnik samorządowy
PiS;KWPP;11;SZPYTMA;Bogusław Krzysztof;Mężczyzna;BEZP;przedsiębiorca
PiS;KWPP;12;GREINER;Małgorzata Joanna;Kobieta;PiS;nauczyciel języka polskiego
PiS;KWPP;13;TARNACKI;Marek;Mężczyzna;PiS;rolnik
PiS;KWPP;14;SZYDŁOWSKA;Ewelina Agnieszka;Kobieta;BEZP;prawnik
PiS;KWPP;15;WIERZBICKA;Renata Teresa;Kobieta;BEZP;administratywistka
PiS;KWPP;16;GRZEGORZEWICZ;Grzegorz Sławomir;Mężczyzna;BEZP;prawnik
SLD;KWPP;1;DYDUCH;Marek;Mężczyzna;SLD;przedsiębiorca
SLD;KWPP;2;KOTARBA;Mariusz;Mężczyzna;Wiosna;wykładowca akademicki
SLD;KWPP;3;LECH;Kornelia Joanna;Kobieta;SLD;pedagog
SLD;KWPP;4;ŁĄCKI;Adam Edward;Mężczyzna;SLD;ekonomista
SLD;KWPP;5;MUSIAŁEK;Małgorzata Aleksandra;Kobieta;BEZP;asystent psychologa
SLD;KWPP;6;ZALEŃSKI;Wiktor Piotr;Mężczyzna;BEZP;internacjolog
SLD;KWPP;7;CHOJNACKA;Cecylia Agnieszka;Kobieta;SLD;kosmetolog - wykładowca
SLD;KWPP;8;WOLAK;Tomasz Paweł;Mężczyzna;Wiosna;politolog
SLD;KWPP;9;CHUĆ;Renata;Kobieta;BEZP;emeryt
SLD;KWPP;10;SŁABICKA;Jolanta Izabela;Kobieta;SLD;przedsiębiorca
SLD;KWPP;11;HABIERA-GÓRSKA;Agnieszka Beata;Kobieta;Wiosna;księgowa
SLD;KWPP;12;HÜPNER;Dominik;Mężczyzna;LRazem;lektor języka angielskiego
SLD;KWPP;13;CZAJKOWSKI;Robert Aleksy;Mężczyzna;SLD;księgowy
SLD;KWPP;14;SOŁTYSIK;Janusz Tomasz;Mężczyzna;BEZP;inżynier elektronik
SLD;KWPP;15;ZABORONEK;Maciej Grzegorz;Mężczyzna;LRazem;historyk
SLD;KWPP;16;STABROWSKA;Anna Ewa;Kobieta;LRazem;przedsiębiorca
KONFEDERACJA;KWPP;1;ŁAMBUCKI;Roman;Mężczyzna;KWiN;ekonomista
KONFEDERACJA;KWPP;2;MICHALIK;Karol;Mężczyzna;RuchNarodowy;student
KONFEDERACJA;KWPP;3;DANIELAK;Damian Marcin;Mężczyzna;BEZP;politolog
KONFEDERACJA;KWPP;4;KRYSTYNIAK;Krzysztof Adam;Mężczyzna;RuchNarodowy;elektryk
KONFEDERACJA;KWPP;5;PRZEŚLICA-MARTYNOWSKA;Anna Agnieszka;Kobieta;BEZP;lekarz medycyny
KONFEDERACJA;KWPP;6;SUSŁOWSKA;Krystyna Maria;Kobieta;BEZP;rolnik
KONFEDERACJA;KWPP;7;WIELICZKO;Angelika Agnieszka;Kobieta;BEZP;inżynier produkcji
KONFEDERACJA;KWPP;8;SZACHNIEWICZ;Przemysław Mateusz;Mężczyzna;RuchNarodowy;handlowiec
KONFEDERACJA;KWPP;9;OLEKSY-SARYSZ;Marzena Emilia;Kobieta;BEZP;nauczyciel
KONFEDERACJA;KWPP;10;ŁOSIAK;Kamil Sebastian;Mężczyzna;BEZP;informatyk
KONFEDERACJA;KWPP;11;GOMÓŁKA;Damian Rafał;Mężczyzna;Korwin;przedsiębiorca
KONFEDERACJA;KWPP;12;LUDKOWSKI;Piotr;Mężczyzna;RuchNarodowy;przedsiębiorca
KONFEDERACJA;KWPP;13;NOWAK;Katarzyna;Kobieta;RuchNarodowy;nauczyciel
KONFEDERACJA;KWPP;14;MORKA;Andrzej;Mężczyzna;Korwin;inżynier mechanik
KONFEDERACJA;KWPP;15;OKARMUS;Ewa Jadwiga;Kobieta;RuchNarodowy;rolnik
KONFEDERACJA;KWPP;16;POKRYWKA;Stanisław;Mężczyzna;Korwin;nauczyciel
BZPS;KWW;1;SZPUR;Anatol Kazimierz;Mężczyzna;BEZP;przedsiębiorca
BZPS;KWW;2;GOLAK;Julian Kazimierz;Mężczyzna;BEZP;przedsiębiorca
BZPS;KWW;3;MICHAŃCIO;Iwona Kornela;Kobieta;BEZP;położna oddziałowa
BZPS;KWW;4;SZYMKIEWICZ;Robert Artur;Mężczyzna;BEZP;prawnik
BZPS;KWW;5;LESZCZYŃSKA;Marzanna Irena;Kobieta;BEZP;prawnik
BZPS;KWW;6;GABRIEL;Katarzyna Joanna;Kobieta;BEZP;neurologopeda
BZPS;KWW;7;IGNOR;Agnieszka Joanna;Kobieta;BEZP;ekonomista
BZPS;KWW;8;HAŁACZKIEWICZ;Sebastian;Mężczyzna;BEZP;analityk systemów teleinformatycznych
BZPS;KWW;9;BIELAWSKA;Sylwia Małgorzata;Kobieta;BEZP;nauczyciel
BZPS;KWW;10;ŚWITOŃ-PAWLICKA;Grażyna Izabela;Kobieta;BEZP;specjalista administracji publicznej
BZPS;KWW;11;KOWALONEK;Krystyna Wanda;Kobieta;BEZP;nauczyciel
BZPS;KWW;12;LATUSZEK;Wojciech;Mężczyzna;BEZP;kierowca
BZPS;KWW;13;TUTKA;Ewa Lucyna;Kobieta;BEZP;nauczycielka
BZPS;KWW;14;CHOJNACKA;Joanna Agata;Kobieta;BEZP;specjalista ds. kadr
BZPS;KWW;15;ŁATA;Artur Sławomir;Mężczyzna;BEZP;kierownik ds. marketingu
KOBW;KKW;1;SIEMONIAK;Tomasz;Mężczyzna;PORP;ekonomista
KOBW;KKW;2;MRZYGŁOCKA;Izabela Katarzyna;Kobieta;PORP;ekonomista
KOBW;KKW;3;WIELICHOWSKA;Monika;Kobieta;PORP;ekonomista
KOBW;KKW;4;SZUSZWALAK;Tomasz Daniel;Mężczyzna;BEZP;strażak
KOBW;KKW;5;MITRASZEWSKI;Tomasz Łukasz;Mężczyzna;Nowoczesna;przedsiębiorca
KOBW;KKW;6;ŚWIŁO;Teresa;Kobieta;PORP;emeryt
KOBW;KKW;7;GLAPIŃSKI;Rafał Mariusz;Mężczyzna;BEZP;nauczyciel
KOBW;KKW;8;INGLOT;Andrzej Ryszard;Mężczyzna;PORP;lekarz medycyny
KOBW;KKW;9;ROSIAK;Mateusz;Mężczyzna;członek partii politycznej: Inicjatywa Polska;przedsiębiorca
KOBW;KKW;10;ONYŚKÓW;Paweł;Mężczyzna;BEZP;urzędnik
KOBW;KKW;11;SZCZYGIEŁ;Zbigniew;Mężczyzna;PORP;strażak
KOBW;KKW;12;ŚWIERCZYŃSKI;Jędrzej Maciej;Mężczyzna;PORP;ekonomista
KOBW;KKW;13;BEŚLERZEWSKA;Małgorzata Urszula;Kobieta;Zieloni;przedsiębiorca
KOBW;KKW;14;IWANCZ;Jacek Julian;Mężczyzna;Nowoczesna;nauczyciel
KOBW;KKW;15;BEN AMARA;Joanna Maria;Kobieta;PORP;przewodnik turystyczny
KOBW;KKW;16;TUMIDALSKA;Marta Magdalena;Kobieta;PORP;administratywistka
PSL;KWPP;1;GANCARZ;Paweł Jarosław;Mężczyzna;PSL;wyższy urzędnik samorządowy
PSL;KWPP;2;KOŁT;Józef;Mężczyzna;PiS;rolnik
PSL;KWPP;3;KWIATKOWSKA;Ewa Daniela;Kobieta;BEZP;radca prawny
PSL;KWPP;4;KUCZEK;Magdalena Dorota;Kobieta;BEZP;hotelarz
PSL;KWPP;5;RUDNICKI;Jarosław Jerzy;Mężczyzna;BEZP;ekonomista
PSL;KWPP;6;BONIECKA;Joanna Bogna;Kobieta;PSL;pracownik samorządowy
PSL;KWPP;7;SOKOŁOWSKA;Maria;Kobieta;PSL;emeryt
PSL;KWPP;8;DZIENDZIEL;Wacław Alojzy;Mężczyzna;PSL;zootechnik
PSL;KWPP;9;MAZUR;Paweł Mariusz;Mężczyzna;PSL;rolnik
PSL;KWPP;10;UBIK;Jarosław Marian;Mężczyzna;PSL;pracownik samorządowy
PSL;KWPP;11;WIERZBICKA-BARA;Danuta Maria;Kobieta;BEZP;artysta plastyk
PSL;KWPP;12;KOWALSKA;Sylwia Edyta;Kobieta;BEZP;nauczyciel
PSL;KWPP;13;KARCH;Izabela Maria;Kobieta;PSL;ekonomista
PSL;KWPP;14;SULIKOWSKA;Natalia Weronika;Kobieta;BEZP;przedstawiciel handlowy
PSL;KWPP;15;KYCIA;Radosław;Mężczyzna;PSL;logistyk
PSL;KWPP;16;LONGAWA;Stanisław Tadeusz;Mężczyzna;PSL;prawnik
PiS;KWPP;1;STACHOWIAK-RÓŻECKA;Mirosława Agnieszka;Kobieta;PiS;pedagog
PiS;KWPP;2;HRENIAK;Paweł Marek;Mężczyzna;PiS;ekonomista
PiS;KWPP;3;ŚWIAT;Jacek;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;4;CZARNECKI;Przemysław Maksymilian;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;5;CALIŃSKA-MAYER;Małgorzata Maria;Kobieta;PiS;prawnik
PiS;KWPP;6;JAROCH;Andrzej Stanisław;Mężczyzna;PiS;nauczyciel akademicki
PiS;KWPP;7;JĘDRYSEK;Mariusz Orion;Mężczyzna;PiS;nauczyciel akademicki - nauki o ziemi
PiS;KWPP;8;SOIN;Agnieszka Anna;Kobieta;PiS;parlamentarzysta
PiS;KWPP;9;DYTKO;Piotr Jan;Mężczyzna;PorozumienieJarosławaGowina;prawnik
PiS;KWPP;10;ADAMSKI;Artur;Mężczyzna;BEZP;filolog
PiS;KWPP;11;BREZDEŃ;Zdzisław Ireneusz;Mężczyzna;PiS;inżynier mechanik
PiS;KWPP;12;BARTNIK;Wojciech Stanisław;Mężczyzna;BEZP;sportowiec
PiS;KWPP;13;DOMAGAŁA;Krzysztof Marek;Mężczyzna;PiS;mechanik maszyn melioracyjnych
PiS;KWPP;14;KOWALCZYK;Roman;Mężczyzna;PiS;nauczyciel
PiS;KWPP;15;PIEŃKOWSKI;Robert;Mężczyzna;PiS;nauczyciel
PiS;KWPP;16;STOPA;Urszula Maria;Kobieta;PiS;naczelnik wydziału
PiS;KWPP;17;ZAJĄC;Wiesław Antoni;Mężczyzna;PiS;mechanizator rolnictwa
PiS;KWPP;18;BRZĄKAŁA;Agnieszka Maria;Kobieta;PiS;pracownik samorządowy
PiS;KWPP;19;WAWRZYNIAK;Adrian Sławomir;Mężczyzna;PiS;rolnik
PiS;KWPP;20;WOJEWÓDKA;Karolina;Kobieta;BEZP;ekonomista
PiS;KWPP;21;PIECHEL;Michał;Mężczyzna;PiS;teolog
PiS;KWPP;22;STRUMECKA;Marzanna Teresa;Kobieta;BEZP;naczelnik
PiS;KWPP;23;LESZCZYŃSKA-NER;Zofia Maria;Kobieta;BEZP;nauczyciel
PiS;KWPP;24;HARASNY;Marek;Mężczyzna;PiS;programista aplikacji
PiS;KWPP;25;MAKSYMIAK;Magdalena Maria;Kobieta;PiS;prawnik
PiS;KWPP;26;MROZOWSKA;Karolina Marta;Kobieta;PiS;urzędnik
PiS;KWPP;27;KEMPA;Cezary Piotr;Mężczyzna;BEZP;leśnik
PiS;KWPP;28;CZARTORYSKI;Tytus Henryk;Mężczyzna;PiS;rolnik emerytowany
SLD;KWPP;1;ŚMISZEK;Krzysztof Jan;Mężczyzna;Wiosna;prawnik
SLD;KWPP;2;STOŻEK;Marta Magdalena;Kobieta;LRazem;filolog
SLD;KWPP;3;SIKORA;Arkadiusz;Mężczyzna;SLD;ekonomista
SLD;KWPP;4;LUBINIECKA-RÓŻYŁO;Katarzyna Elżbieta;Kobieta;BEZP;dziennikarka
SLD;KWPP;5;AUGUSTYŃSKI;Iwo Piotr;Mężczyzna;LRazem;nauczyciel akademicki
SLD;KWPP;6;JOKS;Marlena Ewa;Kobieta;SLD;pośrednik w obrocie nieruchomościami
SLD;KWPP;7;KOZDROWICKI;Piotr Sebastian;Mężczyzna;Wiosna;grafik
SLD;KWPP;8;ŁAGOWSKA;Anna Katarzyna;Kobieta;LRazem;przedsiębiorczyni
SLD;KWPP;9;ELSNER;Wincenty Aleksander;Mężczyzna;SLD;informatyk
SLD;KWPP;10;PILNY;Maciej;Mężczyzna;Wiosna;architekt
SLD;KWPP;11;GAJDZIŃSKA;Anna;Kobieta;LRazem;analityk treści
SLD;KWPP;12;WICHA;Stanisław;Mężczyzna;SLD;rolnik
SLD;KWPP;13;MAŚLAK;Robert;Mężczyzna;BEZP;biolog
