teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;ret;onumo;trans
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;SLD;2;ZIELONKA;Andrzej Jan;Mężczyzna;SLD;[0];-1;
286201;1;Olsztyn;mm;53.776555,20.4665675;34;Elbląg;SLD;3;BARTKOWSKA;Emilia;Kobieta;LRazem;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;SLD;4;KLIM;Ryszard;Mężczyzna;BEZP;[0];-1;
281202;2;Biskupiec;gw;53.4772145,19.3433595;34;Elbląg;SLD;5;ZDANOWSKI;Daniel Adrian;Mężczyzna;BEZP;[0];-1;
280905;3;Orneta;gmw;54.1272535,20.138193;34;Elbląg;SLD;6;PIEKART;Sylwia;Kobieta;SLD;[0];-1;
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;SLD;7;PASJAK;Janusz;Mężczyzna;SLD;[0];-1;
280304;3;Lidzbark;gmw;53.2476565,19.840099;34;Elbląg;SLD;8;GIEREJ;Jakub Przemysław;Mężczyzna;LRazem;[1];34;34==34
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;SLD;9;KOLIŃSKI;Robert;Mężczyzna;LRazem;[0];-1;
281505;2;Małdyty;gw;53.891467,19.716909;34;Elbląg;SLD;10;FALKOWSKA-HOJAN;Milena;Kobieta;BEZP;[0];-1;
286201;1;Olsztyn;mm;53.776555,20.4665675;34;Elbląg;SLD;11;PACYNO;Piotr;Mężczyzna;BEZP;[0];-1;
280407;3;Pasłęk;gmw;54.044343,19.692343;34;Elbląg;SLD;12;PĄGOWSKA;Urszula Klara;Kobieta;BEZP;[0];-1;
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;SLD;13;PRZYBOROWSKI;Wincenty Marian;Mężczyzna;SLD;[1];34;34==34
280405;2;Milejewo;gw;54.2019495,19.553995;34;Elbląg;SLD;14;SZULC;Mirosław Józef;Mężczyzna;BEZP;[0];-1;
280104;3;Bisztynek;gmw;54.0958025,20.9457085;34;Elbląg;SLD;15;WÓJCIK;Paweł;Mężczyzna;BEZP;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PiS;1;KRASULSKI;Leonard Seweryn;Mężczyzna;PiS;[1];34;34==34
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PiS;2;WILK;Jerzy Zbigniew;Mężczyzna;PiS;[1];34;34==34
281501;1;Ostróda;gm;53.7027805,19.9529895;34;Elbląg;PiS;3;BABALSKI;Zbigniew;Mężczyzna;PiS;[1];34;34==34
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;PiS;4;KAZIMIERCZUK;Marcin;Mężczyzna;PiS;[0];-1;
280201;1;Braniewo;gm;54.379474,19.8205195;34;Elbląg;PiS;5;MODZELEWSKA-KOZIOŁ;Monika Anna;Kobieta;PiS;[0];-1;
281201;1;Nowe Miasto Lubawskie;gm;53.425281,19.5838805;34;Elbląg;PiS;6;GODZIŃSKI;Damian Jan;Mężczyzna;PiS;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;PiS;7;KOWSZYŃSKI;Paweł Andrzej;Mężczyzna;PiS;[0];-1;
280103;2;Bartoszyce (c);gw;54.2431525,20.800376;34;Elbląg;PiS;8;OŁDAKOWSKI;Adam;Mężczyzna;PiS;[1];34;34==34
280703;2;Iława;gw;53.637493,19.580732;34;Elbląg;PiS;9;WĘGŁOWSKA;Anna;Kobieta;PiS;[0];-1;
280706;3;Susz;gmw;53.72225,19.370886;34;Elbląg;PiS;10;GOIK;Karolina Ewa;Kobieta;BEZP;[0];-1;
040201;1;Brodnica;gm;53.2579615,19.406477;34;Elbląg;PiS;11;PIĄTEK;Anna;Kobieta;BEZP;[0];-1;
280306;2;Rybno;gw;53.367927,19.9491285;34;Elbląg;PiS;12;KAMIŃSKA;Grażyna;Kobieta;BEZP;[0];-1;
280101;1;Bartoszyce;gm;54.2558085,20.810385;34;Elbląg;PiS;13;ANDRUSZKIEWICZ;Jolanta Wiesława;Kobieta;PiS;[0];-1;
280306;2;Rybno;gw;53.367927,19.9491285;34;Elbląg;PiS;14;GONTARZ;Robert;Mężczyzna;PiS;[1];34;34==34
281501;1;Ostróda;gm;53.7027805,19.9529895;34;Elbląg;PiS;15;KIEROZALSKI;Grzegorz;Mężczyzna;PiS;[0];-1;
