10000;7;18.84797556,54.25080444 18.84776056,54.25077667 18.84774988,54.25078191 18.84794889,54.25064444 18.84782972,54.25066500 18.84783718,54.25068286 18.84775526,54.25073921 
10001;16;18.84784556,54.25066889 18.84781396,54.25067014 18.84786837,54.25064466 18.84772667,54.25058667 18.84783396,54.25069389 18.84792889,54.25064444 18.84768333,54.25068701 18.84790889,54.25064444 18.79011333,54.30590667 18.84757333,54.25060889 18.88161556,54.27399111 18.79579333,54.30399556 18.72674667,54.32132444 18.69779111,54.34666222 18.67283333,54.37952444 18.63934100,54.40304800 
10002;15;18.84779778,54.25055111 18.84780111,54.25066278 18.84769059,54.25066752 18.84770530,54.25069598 18.84788889,54.25061778 18.84506444,54.26082222 18.84640667,54.25579778 18.85200333,54.25814333 18.85370667,54.25722667 18.82569111,54.29235111 18.76074889,54.31381778 18.70460889,54.32926667 18.68089100,54.35673800 18.64615333,54.38993333 18.63516667,54.38544889 
10003;7;18.84800444,54.25066667 18.84795000,54.25080000 18.84782500,54.25078667 18.84772222,54.25066667 18.84783111,54.25078000 18.84779875,54.25074062 18.84776492,54.25069546 
10004;19;18.84782222,54.25073556 18.84771264,54.25074493 18.84774380,54.25070923 18.84790667,54.25068444 18.84767500,54.25079778 18.84764944,54.25062444 18.84762365,54.25064736 18.84761990,54.25064981 18.84790000,54.25063111 18.86028444,54.26314222 18.87682000,54.27335556 18.79715556,54.30376889 18.70914000,54.32041778 18.68709100,54.35827200 18.65126222,54.38776889 18.63357556,54.38652444 18.84796944,54.25074889 18.84781295,54.25077319 18.84786379,54.25078663 
10005;12;18.84782333,54.25072444 18.84771844,54.25070931 18.84781268,54.25073766 18.84781111,54.25073333 18.84785229,54.25083847 18.84777765,54.25078981 18.84489000,54.25057333 18.84535795,54.25068861 18.84539640,54.25070082 18.84802889,54.25061778 18.86881778,54.26751111 18.62877800,54.38702700 
10006;15;18.84727722,54.25072667 18.84886667,54.25096000 18.84888611,54.25106667 18.84875972,54.25097111 18.84791889,54.25073556 18.84776233,54.25074368 18.84773614,54.25076259 18.84793111,54.25068444 18.84756000,54.25059556 18.84773069,54.25069806 18.84773456,54.25072335 18.84775283,54.25073279 18.84797111,54.25062667 18.86297333,54.26513778 18.63641000,54.38634000 
10008;16;18.84722778,54.25056222 18.84725507,54.25062792 18.84732511,54.25061952 18.84789556,54.25074667 18.84767167,54.25077056 18.84771115,54.25072010 18.84779446,54.25074672 18.84792444,54.25067556 18.84843500,54.25079500 18.85390889,54.25799111 18.87358667,54.27462222 18.79506444,54.30460000 18.70852000,54.32044000 18.68709100,54.35827200 18.64375556,54.39118667 18.63308000,54.38659556 
10009;15;18.84799556,54.25083111 18.84791778,54.25077333 18.84773667,54.25072222 18.84778135,54.25073799 18.84779878,54.25075669 18.84792667,54.25067556 18.84783333,54.25072583 18.84774424,54.25075713 18.84774545,54.25074967 18.86997333,54.27618222 18.79785556,54.30374667 18.70938222,54.32053333 18.68791333,54.36658667 18.65097333,54.38786667 18.63492444,54.38587111 
10010;14;18.84792222,54.25084000 18.84741556,54.25066889 18.84738958,54.25060653 18.84744722,54.25061111 18.84742365,54.25061931 18.84740101,54.25064297 18.84792222,54.25068444 18.87613111,54.27368000 18.79984444,54.30313333 18.71050000,54.32056444 18.70753000,54.32547111 18.68709100,54.35827200 18.65119333,54.38780889 18.63498333,54.38561333 
