id;coords;city
11146;54.42415856 18.57745122;GD
11147;54.36838800 18.62990000;GD
11148;54.38391549 18.58835337;GD
11149;54.38637391 18.58146448;GD
11150;54.42055094 18.56767303;GD
11151;54.37608864 18.61528626;GD
11152;54.38611334 18.59224460;GD
11153;54.38464782 18.58185006;GD
11154;54.35535970 18.61366608;GD
11155;54.38936566 18.58754807;GD
11156;54.37708981 18.61103443;GD
11157;54.38076681 18.59366126;GD
11158;54.37835519 18.60747591;GD
11159;54.37536609 18.61424915;GD
11160;54.39419890 18.58136417;GD
11161;54.38080269 18.58823945;GD
11162;54.35355519 18.60772544;GD
11163;54.35605414 18.60659776;GD
11164;54.37511610 18.61785789;GD
11165;54.35347261 18.59984153;GD
11166;54.35797182 18.58587573;GD
11167;54.35741791 18.58334007;GD
11168;54.35411098 18.59546906;GD
11169;54.35655406 18.61939607;GD
11170;54.34926951 18.55111690;GD
11171;54.34431625 18.56270841;GD
11172;54.34086010 18.56128273;GD
11173;54.35089020 18.58607544;GD
11174;54.40905129 18.58607587;GD
11175;54.41365133 18.58803871;GD
11176;54.41165363 18.58757454;GD
11177;54.41312152 18.59250616;GD
11178;54.41698291 18.59156459;GD
11179;54.41590512 18.58761088;GD
11180;54.40403909 18.59031326;GD
11181;54.40495335 18.58507481;GD
11182;54.40257613 18.58157204;GD
11183;54.40307992 18.58678759;GD
11184;54.40154822 18.57713959;GD
11185;54.41196597 18.58854891;GD
11186;54.39859534 18.57639103;GD
11187;54.34159209 18.56602078;GD
11188;54.36600853 18.61264733;GD
11189;54.37033353 18.61605922;GD
11190;54.35529600 18.57767631;GD
11191;54.34997278 18.56616942;GD
11192;54.37469064 18.60539831;GD
11193;54.37900660 18.58856487;GD
11194;54.35742518 18.58302203;GD
11195;54.36433327 18.58888531;GD
11196;54.38008505 18.55986287;GD
11197;54.37657089 18.56486856;GD
11198;54.37846666 18.58387435;GD
11199;54.37452937 18.56682852;GD
11200;54.37669185 18.58035714;GD
11201;54.37989845 18.60255580;GD
11202;54.36693694 18.54911118;GD
11203;54.37667263 18.61127086;GD
11204;54.37850616 18.58693089;GD
11205;54.37906643 18.59522006;GD
11206;54.37564604 18.52166410;GD
11207;54.37969820 18.60726178;GD
11208;54.37852149 18.60060331;GD
11209;54.38104415 18.60530246;GD
11210;54.34823696 18.60651593;GD
11211;54.34925534 18.61321882;GD
11212;54.42457329 18.47777430;GD
11213;54.38026735 18.48316971;GD
11214;54.42897074 18.47847903;GD
11215;54.42544198 18.47278644;GD
11216;54.42434205 18.46409131;GD
11217;54.37187638 18.52430679;GD
11218;54.37682377 18.50768654;GD
11219;54.34160434 18.60172430;GD
11220;54.34475375 18.58984894;GD
11221;54.35566480 18.58803958;GD
11222;54.42079827 18.47876034;GD
11223;54.36223000 18.60542383;GD
11224;54.36046121 18.58991114;GD
11225;54.36178362 18.59381419;GD
11226;54.33894925 18.58773697;GD
11227;54.33620447 18.59872333;GD
11228;54.43229091 18.47132956;GD
11229;54.42128100 18.45220547;GD
11230;54.41911037 18.58157861;GD
11231;54.41123127 18.58170048;GD
11232;54.41276554 18.58112943;GD
11233;54.40631868 18.57961075;GD
11234;54.41987557 18.58176353;GD
11235;54.41206930 18.57691056;GD
11236;54.41653953 18.57244644;GD
11237;54.40819357 18.56318978;GD
11238;54.34916100 18.62496700;GD
11239;54.35148628 18.59180272;GD
11240;54.34870939 18.61810221;GD
11241;54.34599877 18.59804414;GD
11242;54.35059472 18.63169496;GD
11243;54.35153534 18.63685180;GD
11244;54.34200833 18.57882135;GD
11245;54.32715303 18.61081146;GD
11246;54.32474399 18.61813576;GD
11247;54.32137680 18.59904923;GD
11248;54.33222196 18.63479846;GD
11249;54.32420531 18.61005606;GD
11250;54.30504155 18.58209545;GD
11251;54.35056331 18.55936986;GD
11252;54.33886736 18.56465319;GD
11253;54.31628835 18.60376075;GD
11254;54.40428336 18.57626893;GD
11255;54.35575666 18.49279221;GD
11256;54.31745250 18.58251303;GD
11257;54.34922744 18.59023876;GD
11258;54.35586228 18.51076363;GD
11259;54.32020713 18.57647485;GD
11260;54.33018649 18.58501204;GD
11261;54.33845140 18.61784245;GD
11262;54.32887680 18.59908590;GD
11263;54.32865254 18.58212342;GD
11264;54.32987760 18.59362374;GD
11265;54.32567087 18.58393886;GD
11266;54.33369595 18.58550928;GD
11267;54.35003890 18.58257747;GD
11268;54.34100048 18.61750585;GD
11269;54.33306879 18.59652452;GD
11270;54.32585335 18.59241061;GD
11271;54.31286228 18.59742239;GD
11272;54.32883308 18.61673182;GD
11273;54.32295307 18.61505077;GD
11274;54.32263746 18.63219164;GD
11275;54.30897754 18.58754207;GD
11276;54.31617107 18.59009740;GD
11277;54.32668410 18.62132358;GD
11278;54.33016585 18.62705998;GD
11279;54.32734297 18.59594651;GD
11280;54.35674254 18.68094852;GD
11281;54.36264317 18.70802028;GD
11282;54.34322727 18.66245662;GD
11283;54.35213482 18.64549902;GD
11284;54.36069239 18.71085577;GD
11285;54.36127551 18.71544172;GD
11286;54.34399427 18.64701872;GD
11287;54.35229168 18.67211675;GD
11288;54.34578678 18.64818832;GD
11289;54.34791488 18.66991187;GD
11290;54.34430586 18.65514254;GD
11291;54.36635710 18.62670770;GD
11292;54.35107335 18.52995795;GD
11293;54.35041961 18.50934654;GD
11294;54.33886494 18.50783678;GD
11295;54.35112783 18.53310080;GD
11296;54.35272108 18.51329367;GD
11297;54.35292271 18.50874676;GD
11298;54.33403249 18.61631180;GD
11299;54.33807552 18.60653086;GD
11300;54.34297703 18.61179410;GD
11301;54.33722409 18.61257713;GD
11302;54.33813647 18.61074063;GD
11303;54.33706988 18.60329655;GD
11304;54.33072395 18.60597012;GD
11305;54.35433182 18.65012908;GD
11306;54.35481594 18.65471164;GD
11307;54.35778046 18.64741813;GD
11308;54.33571143 18.64919484;GD
11309;54.35572305 18.64601510;GD
11310;54.36036838 18.64976171;GD
11311;54.34999266 18.66008748;GD
11312;54.35524306 18.64602461;GD
11313;54.34788686 18.66510001;GD
11315;54.35675928 18.65183825;GD
11316;54.35522517 18.65615462;GD
11317;54.35430592 18.64631554;GD
11318;54.35588253 18.64902176;GD
11319;54.34729935 18.66091697;GD
11321;54.36298655 18.62991283;GD
11322;54.36074905 18.64111705;GD
11323;54.35387240 18.63316231;GD
11324;54.40176133 18.57657840;GD
11325;54.34187033 18.62213015;GD
11326;54.35435431 18.64249300;GD
11327;54.35676322 18.63991490;GD
11328;54.35802633 18.62976566;GD
11329;54.34524945 18.64590535;GD
11330;54.41298072 18.53512845;GD
11331;54.37323309 18.62564570;GD
11332;54.38003118 18.60365424;GD
11333;54.38862648 18.58108803;GD
11334;54.39885084 18.56833415;GD
11335;54.40958267 18.56239255;GD
11336;54.41616511 18.58610752;GD
11337;54.39439540 18.61424696;GD
11338;54.37350007 18.61535078;GD
11339;54.36654594 18.62000117;GD
11340;54.39118784 18.60072521;GD
11341;54.34814525 18.66868878;GD
11342;54.37733463 18.60864441;GD
11343;54.39348353 18.59938190;GD
11344;54.42991237 18.46964862;GD
11345;54.39112307 18.60061309;GD
11346;54.36262071 18.55864851;GD
11347;54.34045004 18.65728191;GD
11348;54.34213879 18.62591835;GD
11349;54.35151410 18.64069467;GD
11350;54.33874521 18.61898337;GD
11351;54.35828582 18.68709639;GD
11352;54.33788749 18.62682064;GD
11353;54.35765865 18.68311251;GD
11354;54.34945339 18.67478639;GD
11356;54.39069456 18.64281309;GD
11357;54.38637008 18.63640600;GD
11358;54.40258423 18.57196808;GD
11359;54.35895877 18.57847066;GD
11360;54.42384717 18.57409898;GD
11361;54.42586757 18.57778943;GD
11362;54.41322849 18.53516344;GD
11363;54.37806980 18.60374041;GD
11364;54.38706385 18.59208530;GD
11365;54.38294574 18.59848883;GD
11366;54.35514721 18.64507289;GD
11367;54.38172184 18.60666801;GD
11368;54.36138343 18.65057726;GD
12000;54.52025232 18.53220148;GA
12001;54.50791237 18.53617831;GA
12002;54.46922833 18.50792480;GA
12003;54.52436274 18.51763204;GA
12004;54.52028766 18.52929538;GA
12005;54.53472441 18.49431880;GA
12006;54.49219386 18.53871808;GA
12007;54.49663118 18.53351997;GA
12008;54.47603799 18.55072848;GA
12009;54.54123583 18.47793186;GA
12010;54.54516654 18.46310082;GA
12011;54.54935985 18.44518596;GA
12012;54.50291730 18.54215528;GA
12013;54.47367106 18.48441044;GA
12014;54.46402469 18.48725362;GA
12015;54.46471823 18.49687607;GA
12016;54.46977722 18.49984127;GA
12017;54.47576275 18.51633672;GA
12018;54.50798605 18.54914559;GA
12019;54.48473951 18.54598157;GA
12020;54.47391745 18.49981793;GA
12021;54.50777199 18.53415708;GA
12022;54.50959878 18.53741219;GA
12023;54.50837396 18.54457077;GA
12024;54.50252488 18.55858985;GA
12025;54.47063628 18.50223916;GA
12026;54.50901517 18.53904497;GA
12027;54.48964458 18.55469584;GA
12028;54.47190000 18.49611335;GA
12029;54.48143099 18.53140881;GA
12030;54.48997073 18.54522172;GA
12031;54.47314574 18.55437606;GA
12032;54.49900977 18.54921555;GA
12033;54.48005340 18.56357898;GA
12034;54.49717096 18.54161189;GA
12035;54.49438939 18.55229088;GA
12036;54.46779917 18.49335608;GA
12037;54.47369811 18.49003852;GA
12038;54.48353650 18.53817505;GA
12039;54.51915234 18.54221042;GA
12040;54.51192966 18.53232856;GA
12041;54.52479590 18.54202670;GA
12042;54.52208112 18.53489216;GA
12043;54.51976151 18.53878953;GA
12044;54.51475851 18.53140390;GA
12045;54.54472904 18.45844276;GA
12046;54.53269881 18.51704711;GA
12047;54.53272314 18.54668977;GA
12048;54.52229206 18.54304352;GA
12049;54.51657156 18.54342053;GA
12050;54.51250399 18.53751347;GA
12051;54.51608400 18.53822114;GA
12052;54.51864740 18.55828828;GA
12053;54.51633152 18.54832346;GA
12054;54.51960321 18.54687652;GA
12055;54.46552105 18.48257224;GA
12056;54.46789429 18.48767770;GA
12057;54.47133422 18.49005394;GA
12058;54.51488656 18.54017321;GA
12059;54.52645099 18.51907338;GA
12060;54.52359326 18.51303333;GA
12061;54.54867723 18.52198519;GA
12062;54.56294891 18.48104289;GA
12063;54.54302758 18.46575457;GA
12064;54.54915952 18.53047230;GA
12065;54.54632000 18.55067000;GA
12066;54.55921771 18.47191747;GA
12067;54.54908856 18.54783441;GA
12068;54.54282101 18.54713165;GA
12069;54.54399557 18.45309289;GA
12070;54.49938759 18.50501013;GA
12071;54.52895412 18.50371273;GA
12072;54.49809221 18.51033392;GA
12073;54.52825941 18.45749494;GA
12074;54.47766127 18.54584818;GA
12075;54.55912079 18.54889192;GA
12076;54.57787844 18.53875736;GA
12077;54.54631299 18.50158485;GA
12078;54.58336569 18.53873307;GA
12079;54.55904726 18.48459083;GA
12080;54.49698377 18.53785235;GA
12081;54.51891358 18.51975433;GA
12082;54.49531232 18.53843092;GA
12083;54.51338807 18.54393269;GA
12084;54.51954213 18.52744809;GA
12085;54.51607692 18.52517523;GA
12086;54.50070849 18.45738070;GA
12087;54.54592665 18.44911532;GA
12088;54.46700315 18.46364188;GA
12089;54.53411160 18.44570279;GA
12090;54.47223140 18.46224909;GA
12091;54.49470533 18.54273707;GA
12092;54.56293745 18.49702821;GA
12093;54.55591433 18.52019191;GA
12094;54.48666374 18.52870593;GA
12095;54.53154009 18.48272287;GA
12096;54.47058072 18.46803458;GA
12097;54.54159417 18.46088398;GA
12098;54.52686253 18.49052437;GA
12099;54.46367722 18.45646236;GA
12100;54.54478670 18.43916525;GA
12101;54.49820409 18.49719037;GA
12102;54.52992064 18.49992249;GA
12103;54.46988579 18.51850789;GA
12104;54.54649762 18.46342374;GA
12105;54.46864850 18.50954285;GA
12106;54.55468253 18.49261189;GA
12107;54.50005419 18.47160103;GA
12108;54.49995231 18.51408739;GA
12109;54.53739798 18.43957849;GA
12110;54.49106833 18.53737836;GA
12111;54.55261532 18.51510014;GA
12112;54.55043785 18.48627392;GA
12113;54.45571654 18.45339612;GA
12114;54.55231364 18.50330527;GA
12115;54.50836304 18.55372850;GA
12116;54.48429782 18.51584168;GA
12117;54.53297509 18.48810573;GA
12118;54.47156089 18.45024551;GA
12119;54.56103569 18.49345255;GA
12120;54.49951697 18.43816236;GA
12121;54.47821792 18.54826869;GA
12122;54.47421213 18.46194791;GA
12123;54.52658650 18.51192864;GA
12124;54.54287660 18.54348082;GA
12125;54.55359070 18.52999836;GA
12126;54.54728035 18.47267507;GA
12127;54.49168263 18.51400253;GA
12128;54.54755627 18.43582849;GA
12129;54.55944155 18.51044263;GA
12130;54.49302378 18.43429173;GA
12131;54.47375470 18.46559710;GA
12132;54.53811124 18.49387309;GA
12133;54.55299094 18.50999637;GA
12134;54.53885952 18.47098881;GA
12135;54.50980308 18.51971931;GA
12136;54.47663044 18.50365288;GA
12137;54.55073461 18.53697238;GA
12138;54.55092717 18.50647262;GA
12139;54.49693084 18.43835467;GA
12140;54.53631614 18.47868833;GA
12141;54.48655576 18.42811660;GA
12142;54.49496318 18.50840215;GA
12143;54.54647369 18.44172959;GA
12144;54.53763696 18.45838788;GA
12145;54.56255927 18.50706313;GA
