date;GA;GD;Kart;PG;Puck;Reda;Rumia;SI;SO;Sop;ST;Tcz;WW;Zuk
2019-05-20;1.47;0.73;2.26;1.52;0.81;0.82;1.06;1.66;1.92;1.87;1.41;1.29;2.17;2.97
2019-05-21;1.30;0.67;3.05;1.65;0.64;0.59;0.81;1.61;1.61;1.08;2.79;1.30;2.35;3.79
2019-05-22;0.98;0.69;2.24;1.66;0.51;0.77;0.71;1.29;1.12;0.90;3.00;1.19;2.65;3.57
2019-05-23;1.49;0.91;3.11;1.72;0.54;0.75;0.76;1.97;1.93;1.52;3.00;1.15;3.03;3.77
2019-05-24;1.32;0.77;2.11;1.43;0.44;0.71;0.88;1.92;2.00;1.63;2.88;0.95;2.66;3.70
2019-05-25;1.53;0.82;2.99;1.56;0.49;0.52;0.83;1.93;1.64;1.35;2.87;1.15;2.38;3.98
2019-05-26;1.51;0.88;3.07;1.18;0.55;0.97;1.28;2.33;1.14;1.35;2.85;1.39;2.48;3.66
2019-05-27;1.64;0.76;3.15;1.31;0.55;0.74;0.76;2.28;2.35;1.34;3.00;1.30;2.48;3.44
2019-05-28;1.90;1.09;2.91;1.35;0.56;0.88;0.92;1.99;2.49;1.67;2.19;1.62;2.50;3.44
2019-05-29;1.72;0.96;2.61;1.15;0.56;0.80;1.03;1.99;2.69;1.50;3.47;1.39;2.47;2.92
2019-05-30;1.64;0.78;2.98;1.33;0.58;0.88;0.91;2.00;2.20;1.39;3.20;1.47;2.07;1.67
2019-05-31;1.64;0.84;3.10;1.26;0.54;1.22;1.20;1.77;2.92;1.28;3.47;1.27;2.33;2.38
2019-06-01;1.41;0.92;3.21;1.23;0.46;0.79;1.01;1.49;2.73;1.74;3.10;1.38;1.74;3.05
2019-06-02;1.30;0.78;2.65;0.96;0.51;0.77;0.79;1.50;2.05;1.46;3.29;1.15;1.68;3.56
2019-06-03;1.23;0.70;2.49;0.84;0.56;0.70;0.82;1.60;1.74;0.95;3.65;1.19;2.32;2.60
2019-06-04;1.33;0.64;2.68;1.25;0.50;0.74;0.93;1.62;1.73;1.21;2.40;1.05;2.59;1.70
2019-06-05;1.50;0.80;3.39;0.81;0.53;0.82;1.04;1.31;2.30;1.43;2.64;1.35;2.50;3.04
2019-06-06;1.46;0.76;3.68;1.57;0.48;0.89;1.27;1.38;1.87;1.34;2.47;1.21;1.90;2.49
2019-06-07;1.20;0.72;3.69;1.02;0.57;0.70;0.79;1.25;2.00;1.23;2.32;1.10;1.59;2.17
2019-06-08;1.32;0.82;3.25;1.21;0.54;0.87;0.91;0.80;2.46;1.70;2.19;0.94;2.06;3.83
2019-06-09;1.25;0.79;2.02;1.07;0.40;0.53;0.65;0.56;2.80;1.53;2.22;1.15;2.15;3.08
2019-06-10;1.52;0.92;3.02;0.93;0.59;0.79;0.93;2.17;2.73;1.65;2.36;1.30;2.63;3.25
2019-06-11;1.39;0.88;2.53;0.78;0.56;0.67;0.69;2.22;2.06;1.52;2.26;1.24;2.55;2.78
2019-06-12;1.19;0.82;3.71;1.11;0.54;0.73;0.60;2.32;1.95;0.93;3.08;1.01;2.98;3.09
2019-06-13;1.38;0.98;3.17;1.51;0.60;0.79;0.96;2.16;1.81;1.16;2.97;1.24;2.78;2.39
2019-06-14;1.36;0.87;2.84;1.11;0.61;0.80;0.85;2.37;0.99;1.13;3.09;0.98;2.02;2.23
2019-06-15;1.45;0.88;4.49;0.87;0.56;0.80;1.21;2.65;2.33;2.04;3.74;0.80;2.26;2.99
2019-06-16;1.51;1.07;3.60;1.41;0.49;0.74;1.13;2.64;2.43;1.57;2.76;1.31;2.52;3.05
2019-06-17;1.50;0.95;2.97;1.15;0.55;0.80;0.90;2.35;1.74;1.32;2.47;1.14;2.43;2.82
