komitet;numer;posel;glosy
3;1;MASIN Arnold Wiktor;4168
6;1;JUREK Marek;18508
6;2;MACIEJEWSKI Krzysztof;6597
6;3;SELIGA Dariusz;5251
7;1;OSTROWSKI Artur;7043
8;1;RADZISZEWSKA Elżbieta;16199
10;1;OZGA Krystyna;8250
15;1;ŁYŻWIŃSKI Stanisław Józef;21101
15;7;MOLKA Halina;3706
3;1;PAWŁOWIEC Daniel;5685
6;1;ZALEWSKI Paweł Ksawery;14068
6;4;WOŹNIAK Tadeusz;5396
6;5;MATUSZEWSKI Marek;4806
7;1;OLEJNICZAK Wojciech Michał;31471
7;3;BŁOCHOWIAK Anita Maria;3451
8;1;GRABARCZYK Cezary;13775
8;2;BIERNAT Andrzej;6244
10;1;ŁUCZAK Mieczysław Marcin;6105
15;1;TYSZKO Grażyna Alicja;10981
15;3;KIEDOS Edward Józef;6016
15;7;WOJTERA Marek;8715
3;1;MURZYN Leszek;7220
6;1;KOWAL Paweł Robert;12625
6;2;SZYDŁO Beata;14447
6;3;ŁATAS Marek;9549
6;8;POLAK Marek;6014
7;1;RYDZOŃ Stanisław;7787
8;1;GRAŚ Paweł;11919
8;2;CHWIERUT Janusz;5272
3;1;KOTLINOWSKI Marek Bolesław;9421
6;1;ZIOBRO Zbigniew;120188
6;2;WASSERMANN Zbigniew;16325
6;3;BOSAK Bogusław;2607
6;4;BUBULA Barbara;2832
6;11;ADAMCZYK Andrzej;1582
6;26;RYNIAK Monika;2193
7;1;CHRZANOWSKI Kazimierz;11296
8;1;ROKITA Jan Władysław;72145
8;2;SZCZYPIŃSKI Tomasz;7399
8;6;KRUPA Jacek;6860
8;10;RAŚ Ireneusz;6690
8;15;FEDOROWICZ Jerzy Feliks;5694
3;1;CIĄGŁO Edward;9470
6;1;OKULARCZYK Stanisława Anna;12016
6;2;PALUCH Anna;9547
6;5;SIARKA Edward;10778
6;6;MULARCZYK Arkadiusz;9566
8;1;CZERWIŃSKI Andrzej;13770
8;3;GUT-MOSTOWY Andrzej;11282
10;1;DUTKA Bronisław;5469
15;1;WIŚNIOWSKA Elżbieta Aleksandra;4839
3;1;SOBCZAK Bogusław Stanisław;6480
6;1;MARIANOWSKA Barbara;12498
6;2;ROJEK Józef;13409
6;4;CZESAK Edward;7529
6;5;WOJTKIEWICZ Michał;8846
8;1;GRAD Aleksander;13680
8;2;AUGUSTYN Urszula;4890
10;1;WODA Wiesław;8818
15;1;ZAWISZA Jerzy Tomasz;5338
6;1;JASIŃSKI Wojciech;14956
6;2;OPIOŁA Marek;5301
6;3;KOŁAKOWSKI Robert Jerzy;5335
7;1;SZYMANEK-DERESZ Jolanta Dorota;9723
8;1;ABGAROWICZ Łukasz Maria;8239
8;2;KOŹLAKIEWICZ Mirosław;7475
10;1;PAWLAK Waldemar;13202
10;2;SOPLIŃSKI Aleksander;2589
15;1;SZYMAŃCZYK Lech;7393
15;2;WIŚNIEWSKI Zenon Sylwester;5764
3;1;BAŁAŻAK Witold Mieczysław;6420
6;1;SUSKI Marek;12018
6;2;WIŚNIEWSKA Lucyna Emilia;10846
6;5;WRÓBEL Marzena Dorota;7524
7;1;WIKIŃSKI Marek Michał;8671
8;1;KOPACZ Ewa Bożena;14982
10;9;MALISZEWSKI Mirosław;6954
15;1;ŁYŻWIŃSKA Wanda Elżbieta;7842
15;4;PADUCH Marzena Hanna;7838
3;1;KOWALSKI Bogusław;6274
6;1;PIŁKA Marian;14761
6;2;CZARTORYSKI Arkadiusz;14753
6;3;TCHÓRZEWSKI Krzysztof Józef;8516
6;4;KOWALCZYK Henryk;7211
7;1;PRZĄDKA Stanisława Alicja;7674
8;1;AMBROZIEWICZ Robert Wiesław;9943
8;5;MROCZEK Czesław;8311
10;1;KALINOWSKI Jarosław;15855
10;3;SAWICKI Marek Wacław;6527
15;1;FILIPEK Krzysztof;16515
