komitet;numer;posel;glosy
8;2;MATUSIK-LIPIEC Katarzyna;15130
8;3;RAŚ Ireneusz;15808
8;4;FEDOROWICZ Jerzy Feliks;15649
8;6;KRUPA Jacek;7293
8;8;RYSZKA Andrzej;7292
8;12;GIBAŁA Łukasz;11413
20;1;WIDACKI Jan Stefan;24963
6;1;MULARCZYK Arkadiusz;47929
6;2;PALUCH Anna;14972
6;3;SIARKA Edward;15697
6;7;BARTUŚ Barbara Halina;10856
6;8;JANCZYK Wiesław Stanisław;10696
8;1;CZERWIŃSKI Andrzej;24708
8;3;GUT-MOSTOWY Andrzej;16009
8;5;KOCHAN Witold;8515
10;1;DUTKA Bronisław;8764
6;1;MARIANOWSKA Barbara;21654
6;2;CZESAK Edward;17944
6;3;WOJTKIEWICZ Michał Jan;13396
6;4;PILCH Jacek;11736
6;5;ROJEK Józef;11901
8;1;GRAD Aleksander;29842
8;2;AUGUSTYN Urszula;10480
8;5;MUSIAŁ Jan;7705
10;1;WODA Wiesław;13365
6;1;JASIŃSKI Wojciech Stefan;30702
6;2;OPIOŁA Marek;14709
6;3;KOŁAKOWSKI Robert Jerzy;9213
6;6;KACZANOWSKI Dariusz;6205
8;1;PITERA Julia Teresa;42669
8;2;KOŹLAKIEWICZ Mirosław;10770
8;3;NOWAKOWSKI Andrzej Jacek;11608
10;1;PAWLAK Waldemar;24638
10;2;STRUZIK Adam Krzysztof;9397
20;1;SZYMANEK-DERESZ Jolanta Dorota;20536
6;1;SUSKI Marek;29497
6;2;WRÓBEL Marzena Dorota;13159
6;5;BĄK Dariusz;16012
6;7;SOŃTA Krzysztof Jan;10013
8;1;KOPACZ Ewa Bożena;39155
8;2;WITKOWSKI Radosław;8229
8;3;CZECHYRA Czesław Jan;6871
10;2;MALISZEWSKI Mirosław Wojciech;11614
20;1;WIKIŃSKI Marek Michał;12297
6;1;JAKUBIAK Elżbieta Renata;33509
6;2;TCHÓRZEWSKI Krzysztof Józef;22413
6;3;CZARTORYSKI Arkadiusz;22030
6;4;KOWALCZYK Henryk;13600
6;5;KOWALSKI Bogusław;7259
6;7;WARGOCKA Teresa Anna;6787
8;1;MROCZEK Czesław;33207
8;2;KOZACZYŃSKI Jacek;8989
8;3;KANIA Andrzej;10554
10;1;KALINOWSKI Jarosław;25406
10;2;SAWICKI Marek Wacław;10995
20;1;PRZĄDKA Stanisława Alicja;12099
6;1;KACZYŃSKI Jarosław Aleksander;273684
6;2;ROKITA-ARNOLD Nelli;6367
6;4;OŁDAKOWSKI Jan Łukasz;3106
6;5;KARSKI Karol;3524
6;6;PONCYLJUSZ Paweł Janusz;4647
6;8;GÓRSKI Artur;3070
8;1;TUSK Donald Franciszek;534241
8;2;KIDAWA-BŁOŃSKA Małgorzata Maria;13057
8;3;HALICKI Andrzej Witold;3369
8;4;FABISIAK Joanna;7552
8;5;HIBNER Jolanta Emilia;6816
8;6;CZUMA Andrzej;4344
8;10;KOSECKI Roman Jacek;6847
8;16;TYSZKIEWICZ Krzysztof Adam;3330
8;17;DĄBROWSKA Alicja;2885
8;21;ROSS Tadeusz Edward;2712
8;26;SZCZERBA Michał Roch;2372
