komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K1;5;6;KAPELIŃSKI Piotr;320;3.48;0.08;NX
K1;5;7;CZARNECKI Piotr;479;5.22;0.12;NX
K1;5;8;RUSOŃ Błażej;222;2.41;0.06;NX
K1;5;9;JURKIEWICZ Józef Franciszek;285;3.10;0.07;NX
K1;5;10;PIEJKO Wawrzyniec;163;1.77;0.04;NX
K1;5;11;SUCHORZYŃSKI Mirosław Wojciech;79;0.86;0.02;NX
K1;5;12;KOWAL Mieczysław;212;2.31;0.05;NX
K1;5;13;ŁUBIŃSKI Wiesław;122;1.32;0.03;NX
K1;5;14;PARADZIŃSKI Zdzisław;159;1.73;0.04;NX
K1;5;15;SZALEWSKA Barbara Jolanta;231;2.51;0.06;NX
K1;5;16;LEJMAN Beata Ewa;203;2.21;0.05;NX
K1;5;17;WÓJCIK Kazimierz;144;1.56;0.04;NX
K1;5;18;SZCZUPAKOWSKI Wojciech;108;1.17;0.03;NX
K1;5;19;OCHOCIŃSKI Marian Kazimierz;92;1.00;0.02;NX
K1;5;20;JASIŃSKI Roman Tadeusz;123;1.34;0.03;NX
K1;5;21;PIETRZAK Grzegorz Marian;150;1.63;0.04;NX
K1;5;22;RUTKOWSKI Andrzej;204;2.22;0.05;NX
K1;5;23;ANTOSZEWSKI Antoni;164;1.78;0.04;NX
K1;5;24;GOŁĘBIEWSKI Marian Krzysztof;402;4.38;0.10;NX
K1;6;1;BORYSIUK Bolesław Borys;2432;27.52;0.48;NX
K1;6;2;KRZYSZCZAK Józef;395;4.47;0.08;NX
K1;6;3;WINNICKI Ryszard;402;4.54;0.08;NX
K1;6;4;GUT Violetta Małgorzata;668;7.55;0.13;NX
K1;6;5;SZYMAŃSKI Zygmunt Jerzy;1101;12.46;0.22;NX
K1;6;6;MARZEC Wiesław;357;4.04;0.07;NX
K1;6;7;MAŁEK Urszula Elżbieta;409;4.62;0.08;NX
K1;6;8;SIENKIEWICZ Dariusz;431;4.87;0.09;NX
K1;6;9;RYMARZ Stanisław Kazimierz;123;1.39;0.02;NX
K1;6;10;KOPEĆ Tadeusz Stefan;350;3.96;0.07;NX
K1;6;11;WOŹNIAK Jan;301;3.40;0.06;NX
K1;6;12;WAWER Maria Józefa;87;0.98;0.02;NX
K1;6;13;SIEMBIDA Janusz Edward;134;1.51;0.03;NX
K1;6;14;KOWAL Jan;195;2.20;0.04;NX
K1;6;15;EYSMONT Przemysław;97;1.09;0.02;NX
K1;6;16;BOCHEN Piotr Bartłomiej;27;0.30;0.01;NX
K1;6;17;PIŁAT Albert Konrad;98;1.10;0.02;NX
K1;6;18;KASAK-KULIKOWSKA Elżbieta;98;1.10;0.02;NX
K1;6;19;DĄBSKI Leszek;82;0.92;0.02;NX
K1;6;20;MIROSŁAW Zbigniew;53;0.59;0.01;NX
K1;6;21;DANIELEWICZ Marian;31;0.35;0.01;NX
K1;6;22;ZAKRZEWSKI Ryszard Andrzej;60;0.67;0.01;NX
K1;6;23;FRONC Justyna;88;0.99;0.02;NX
K1;6;24;MAZUREK Kazimierz;144;1.62;0.03;NX
K1;6;25;GORAL Andrzej Leszek;174;1.96;0.03;NX
K1;6;26;FILIPEK Kazimierz;499;5.64;0.10;NX
K1;7;1;GRABCZAN Zofia Anna;1978;17.04;0.56;NX
K1;7;2;ROMANIUK Wojciech Maciej;1561;13.45;0.44;NX
K1;7;3;RUSIŃSKI Andrzej;1228;10.58;0.35;NX
K1;7;4;KUDYBA Bogusław;735;6.33;0.21;NX
K1;7;5;GONTARZ Tadeusz;689;5.93;0.20;NX
K1;7;6;SUCHECKI Franciszek;410;3.53;0.12;NX
K1;7;7;SYGIENIEWICZ Stanisław;155;1.33;0.04;NX
K1;7;8;SIEŃCZYK Eugeniusz;263;2.26;0.07;NX
