komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K5;1;1;LITWIN Czesław;9902;27.64;3.50;PX
K5;1;2;CIOSEK-ZADROGA Anna Małgorzata;3038;8.48;1.07;NX
K5;1;3;BOROWIK Ksawery;1264;3.52;0.45;NX
K5;1;4;WILL Andrzej Marian;1109;3.09;0.39;NX
K5;1;5;COSTA Hubert Ranjan;3521;9.82;1.24;PX
K5;1;6;BIDNYK Mikołaj Adam;1165;3.25;0.41;NX
K5;1;7;KOWALSKA Marianna Stefania;2345;6.54;0.83;NX
K5;1;8;KUCZYŃSKI Henryk;1307;3.64;0.46;NX
K5;1;9;KSIĄŻEK Roman;795;2.21;0.28;NX
K5;1;10;BRYŁKA Włodzimierz;389;1.08;0.14;NX
K5;1;11;PAWLAK Józef;2838;7.92;1.00;NX
K5;1;12;JĘDRASZKO Janusz;688;1.92;0.24;NX
K5;1;13;BĄK Stanisław Wacław;688;1.92;0.24;NX
K5;1;14;SZCZECH Kazimierz;1000;2.79;0.35;NX
K5;1;15;MALINIAK Roman;1217;3.39;0.43;NX
K5;1;16;MAJEWSKA Stefania;724;2.02;0.26;NX
K5;1;17;SKRZYPNIK Tadeusz;235;0.65;0.08;NX
K5;1;18;KULEWICZ Krzysztof;177;0.49;0.06;NX
K5;1;19;WINIARSKI Jan;387;1.08;0.14;NX
K5;1;20;ĆWIKOWSKI Józef;244;0.68;0.09;NX
K5;1;21;LAZARSKI Robert Jan;122;0.34;0.04;NX
K5;1;22;KAWECKA Marzanna;785;2.19;0.28;NX
K5;1;23;NOWAK Ryszard;1882;5.25;0.66;NX
K5;2;1;KOŁACZ Grzegorz;6904;26.55;3.52;PX
K5;2;2;GARBACZ Bożena Zofia;3016;11.60;1.54;NX
K5;2;3;SKIBA Grzegorz Wojciech;2530;9.73;1.29;NX
K5;2;4;WAŁOWSKI Grzegorz Piotr;1196;4.60;0.61;NX
K5;2;5;WAŚ Sławomir Stanisław;1111;4.27;0.57;NX
K5;2;6;KOTOWICZ Krzysztof Eugeniusz;2217;8.52;1.13;NX
K5;2;7;JASIAK Ewa;1749;6.72;0.89;NX
K5;2;8;OLEJARCZYK Bolesław;1236;4.75;0.63;NX
K5;2;9;STOKSIK Izabela;529;2.03;0.27;NX
K5;2;10;HUBER Paweł Stanisław;287;1.10;0.15;NX
K5;2;11;BĄK Mieczysław Stefan;480;1.84;0.24;NX
K5;2;12;TATKA Maria;328;1.26;0.17;NX
K5;2;13;JANIK Jan Jerzy;703;2.70;0.36;NX
K5;2;14;MARCINKOWSKA Anna Teresa;1369;5.26;0.70;NX
K5;2;15;ARDELLI Ferdynand;800;3.07;0.41;NX
K5;2;16;KOŁT Józef;1540;5.92;0.79;NX
K5;3;1;ŻYSZKIEWICZ Jerzy;10527;32.22;2.71;PX
K5;3;2;BERUS Wacław Michał;2918;8.93;0.75;NX
K5;3;3;KOZŁOWSKI Piotr;3851;11.78;0.99;NX
K5;3;4;KOSIK Julian;698;2.13;0.18;NX
K5;3;5;STEFANISZYN Arkadiusz Robert;969;2.96;0.25;NX
K5;3;6;MIŁEK Irena;2873;8.79;0.74;NX
K5;3;7;FRĄCZEK Jerzy;1035;3.16;0.27;NX
K5;3;8;DYNOWSKA Jolanta;1130;3.45;0.29;NX
K5;3;9;WAJDA Marian Leord;880;2.69;0.23;NX
K5;3;10;SZYLLE Dariusz;223;0.68;0.06;NX
K5;3;11;WARGOCKI Jan;652;1.99;0.17;NX
K5;3;12;KODŹ Marzena;386;1.18;0.10;NX
K5;3;13;SOLECKI Zygmunt;544;1.66;0.14;NX
K5;3;14;OLSZEWSKI Stanisław;1163;3.55;0.30;NX
K5;3;15;ZAJĄC Wiesław;1337;4.09;0.34;NX
K5;3;16;PRZEDWOJSKI Maciej Robert;134;0.41;0.03;NX
K5;3;17;SROGI Teresa Julitta;279;0.85;0.07;NX
K5;3;18;CHMIELOWSKI Dariusz;392;1.19;0.10;NX
K5;3;19;KRYTOWSKI Edward;103;0.31;0.03;NX
K5;3;20;DRUŻKOWSKI Grzegorz;103;0.31;0.03;NX
K5;3;21;HAMELA Wiesław Andrzej;95;0.29;0.02;NX
K5;3;22;MORLAK Urszula;265;0.81;0.07;NX
K5;3;23;CIDYŁO Andrzej;296;0.90;0.08;NX
K5;3;24;BILECKA Wanda Marta;686;2.09;0.18;NX
K5;3;25;GRZESIAK Krzysztof;1130;3.45;0.29;NX
K5;4;1;BESTRY Jan;6941;20.80;2.43;PX
K5;4;2;KUKLIŃSKI Józef;3154;9.45;1.11;NX
K5;4;3;WRÓBEL Wiesław Mikołaj;2551;7.64;0.89;NX
K5;4;4;TOMASZEWSKI Tadeusz Zygmunt;1904;5.70;0.67;NX
K5;4;5;SPYCHALSKA-ADAMCZAK Renata Maria;2243;6.72;0.79;NX
K5;4;6;SIDORKIEWICZ Roman;1703;5.10;0.60;NX
K5;4;7;STANNY Mirosława Maria;1627;4.87;0.57;NX
K5;4;8;GMYS Michał;738;2.21;0.26;NX
K5;4;9;FOJUTOWSKI Stefan Marian;645;1.93;0.23;NX
K5;4;10;GRZYBOWSKI Jarosław Piotr;872;2.61;0.31;NX
K5;4;11;TRZECIAK Piotr Tadeusz;605;1.81;0.21;NX
K5;4;12;MRÓZ Jacek;1406;4.21;0.49;NX
K5;4;13;GWIZDAŁA Krzysztof Jan;2149;6.44;0.75;NX
K5;4;14;WOJDAL Jan;823;2.46;0.29;NX
