TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality3;;2017;;2018;;2019;;2020;;2021;;
Afghanistan;;33;;33;e;33;e;29;;33;e;;;
Albania;;338;;396;;406;;390;e;400;e;;;
Algeria;;415;;2,300;r;2,400;;4,000;e;4,000;e;;;
Argentina;;4,624;;5,162;;4,645;;3,651;;4,875;;
Australia;;5,335;;5,775;r;5,493;r;5,489;r;5,808;;
Austria;;8,134;;6,885;;7,423;;6,765;;7,884;;
Azerbaijan;;387;;382;;326;;249;r;200;;
Bangladeshe;;3,500;;3,800;;5,100;;5,500;;5,500;;
Belarus;;2,433;;2,573;;2,718;;2,560;r;2,390;e;;;
Belgium;;7,842;;7,980;;7,760;r;6,119;;6,909;;
Bosnia and Herzegovina;;735;;695;;801;;759;;915;;
Brazil;;34,778;;35,407;;32,236;;31,415;;36,039;;
Bulgaria;;652;;666;;566;r;484;;548;;
Burmae;;250;;300;;350;;350;;350;;
Canada;;13,208;;13,443;;12,897;r;10,986;;12,977;;
Chile;;1,158;;1,145;;1,133;r;1,157;;1,318;;
China;;870,740;4;920,027;;995,419;r;1,064,767;r;1,033,000;;
Colombia;;1,253;;1,219;;1,333;r;1,149;;1,338;;
Croatia;;--;;136;;100;;45;;185;;
Cuba;;210;;225;r;230;r;185;;230;;
Czechia;;4,550;;4,864;;4,437;r;4,465;;4,817;;
Ecuador;;561;;583;;607;r;482;;612;;
Egypt;;6,870;;7,807;;7,257;;8,229;;10,294;;
El Salvador;;96;;99;;105;;82;;103;;
Finland;;4,004;;4,100;r;3,511;;3,482;;4,340;;
France;;15,505;;15,387;;14,451;;11,596;;13,947;;
Germany;;43,297;;42,435;;39,627;r;35,658;;40,066;;
Greece;;1,359;;1,467;r;1,350;;1,408;;1,498;;
Guatemala;;294;;300;;306;r;243;;310;;
Hungary;;1,901;;1,989;;1,769;;1,513;;1,090;e;;;
India;;101,455;;109,272;;111,351;r;100,256;r;118,234;;
Indonesia;;5,195;;6,183;;8,565;r;12,871;r;14,300;;
Iran;;21,236;;24,520;;25,609;;28,990;;28,460;e;;;
Italy;;24,068;;24,496;r;23,190;r;20,379;;24,400;;
Japan;;104,661;;104,319;;99,284;;83,186;r;96,334;;
Jordane;;330;;350;;350;;350;;350;;
Kazakhstan;;4,657;r;4,006;r;4,131;r;4,009;r;4,380;e;;;
Kenyae;;430;;460;;470;r;480;;500;;
Korea, North;;1,090;;810;;680;;707;r;700;e;;;
Korea, Republic of;;71,030;;72,463;;71,411;;67,098;;70,556;;
Libya;;485;;396;;606;;495;;662;;
Luxembourg;;2,172;;2,228;;2,119;;1,886;;2,073;;
Macedonia;;238;;265;;239;;180;;315;;
Malaysia;;3,215;;4,108;;6,820;;6,620;r;6,500;e;;;
Mauritaniae;;5;;5;;5;;5;;5;;
Mexico;;19,924;;20,204;;18,387;r;16,803;;18,473;;
Moldova;;469;;503;;392;r;465;;610;e;;;
Mongolia;;21;;29;;28;;15;r;21;e;;;
Montenegroe;;100;r;80;r;50;r;20;r;20;;
Morocco;;550;;520;;500;;480;;500;e;;;
Netherlands;;6,781;;6,813;;6,657;;6,054;;6,620;;
New Zealand;;657;;652;;667;;586;;646;;
Nigeriae;;620;r;620;r;610;r;590;r;610;;
Norway;;603;;575;;621;;624;;622;;
Omane;;2,000;;2,000;;2,100;r;2,100;r;2,100;;
Pakistan;;4,966;;4,719;;3,304;r;3,803;;5,320;;
Paraguay;;24;;25;;26;;23;;26;;
Peru;;1,207;;1,217;;1,230;;731;;1,234;;
Philippines;;1,378;;1,475;;1,915;;892;r;900;e;;;
Poland;;10,540;;10,336;;9,122;;7,958;;8,454;;
Portugal;;2,076;;2,215;;2,033;r;2,203;r;1,953;;
Qatar;;2,645;;2,575;;2,558;;1,218;;1,002;;
Romania;;3,443;;3,529;;3,421;r;2,819;r;3,375;;
Russia;;71,300;;71,682;;71,729;r;71,621;;75,585;;
Rwandae;;23;;23;;23;;20;;20;;
Saudi Arabia;;4,831;;8,187;;8,191;;7,775;;8,735;;
Serbia;;1,477;;1,973;;1,929;;1,456;;1,667;;
Singapore;;596;;618;;766;;406;;572;;
Slovakia;;4,974;;4,947;r;3,931;r;3,444;r;4,863;;
Slovenia;;648;;654;;623;r;585;;662;;
South Africa;;6,301;;6,327;;6,152;;3,877;;5,020;;
Spain;;14,441;;14,320;;13,588;;10,998;;14,040;;
Sri Lankae;;30;;36;;30;;30;;30;;
Sweden;;4,926;;4,654;;4,721;;4,409;;4,678;;
Switzerland;;1,525;r;1,550;r;1,325;r;1,175;e;1,200;e;;;
Syriae;;5;;5;;40;;50;;40;;
Taiwan;;22,438;;23,240;;21,954;;20,959;;23,233;;
Tanzaniae;;250;;300;;300;;230;;230;;
Thailand;;6,762;;6,403;;4,246;;4,467;r;5,473;;
Tunisia;;74;;84;;77;;84;;85;;
Turkey;;37,524;;37,312;;33,743;;35,810;;40,360;;
Uganda;;165;;190;r, e;210;;210;r, e;210;e;;;
Ukraine;;21,417;r;21,101;;20,848;;20,616;r;21,366;;
United Arab Emirates;;3,309;;3,247;;3,327;;2,722;;2,997;;
United Kingdom;;7,491;;7,268;;7,218;;7,086;;7,346;;
United States;;81,600;;86,600;;87,800;;72,700;;85,800;;
Uruguay;;60;;60;;62;;49;;63;;
Uzbekistan;;654;r;646;;666;r;939;;885;e;;;
Venezuela;;444;;129;;50;;29;;29;e;;;
Vietnam;;11,473;;15,471;r;17,469;r;19,900;r;23,019;;
Zambiae;;54;;75;;75;;50;;50;;
Total;;1,740,000;r;1,820,000;;1,870,000;r;1,880,000;r;1,950,000;;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;;;
1Table includes data available through May 24, 2022. All data are reported unless otherwise noted; totals may include estimated data. Totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries and (or) localities, includes material reported as "liquid steel" presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3In addition to the countries and (or) localities listed, Hong Kong, and Mozambique, may have produced steel, but available information was inadequate to make reliable estimates of output.;;;;;;;;;;;;
4Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
;;;;;;;;;;;;
