TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2011;;2012;;2013;;2014;;2015;;
Albaniae;;464;;500;r;550;r;560;r;550;;
Algeria;;551;r;557;r;417;r;415;;650;e;
Argentina;;5,611;r;4,995;;5,186;r;5,488;;5,208;;
Australia;;6,404;r;6,893;r;4,188;r;4,607;;4,925;;
Austria;;7,474;;7,421;;7,953;r;7,876;;7,687;;
Azerbaijan;;234;;120;r;173;r;180;r;180;e;
Belarus;;2,614;r;2,687;r;2,245;r;2,513;;2,510;e;
Belgium;;8,026;;7,301;r;7,093;;7,331;;7,257;;
Bosnia and Herzegovina, ingot production;;649;;700;;722;;793;;819;;
Brazil5;;35,220;;34,524;;34,163;;33,397;r;33,256;;
Bulgaria;;835;r;633;;523;r;612;;543;;
Canada;;12,891;;13,507;;12,417;r;12,730;;12,473;;
Chile5;;1,615;;1,671;r;1,323;r;1,079;;1,112;;
China6;;701,968;r;731,040;r;823,000;r;822,750;r;803,825;;
Colombia;;1,287;r;1,302;r;1,236;r;1,208;;1,211;;
Croatia;;96;r;1;;135;;167;;167;;
Cuba;;282;;277;r;323;r;256;r;284;;
Czech Republic;;5,583;;5,072;;5,171;;5,360;;5,262;;
Ecuador;;463;r;425;r;570;r;667;r;720;;
Egypt;;6,485;r;6,627;r;6,754;;6,485;r;5,506;;
El Salvador;;97;r;72;;118;r;121;;124;;
Finland;;3,989;;3,759;;3,517;;3,807;;3,988;;
France;;15,780;r;15,609;r;15,685;;16,143;;14,984;;
Germany;;44,284;;42,661;;42,645;r;42,943;;42,676;;
Greece;;1,993;;2,000;;2,000;e;1,022;;910;;
Guatemala;;294;;334;;385;;395;;403;;
Hungary;;1,746;r;1,542;r;883;;1,152;;1,675;;
India;;73,471;;77,264;r;81,299;r;87,292;r;89,026;;
Indonesia;;3,621;r;2,254;r;2,644;;4,428;;4,854;;
Iran;;13,197;r;14,463;r;15,422;r;16,331;r;16,146;;
Israele;;300;r;300;r;300;r;300;r;300;;
Italy;;28,735;r;27,257;r;23,093;r;23,714;;22,018;;
Japan;;107,601;;107,232;;110,595;r;110,666;;105,134;;
Jordane;;150;;150;r;150;r;150;r;150;;
Kazakhstan;;4,699;r;3,676;r;3,275;r;3,681;;3,910;;
Kenyae;;20;r;20;r;20;r;20;r;20;;
Korea, Northe;;1,300;;1,280;r;1,250;r;1,250;r;1,235;7;
Korea, Republic of;;68,519;;69,073;r;66,061;r;71,543;r;69,670;;
Latviae;;568;r;805;r;198;r;NA;;NA;;
Libya;;100;;315;r;712;r;712;r, e;352;;
Luxembourg;;2,521;;2,208;r;2,090;;2,193;;2,127;;
Macedonia;;386;;217;r;100;r;188;r;121;;
Malaysia;;5,941;;5,612;;4,693;r;4,316;r;3,784;;
Mexico;;18,110;;18,073;;18,242;r;18,930;r;18,225;;
Moldova;;313;r;335;r;190;;351;r;443;;
Montenegro;;140;r;120;r;70;r;140;r;150;;
Morocco;;460;;475;;558;;501;r;516;;
